dataset	topology	difficulty	domain_fold_change	method	method_display	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	grid_rows	grid_columns	retention_fraction	coordinate_jitter	enriched_probability_mass	shared_probability_mass	niche_mrf_phi	niche_mrf_sweeps	niche_mrf_neighborhood_radius	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	graphst	GraphST	success	89.31709108315408	1185.921875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.885113181797817	0.8338483942701549	1.0	0.8529076396807298	0.9206153846153846	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	stagate	STAGATE	success	227.70633137505502	1231.953125			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8718285776398729	0.8190143978707475	1.0	0.8472063854047891	0.917283950617284	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	banksy	BANKSY	success	17.836				0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.11647977200266671	0.11228307877182318	0.4780701754385965	0.13683010262257697	0.21276422698104155	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	spagcn	SpaGCN	success	5.72770829196088	856.921875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.002313137276289182	0.003832602631336076	0.5288590604026846	1.0	0.6918349429323969	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	spclue	spCLUE	success	19.41608633287251	1183.53125			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8516606836051124	0.7958254466693095	1.0	0.8129988597491448	0.8968553459119497	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	stlearn	stLearn	success	4.98392920801416	2423.1875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.004783525804773672	0.0038798240994994252	0.5307486631016043	1.0	0.6934497816593886	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	expression_pca_kmeans	Expression baseline	success	0.5977819999679923	381.578125			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.0028201074020511472	0.0035684748947697915	0.5394160583941606	0.9988597491448119	0.7005258564577975	4
irregular_mrf_seed0_hard	irregular_mrf	hard	1.6	coordinates_spectral	Coordinate baseline	success	0.30073549994267523	393.078125			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.15378189841154366	0.15450423296275123	0.6372093023255814	0.17103762827822122	0.2696868089685628	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	graphst	GraphST	success	88.75498620886356	1193.875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8950007693210972	0.8448817048436865	1.0	0.8426453819840365	0.9146039603960396	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	stagate	STAGATE	success	229.13978850003332	1259.0625			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8821008451606532	0.8302026775122688	1.0	0.8586088939566705	0.9239263803680982	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	banksy	BANKSY	success	16.392				0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.11874753672310699	0.12680179692274574	0.630188679245283	0.20182440136830102	0.3057342628410666	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	spagcn	SpaGCN	success	5.445239208871499	896.4375			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.9735920821681426	0.9549863060186424	1.0	0.9965792474344356	0.9982866933181039	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	spclue	spCLUE	success	19.650247000157833	1179.0625			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8547993346389186	0.7985153535401213	1.0	0.8335233751425314	0.9092039800995025	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	stlearn	stLearn	success	5.0650850418023765	2550.6875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.0014889089120247005	0.0035669516364722274	0.5316925151719487	1.0	0.6942548976447281	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	expression_pca_kmeans	Expression baseline	success	0.5910829589702189	363.265625			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.002295433863455255	0.006625731126506963	0.5401540154015402	0.9942987457240593	0.7000208460214755	4
irregular_mrf_seed0_intermediate	irregular_mrf	intermediate	2.0	coordinates_spectral	Coordinate baseline	success	0.305467874975875	381.625			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.15378189841154366	0.15450423296275123	0.6372093023255814	0.17103762827822122	0.2696868089685628	4
irregular_mrf_seed0_moderate	irregular_mrf	moderate	2.5	graphst	GraphST	success	79.57011620793492	1208.796875			0.29233333333333333	0.009254599872580253	68	68	0.6487889273356401	0.55	0.4	0.6	5.25	40	2	0.8971790370795475	0.8477292698118631	1.0	0.8472063854047891	0.917283950617284	4
