layout_seed	method_seed	domain_fold_change	adjusted_rand_index	normalized_mutual_information	produced_cluster_count	n_locations	n_genes	wall_time_seconds
0	100000	1.0	0.00014365650618339463	0.004696707264807974	4	3000	2000	0.6535439169965684
0	100000	1.5	0.002295433863455255	0.006625731126506963	4	3000	2000	0.6338350411970168
0	100000	2.0	-0.0024157449445793176	0.0054662092557765125	4	3000	2000	0.6467742919921875
0	100000	2.5	0.001998202090800756	0.0031123459294133985	4	3000	2000	0.6270801669452339
0	100000	3.0	0.0038856927907629396	0.004322775829070263	4	3000	2000	0.6373487079981714
0	100000	3.5	1.0	1.0	4	3000	2000	0.6489757921081036
0	100000	4.0	1.0	1.0000000000000002	4	3000	2000	0.654930624878034
1	100001	1.0	-0.006843182245379094	0.0044642582673190805	4	3000	2000	0.6248759168665856
1	100001	1.5	0.002347130043521918	0.005633001537992027	4	3000	2000	0.6402881250251085
1	100001	2.0	0.001597118408337546	0.0053668862814140236	4	3000	2000	0.6379759579431266
1	100001	2.5	0.0007886656986256529	0.005439184981469837	4	3000	2000	0.6368415839970112
1	100001	3.0	0.38095273091261034	0.41860049539070665	4	3000	2000	0.6643432080745697
1	100001	3.5	1.0	1.0	4	3000	2000	0.6476624999195337
1	100001	4.0	1.0	1.0	4	3000	2000	0.6328662908636034
2	100002	1.0	-0.0034470127510125735	0.0027373287260612435	4	3000	2000	0.6312949159182608
2	100002	1.5	-0.003607337632601475	0.004967563980704956	4	3000	2000	0.626660583075136
2	100002	2.0	0.0017767246005040277	0.007892217658772524	4	3000	2000	0.6270200000144541
2	100002	2.5	-0.0003829789075948829	0.004819630971616815	4	3000	2000	0.6310484169516712
2	100002	3.0	0.30064957468524894	0.37837594112789286	4	3000	2000	0.6462469999678433
2	100002	3.5	0.6964794122951471	0.7202351118928955	4	3000	2000	0.6412616670131683
2	100002	4.0	1.0	1.0000000000000002	4	3000	2000	0.6345453329849988
