,pop,depth,cell.type,cell.type.idx,x,y
cell1,5_2,2,5_2_2,4,15,15
cell2,5_2,2,5_2_2,4,13,9
cell3,5_3,1.99324324324324,5_3_2,6,18,14
cell4,5_3,1.98648648648649,5_3_2,6,12,11
cell5,5_2,1.97972972972973,5_2_2,4,13,13
cell6,5_2,1.97297297297297,5_2_2,4,14,15
cell7,4_1,1.97306397306397,4_1_4,10,18,15
cell8,4_1,1.96632996632997,4_1_4,10,19,15
cell9,5_2,1.9527027027027,5_2_2,4,13,12
cell10,4_1,1.95286195286195,4_1_4,10,20,15
cell11,5_3,1.93918918918919,5_3_2,6,18,13
cell12,5_3,1.93243243243243,5_3_2,6,17,14
cell13,4_1,1.93265993265993,4_1_4,10,21,15
cell14,4_1,1.92592592592593,4_1_4,10,14,12
cell15,5_2,1.91216216216216,5_2_2,4,16,15
cell16,4_1,1.91245791245791,4_1_4,10,17,15
cell17,5_2,1.89864864864865,5_2_2,4,12,12
cell18,5_3,1.89189189189189,5_3_2,6,12,10
cell19,5_2,1.88513513513514,5_2_2,4,15,16
cell20,5_2,1.87837837837838,5_2_2,4,15,14
cell21,4_1,1.87878787878788,4_1_4,10,20,16
cell22,5_3,1.86486486486486,5_3_2,6,21,16
cell23,5_3,1.85810810810811,5_3_2,6,12,13
cell24,5_3,1.85135135135135,5_3_2,6,13,15
cell25,5_2,1.84459459459459,5_2_2,4,14,9
cell26,4_1,1.84511784511784,4_1_4,10,17,16
cell27,4_1,1.83838383838384,4_1_4,10,19,14
cell28,4_1,1.83164983164983,4_1_4,10,13,11
cell29,5_3,1.81756756756757,5_3_2,6,11,11
cell30,5_3,1.81081081081081,5_3_2,6,16,14
cell31,5_3,1.80405405405405,5_3_2,6,13,14
cell32,5_2,1.7972972972973,5_2_2,4,11,12
cell33,4_1,1.7979797979798,4_1_4,10,19,13
cell34,5_2,1.78378378378378,5_2_2,4,10,11
cell35,4_1,1.78451178451178,4_1_4,10,21,14
cell36,4_1,1.77777777777778,4_1_4,10,14,11
cell37,5_2,1.76351351351351,5_2_2,4,14,13
cell38,5_3,1.75675675675676,5_3_2,6,18,12
cell39,5_2,1.75,5_2_2,4,22,16
cell40,5_3,1.74324324324324,5_3_2,6,10,10
cell41,4_1,1.74410774410774,4_1_4,10,15,12
cell42,4_1,1.73737373737374,4_1_4,10,18,16
cell43,5_3,1.72297297297297,5_3_2,6,13,16
cell44,5_3,1.71621621621622,5_3_2,6,17,12
cell45,5_3,1.70945945945946,5_3_2,6,9,10
cell46,5_2,1.7027027027027,5_2_2,4,10,12
cell47,5_3,1.69594594594595,5_3_2,6,20,14
cell48,5_2,1.68918918918919,5_2_2,4,12,14
cell49,5_2,1.68243243243243,5_2_2,4,15,17
cell50,5_3,1.67567567567568,5_3_2,6,14,16
cell51,5_3,1.66891891891892,5_3_2,6,17,11
cell52,5_3,1.66216216216216,5_3_2,6,12,15
cell53,4_1,1.66329966329966,4_1_4,10,13,10
cell54,5_2,1.64864864864865,5_2_2,4,19,16
cell55,4_1,1.64983164983165,4_1_4,10,16,12
cell56,5_3,1.63513513513514,5_3_2,6,20,13
cell57,4_1,1.63636363636364,4_1_4,10,16,11
cell58,4_1,1.62962962962963,4_1_4,10,12,9
cell59,4_1,1.62289562289562,4_1_4,10,21,13
cell60,5_3,1.60810810810811,5_3_2,6,15,9
cell61,5_3,1.60135135135135,5_3_2,6,18,11
cell62,5_2,1.59459459459459,5_2_2,4,16,16
cell63,4_1,1.5959595959596,4_1_4,10,22,15
cell64,5_3,1.58108108108108,5_3_2,6,12,16
cell65,4_1,1.58249158249158,4_1_4,10,15,13
cell66,5_2,1.56756756756757,5_2_2,4,15,18
cell67,5_3,1.56081081081081,5_3_2,6,23,16
cell68,5_3,1.55405405405405,5_3_2,6,17,10
cell69,4_1,1.55555555555556,4_1_4,10,11,16
cell70,5_2,1.54054054054054,5_2_2,4,14,8
cell71,5_3,1.53378378378378,5_3_2,6,15,8
cell72,5_2,1.52702702702703,5_2_2,4,15,10
cell73,5_2,1.52027027027027,5_2_2,4,14,18
cell74,5_2,1.51351351351351,5_2_2,4,15,19
cell75,4_1,1.51515151515152,4_1_4,10,16,13
cell76,5_3,1.5,5_3_1,5,22,13
cell77,5_2,1.49324324324324,5_2_1,3,13,8
cell78,4_1,1.49494949494949,4_1_4,10,14,10
cell79,5_2,1.47972972972973,5_2_1,3,11,14
cell80,4_1,1.48148148148148,4_1_3,9,11,15
cell81,5_3,1.46621621621622,5_3_1,5,11,9
cell82,4_1,1.46801346801347,4_1_3,9,11,17
cell83,4_1,1.46127946127946,4_1_3,9,21,12
cell84,5_2,1.44594594594595,5_2_1,3,19,17
cell85,5_3,1.43918918918919,5_3_1,5,22,12
cell86,4_1,1.44107744107744,4_1_3,9,11,18
cell87,4_1,1.43434343434343,4_1_3,9,11,19
cell88,5_3,1.41891891891892,5_3_1,5,22,11
cell89,5_2,1.41216216216216,5_2_1,3,10,9
