row	column	inner_radius	layer_specificity_factor	is_anchor	n_cells	composition_rmse_visual_guide	median_depth_mae_visual_guide	laminar_ordering_violations
1	1	0.58	3.0	False	3019	0.013831577157010685	0.052099309369800464	0
1	2	0.51	3.0	False	3234	0.0189158649134967	0.056311319324283314	1
1	3	0.44	3.0	False	3360	0.019007455372040412	0.05231631017029115	0
1	4	0.37	3.0	False	3307	0.02383643911260313	0.05770173542510129	1
1	5	0.3	3.0	False	3388	0.03511411398495031	0.0655013480363418	1
2	1	0.58	1.5	False	3019	0.012099851079069027	0.049703012773938196	0
2	2	0.51	1.5	False	3234	0.01858021404666241	0.057199370685496666	1
2	3	0.44	1.5	False	3360	0.019910362141440745	0.050265558403063716	1
2	4	0.37	1.5	False	3307	0.02577830203818109	0.05455810564527887	1
2	5	0.3	1.5	False	3388	0.03592945168061637	0.06326074608096859	0
3	1	0.58	1.0	False	3019	0.009258881266198673	0.04951064269991335	0
3	2	0.51	1.0	False	3234	0.011124512314889071	0.05749017462569111	1
3	3	0.44	1.0	True	3360	0.009970072099560525	0.058453633592535116	0
3	4	0.37	1.0	False	3307	0.015990193244189	0.06258039796735061	1
3	5	0.3	1.0	False	3388	0.026292605791969712	0.06963042262163963	0
4	1	0.58	0.5	False	3019	0.02330563577593409	0.06626715948676525	1
4	2	0.51	0.5	False	3234	0.019610937109689103	0.09816053735693837	1
4	3	0.44	0.5	False	3360	0.01747864557005516	0.07377437477597969	0
4	4	0.37	0.5	False	3307	0.01698198734782215	0.09941391793607433	1
4	5	0.3	0.5	False	3388	0.025329107032455805	0.14165091703006885	1
5	1	0.58	0.0	False	3019	0.036266618485421016	0.2648177836118606	2
5	2	0.51	0.0	False	3234	0.034620000712339595	0.2853967713115025	3
5	3	0.44	0.0	False	3360	0.03500168898055476	0.30321271727470933	1
5	4	0.37	0.0	False	3307	0.03744155315217251	0.3148546328234643	3
5	5	0.3	0.0	False	3388	0.03758367936798043	0.3078712274157329	1
