,Cell,Cell_type,point_x,point_y
C_1,C_1,Invasive_Tumor,45.72467077420194,38.63305073549131
C_2,C_2,Macrophages_1,39.9803358973701,3.437683208718978
C_3,C_3,Invasive_Tumor,16.99347426714977,18.64958064413549
C_4,C_4,Stromal,19.698204100916357,42.797257132020114
C_5,C_5,Invasive_Tumor,3.6568036084908107,11.545791785441233
C_6,C_6,Invasive_Tumor,3.5541062495015483,11.337778600918218
C_7,C_7,Invasive_Tumor,9.78974995443982,10.662241856387244
C_8,C_8,Invasive_Tumor,3.096173726873536,3.0547552854847115
C_9,C_9,Invasive_Tumor,17.863426888681516,29.601010910498577
C_10,C_10,Stromal,24.653335227286995,2.9907891249130514
C_11,C_11,CD4+_T_Cells,24.298469338150902,42.77228769120842
C_12,C_12,Stromal,47.92541595139357,21.823230261201974
C_13,C_13,Invasive_Tumor,18.474433730642765,0.5356371062279985
C_14,C_14,Invasive_Tumor,2.2664890289432913,16.709760965034064
C_15,C_15,Invasive_Tumor,8.494111422205497,21.578329990298585
C_16,C_16,Invasive_Tumor,18.15417082115898,33.42016108549697
C_17,C_17,Stromal,21.96581243022911,7.698196732016277
C_18,C_18,Macrophages_1,39.44828973674788,3.75207765892101
C_19,C_19,Invasive_Tumor,1.0260412328356006,49.02860189533591
C_20,C_20,Prolif_Invasive_Tumor,34.845229284790136,41.804515333550306
C_21,C_21,Prolif_Invasive_Tumor,19.489830424075905,42.097518680833545
C_22,C_22,Prolif_Invasive_Tumor,34.91658522773709,39.82671458823776
C_23,C_23,Macrophages_1,37.421228509514016,41.20963661460287
C_24,C_24,Invasive_Tumor,7.130692665014305,48.556175997808346
C_25,C_25,Invasive_Tumor,20.298679966259115,26.436907146943728
C_26,C_26,Invasive_Tumor,20.437299989659184,32.85104621467008
C_27,C_27,Invasive_Tumor,0.18404387159544067,6.750880250419334
C_28,C_28,Endothelial,2.5065690791661766,32.243003775150136
C_29,C_29,Invasive_Tumor,19.049916362872466,32.05444594928885
C_30,C_30,Invasive_Tumor,16.21315218177403,21.311427451849024
C_31,C_31,Invasive_Tumor,17.21659564271862,10.558903873382125
C_32,C_32,Endothelial,12.935953080155628,48.869539583692834
C_33,C_33,Invasive_Tumor,18.327228490975184,16.476982161830733
C_34,C_34,Stromal,20.12906454501223,12.242737645929552
C_35,C_35,Invasive_Tumor,2.067145593402042,6.374178159091476
C_36,C_36,Invasive_Tumor,17.69705157625442,23.7453659857167
C_37,C_37,Invasive_Tumor,7.083764562358185,15.481307821577744
C_38,C_38,Macrophages_1,26.082257635867983,33.67739652873637
C_39,C_39,Invasive_Tumor,19.81469217047253,35.08871285115181
C_40,C_40,Invasive_Tumor,19.199012681820438,39.00511359490387
C_41,C_41,Invasive_Tumor,8.233793038136705,6.850435380672909
C_42,C_42,Invasive_Tumor,7.800426126273735,49.211041264911145
C_43,C_43,Invasive_Tumor,0.4850621444744352,25.19789020673458
C_44,C_44,Invasive_Tumor,1.3473419138356535,4.157177307966076
C_45,C_45,Invasive_Tumor,0.7321475147434975,13.571462400447032
C_46,C_46,Invasive_Tumor,0.5094108062656422,13.232730899924555
C_47,C_47,Invasive_Tumor,0.20655792879470392,8.566948911951911
C_48,C_48,Invasive_Tumor,0.3732193260875427,5.91930155307403
C_49,C_49,Stromal,19.87645653148149,8.65798753258039
C_50,C_50,Invasive_Tumor,20.19740013970478,37.56132275890348
C_51,C_51,Invasive_Tumor,0.05327823140608978,1.518069219754875
C_52,C_52,Stromal,29.6501290317106,8.867492179007797
C_53,C_53,Macrophages_1,28.555224557169744,29.552625608949594
C_54,C_54,Invasive_Tumor,20.62674312815787,24.533576164105163
C_55,C_55,Invasive_Tumor,0.5394592121892194,23.619347247670802
C_56,C_56,Invasive_Tumor,20.640247433999136,31.24970797845964
C_57,C_57,Invasive_Tumor,19.603421602404715,32.99588312426058
C_58,C_58,Invasive_Tumor,8.063542686724446,3.3796718969416495
C_59,C_59,Invasive_Tumor,8.597189076758728,4.358238356133359
C_60,C_60,Invasive_Tumor,8.944779977858925,4.7303571723014635
C_61,C_61,Endothelial,2.5978772551266793,36.783450739375695
C_62,C_62,Invasive_Tumor,2.0333489631336352,10.052318043943387
