state,row,col,niche,state_rank,cell_type,niche_name,cortical_depth
0,0.14673737239776305,86.98641068611441,0,1,L2/3 IT,superficial (L2/3),0.014915989900130286
0,0.0056788778345802406,88.96500915422655,0,1,L2/3 IT,superficial (L2/3),0.016005456749477148
6,-0.17107627090219993,89.69362744553851,0,7,L6 IT,superficial (L2/3),0.01692656670362066
1,0.20869944094888748,92.09489665144585,0,2,L4/5 IT,superficial (L2/3),0.02137444305924253
0,0.15436779482245286,96.87545971687604,0,1,L2/3 IT,superficial (L2/3),0.050100084317527986
0,-0.2312379440595659,98.28661291019398,0,1,L2/3 IT,superficial (L2/3),0.056854296567998334
0,-0.08086058554577653,99.15924858503992,0,1,L2/3 IT,superficial (L2/3),0.06300552975723593
0,-0.250241131959506,103.98497295688603,0,1,L2/3 IT,superficial (L2/3),0.0778222651686268
0,-0.2908724549699891,108.48445901544063,0,1,L2/3 IT,superficial (L2/3),0.07816244594406609
0,0.38989682122763475,109.07309206013132,0,1,L2/3 IT,superficial (L2/3),0.07866730921992206
0,-0.07644097802480997,111.05098211122451,0,1,L2/3 IT,superficial (L2/3),0.08059874034895176
0,0.14743083583737335,114.06381686607801,0,1,L2/3 IT,superficial (L2/3),0.08418211123916795
0,0.07089973447684712,116.97390248130765,0,1,L2/3 IT,superficial (L2/3),0.08648081741314331
0,1.0132754455175075,80.88067064087979,0,1,L2/3 IT,superficial (L2/3),0.00504245538200296
1,0.7704409996157204,82.6591226044661,0,2,L4/5 IT,superficial (L2/3),0.01651661496697376
2,0.7778127871506737,84.32990296088485,0,5,L5 ET,superficial (L2/3),0.020631289522501046
0,1.0971820019240854,88.70276832477398,0,1,L2/3 IT,superficial (L2/3),0.02768568431427577
1,1.2483529077582962,91.09281040081474,0,2,L4/5 IT,superficial (L2/3),0.030305777406723584
1,0.595625091093251,92.3782350046666,0,2,L4/5 IT,superficial (L2/3),0.03301620838054458
1,0.7934709011535718,92.7637907682361,0,2,L4/5 IT,superficial (L2/3),0.03687867449973148
1,0.9555950850650958,93.75980885027026,0,2,L4/5 IT,superficial (L2/3),0.041872383193077865
3,1.2299816810179074,94.82693827494377,0,4,L5 IT,superficial (L2/3),0.047812348258079604
2,1.1183956324791908,103.08306885604597,0,5,L5 ET,superficial (L2/3),0.08825079492642564
0,1.1786661073498959,105.21751355311599,0,1,L2/3 IT,superficial (L2/3),0.0897455600977537
6,1.0530433861384954,108.93314585813124,0,7,L6 IT,superficial (L2/3),0.09110371935122284
0,0.7904479031793421,110.06430134458725,0,1,L2/3 IT,superficial (L2/3),0.0920628219051535
0,0.9700213136099,111.65715062479273,0,1,L2/3 IT,superficial (L2/3),0.09451607472797037
0,1.278794605882358,113.10198733145488,0,1,L2/3 IT,superficial (L2/3),0.09577815834861995
0,1.0381994018098395,115.01609168303759,0,1,L2/3 IT,superficial (L2/3),0.09789859186233707
0,0.7308839496744286,116.11572735744008,0,1,L2/3 IT,superficial (L2/3),0.09867825152795659
0,2.3113703958459055,78.82102840345682,0,1,L2/3 IT,superficial (L2/3),0.0016816608299582885
5,2.1006964155521852,82.23609728329305,0,6,L6 CT,superficial (L2/3),0.022578562566935977
1,2.160352685436121,82.98339413963387,0,2,L4/5 IT,superficial (L2/3),0.027902526425651143
5,2.43305564080016,86.11211732136016,0,6,L6 CT,superficial (L2/3),0.036980060702210986
8,1.879486638278497,91.0769567518875,0,9,L6b,superficial (L2/3),0.04180608129206609
0,1.850527980236669,94.0073187628552,0,1,L2/3 IT,superficial (L2/3),0.052937574083459685
0,1.4486293302555815,95.84335825497726,0,1,L2/3 IT,superficial (L2/3),0.0543977424213008
0,2.0323313088795434,98.17255151148348,0,1,L2/3 IT,superficial (L2/3),0.07824968173893261
0,2.13336300789978,100.23166083550062,0,1,L2/3 IT,superficial (L2/3),0.0894955552515474
2,1.9950414441883388,100.61378487013815,0,5,L5 ET,superficial (L2/3),0.09371122522840446
2,2.0029528966236323,101.92948810607743,0,5,L5 ET,superficial (L2/3),0.09685925309907985
3,2.20590787662404,105.95051795472605,0,4,L5 IT,superficial (L2/3),0.10168110482125486
0,2.092536985237569,107.95739848536498,0,1,L2/3 IT,superficial (L2/3),0.10286481682869064
0,2.0905563209991724,114.04173521784311,0,1,L2/3 IT,superficial (L2/3),0.11010928143723944
0,1.9843087365523289,116.06624084355151,0,1,L2/3 IT,superficial (L2/3),0.11188046545899714
0,2.990003733378732,84.15422938666065,0,1,L2/3 IT,superficial (L2/3),0.04343643882391347
1,3.228994914057773,85.11074196244283,0,2,L4/5 IT,superficial (L2/3),0.04648525269018017
6,2.979312358375782,88.85829672578245,0,7,L6 IT,superficial (L2/3),0.05079531466676637
0,2.9074143302782964,90.73014994925252,0,1,L2/3 IT,superficial (L2/3),0.05318257162995299
0,2.878562515727638,91.70036208469348,0,1,L2/3 IT,superficial (L2/3),0.05562860371899594
0,2.9733585394519566,95.15623552095028,0,1,L2/3 IT,superficial (L2/3),0.06914086394664717
0,3.0418310989865978,96.90909270467448,0,1,L2/3 IT,superficial (L2/3),0.0816594001427585
0,3.1126702268442044,98.11577851527103,0,1,L2/3 IT,superficial (L2/3),0.08800418863589264
0,3.028938462666708,99.8459873408589,0,1,L2/3 IT,superficial (L2/3),0.09913725803011177
0,2.927044232672374,101.03640673742103,0,1,L2/3 IT,superficial (L2/3),0.10345466776812999
0,2.640875018264432,101.97219324065588,0,1,L2/3 IT,superficial (L2/3),0.10681275408450341
0,3.1362050960050682,104.1387342467868,0,1,L2/3 IT,superficial (L2/3),0.11100817773637882
0,2.7816337682750594,105.85696752106004,0,1,L2/3 IT,superficial (L2/3),0.1132291369713266
0,2.9645037949029,108.99972300923454,0,1,L2/3 IT,superficial (L2/3),0.11651580568752315
0,3.2623289527497814,111.96393233310357,0,1,L2/3 IT,superficial (L2/3),0.12093802642800876
0,3.055162041435136,112.98682456441236,0,1,L2/3 IT,superficial (L2/3),0.12232492994537582
0,2.8210044255564926,115.15187315156994,0,1,L2/3 IT,superficial (L2/3),0.12454056138252227
1,4.154797198627009,77.82701599836999,0,2,L4/5 IT,superficial (L2/3),0.014356133158580366
0,3.9410087293901683,81.0936974821358,0,1,L2/3 IT,superficial (L2/3),0.038100911609443774
1,3.893836914696329,82.13293758126296,0,2,L4/5 IT,superficial (L2/3),0.04476923633408011
0,4.273814305653029,83.94343612692538,0,1,L2/3 IT,superficial (L2/3),0.05471005877735866
0,4.148909225751705,87.15627548907231,0,1,L2/3 IT,superficial (L2/3),0.061085277482563205
0,4.7012505910445945,87.67642304680949,0,1,L2/3 IT,superficial (L2/3),0.07330006556973506
0,3.7622757539744507,88.99348621089227,0,1,L2/3 IT,superficial (L2/3),0.06230905706955451
0,4.002250446319609,90.0322724523748,0,1,L2/3 IT,superficial (L2/3),0.06310860431393492
0,4.096322529695997,94.40360708957232,0,1,L2/3 IT,superficial (L2/3),0.07421529783375053
0,4.292113277055199,103.13320718931861,0,1,L2/3 IT,superficial (L2/3),0.1190821124543818
0,3.9447480932139563,108.10851296979423,0,1,L2/3 IT,superficial (L2/3),0.127443639223057
0,4.350484337976734,108.79861127776769,0,1,L2/3 IT,superficial (L2/3),0.1290851654594229
1,4.037579895562002,110.00631232406201,0,2,L4/5 IT,superficial (L2/3),0.1308136304392944
0,3.8439641415248347,112.11854093406461,0,1,L2/3 IT,superficial (L2/3),0.13419870334616954
0,3.9707345899663817,116.06025045625802,0,1,L2/3 IT,superficial (L2/3),0.1388414802774552
0,3.996181473312131,117.24209171974911,0,1,L2/3 IT,superficial (L2/3),0.13946881611991613
0,4.977759559056158,75.04133410065941,0,1,L2/3 IT,superficial (L2/3),0.000567981148484846
0,4.87591128193876,78.11651408591356,0,1,L2/3 IT,superficial (L2/3),0.024087577776740775
2,4.960612169069554,79.92238552706777,0,5,L5 ET,superficial (L2/3),0.04096147922269182
1,5.222432942185218,81.24892485075571,0,2,L4/5 IT,superficial (L2/3),0.04873122923073455
0,5.202619083865884,82.02588044914044,0,1,L2/3 IT,superficial (L2/3),0.055616487421112276
0,5.425279763511848,83.28098992419906,0,1,L2/3 IT,superficial (L2/3),0.06137336229908221
0,4.825020091844486,85.02619915954686,0,1,L2/3 IT,superficial (L2/3),0.06914518468143137
0,4.777462256718712,86.02895588798036,0,1,L2/3 IT,superficial (L2/3),0.07129476340681291
1,5.473171588028159,88.12631456942647,0,2,L4/5 IT,superficial (L2/3),0.07330006556973506
2,5.093530818437399,89.08573694658,0,5,L5 ET,superficial (L2/3),0.07384511472241535
0,5.097053331556148,89.90134633144228,0,1,L2/3 IT,superficial (L2/3),0.07457664630280202
3,4.82016334808953,91.88374345429175,0,4,L5 IT,superficial (L2/3),0.07783767566421665
2,5.096336345555779,93.13104133088318,0,5,L5 ET,superficial (L2/3),0.08076654414947472
0,5.021939121136726,94.83339734291292,0,1,L2/3 IT,superficial (L2/3),0.08936920172666311
