row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label,niche
cell_1,0.35281047,1.956567377,Prolif_Invasive_Tumor,SimSpace,-2.13408589555119,-1.23145897255088,10.9940678950545,9.38711215408515,4,Domain 1,Tumor,1
cell_2,0.08003144,3.027206243,Invasive_Tumor,SimSpace,-2.62913432511967,-1.79475740698772,11.4949147578475,8.57907534988593,9,Domain 1,Tumor,1
cell_3,0.1957476,3.832337769,Invasive_Tumor,SimSpace,-3.12488725429118,-2.05049850098509,11.8651978846786,8.90647460373115,9,Domain 1,Tumor,1
cell_4,0.44817864,7.112289982,Invasive_Tumor,SimSpace,-4.48952988245988,-2.6049018091046,9.61419366562338,9.86442519577216,2,Domain 1,Tumor,1
cell_5,0.3735116,8.748080766,Prolif_Invasive_Tumor,SimSpace,-4.23607551758721,-2.42083214480008,3.1638305064437,9.39333011062812,4,Domain 1,Tumor,1
cell_6,-0.19545558,10.933448247,Invasive_Tumor,SimSpace,-3.97581156826628,-2.98332444888263,11.2927996989486,8.16261340530585,9,Domain 1,Tumor,1
cell_7,0.19001768,12.959198426,Invasive_Tumor,SimSpace,-4.30661145185517,-3.60823987535565,8.7331435557601,11.7771163121052,2,Domain 1,Tumor,1
cell_8,-0.03027144,13.861796037,Invasive_Tumor,SimSpace,-4.38956099655669,-3.7388314657942,9.06203817093344,12.1770615711994,2,Domain 1,Tumor,1
cell_9,-0.02064377,15.558898929,Invasive_Tumor,SimSpace,-3.51751713306248,-4.07978967807301,9.4127089854476,2.83478166015815,3,Domain 1,Tumor,1
cell_10,0.0821197,20.089573933,Endothelial,SimSpace,5.07211379016112,-2.67823975317734,6.55825208389731,-20.5880932673626,7,Domain 3,Tumor,1
cell_11,0.02880871,22.848849848,Endothelial,SimSpace,7.21149693582777,-2.32323508867146,5.79699681961508,-21.392004476469,7,Domain 3,Tumor,1
cell_12,0.2908547,29.265141592,Invasive_Tumor,SimSpace,1.71355170284199,-4.16643488863841,8.71600412094565,-3.72601507751275,3,Domain 1,Tumor,1
cell_13,0.15220755,31.931603544,Invasive_Tumor,SimSpace,-1.16026519788875,-3.96335504173261,11.4304921504256,3.84767867477607,9,Domain 1,Tumor,1
