ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AGR3,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLDN4,CLEC14A,CLEC9A,CLECL1,CRISPLD2,CTLA4,CTTN,CX3CR1,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DERL3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MRC1,MS4A1,MYH11,MYLK,MYO5B,MZB1,NARS,NKG7,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SOX17,SPIB,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCEAL7,TCF4,TCF7,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
11,51,48,29,7,7,44,23,2,1,2,6,4,5,49,2,20,44,3,23,0,6,3,41,0,2,12,13,2,2,6,11,5,29,49,16,0,189,21,2,5,23,1,4,3,1,4,8,20,4,35,30,7,1,1,3,12,15,9,48,16,2,68,99,7,25,21,2,8,1,5,6,46,2,49,10,37,12,7,1,5,14,3,19,37,29,3,11,1,4,8,2,12,44,72,366,6,18,22,2,39,8,7,2,52,11,32,54,108,4,1,2,117,3,8,0,13,10,3,17,6,9,5,13,1,12,20,3,8,9,23,4,14,26,21,11,5,5,6,6,3,6,1,4,3,0,1,0,0,104,85,1,28,17,5,4,10,11,0,186,2,27,108,15,46,1,2,52,7,1,22,4,15,15,0,4,17,15,5,53,1,6,1,19,2,5,3,1,7,19,37,34,39,6,7,83,137,9,14,3,22,2,42,1,23,6,9,0,6,0,4,44,17,23,127,3,14,19,6,20,120,23,6,4,12,13,14,8,12,14,39,3,1,17,26,3,18,149,1,19,8,44,37,12,2,2,2,32,1,75,29,32,9,22,26,28,12,9,9,3,5,43,33,23,9,55,19
1,79,65,15,21,3,16,27,2,1,5,2,7,1,22,2,29,11,1,6,3,9,3,34,2,0,6,12,1,0,1,15,0,14,33,24,1,117,35,3,16,35,0,1,8,6,2,4,24,8,53,81,14,4,1,4,19,35,6,23,9,5,20,27,0,7,10,2,7,1,24,2,33,3,43,15,57,18,3,2,0,5,0,7,18,46,4,13,0,2,8,6,11,14,23,177,18,7,34,1,30,8,13,3,66,11,38,21,61,2,3,5,40,14,27,1,9,12,6,17,7,14,2,6,1,13,29,2,14,3,34,0,23,51,9,12,3,1,5,8,4,10,1,31,6,2,1,22,19,85,42,6,20,25,1,6,12,11,6,170,0,7,107,6,47,1,3,11,0,0,21,1,16,24,7,6,40,8,11,41,2,0,1,4,0,3,1,3,7,28,27,34,12,6,19,75,177,2,23,4,24,10,51,4,20,5,1,0,5,3,10,54,14,38,112,4,14,21,7,8,65,20,5,20,5,10,14,6,4,18,16,1,5,5,5,3,23,43,0,15,8,22,31,7,3,6,2,28,6,73,34,21,4,32,9,25,21,17,2,13,15,35,4,35,10,45,7
9,51,60,24,11,7,64,28,5,0,2,8,11,3,178,0,8,17,1,40,2,12,6,57,7,0,11,13,4,1,7,27,0,56,39,13,1,388,26,3,13,15,3,3,6,7,0,1,12,5,25,13,4,5,1,1,11,10,6,80,10,6,120,160,4,5,19,4,0,2,9,0,87,0,40,16,49,13,6,5,14,7,8,19,80,47,3,5,2,1,20,9,35,69,147,634,31,37,26,3,67,9,4,1,22,3,15,71,254,2,1,2,206,6,7,0,5,12,1,3,19,19,10,24,1,10,11,4,9,4,15,0,7,26,18,9,4,2,11,8,3,2,1,7,8,2,8,13,6,213,171,4,38,12,2,1,11,8,3,135,1,46,59,10,74,2,5,96,3,7,25,4,10,2,3,3,67,28,7,86,0,3,1,10,0,26,0,0,8,12,25,22,28,7,5,115,103,12,12,1,13,10,36,10,31,14,9,2,12,0,20,81,28,14,263,8,25,53,4,38,299,20,2,12,9,6,17,8,36,19,44,2,1,8,33,11,29,225,0,15,4,67,79,12,5,7,0,42,6,91,17,58,2,11,27,27,11,18,7,3,31,43,13,30,12,29,24
2,64,41,21,14,4,20,33,2,0,3,6,9,4,25,5,20,27,1,14,10,13,4,28,10,1,13,14,1,1,2,37,0,23,48,20,1,118,34,3,12,15,1,3,9,3,2,7,33,3,61,29,16,0,2,4,13,8,6,25,29,3,45,21,0,3,8,18,1,1,24,8,23,2,114,14,56,20,0,5,0,4,8,18,19,30,7,6,0,5,7,4,11,29,39,241,19,13,32,5,31,10,8,5,53,9,58,39,73,0,1,7,51,3,22,6,23,6,7,18,16,9,4,14,3,9,18,0,24,11,38,4,27,13,7,6,13,0,3,15,5,6,0,4,1,1,0,4,1,51,56,1,23,32,4,5,14,14,4,206,1,3,150,11,37,3,3,26,0,1,31,2,7,13,0,1,22,13,6,28,4,6,1,6,1,9,2,3,7,17,50,54,44,3,20,77,111,9,17,2,21,6,67,1,28,4,18,7,6,3,5,52,9,33,100,1,13,15,9,7,67,27,5,22,10,8,21,3,2,22,26,3,0,11,20,3,34,60,2,19,7,33,17,4,6,7,0,16,1,78,3,25,3,32,5,20,9,13,1,6,18,31,13,33,38,59,12
5,36,39,14,6,6,12,27,1,1,4,2,5,1,50,8,10,53,5,14,0,5,6,34,5,3,9,13,2,3,4,14,0,18,42,25,0,151,19,4,19,14,2,1,17,2,2,7,43,8,56,27,8,2,0,13,7,4,5,23,18,5,60,48,0,11,9,4,1,0,13,15,34,1,73,9,48,21,2,1,0,2,7,11,25,24,4,8,3,3,6,3,13,39,60,302,19,8,38,3,32,9,5,8,32,15,39,41,92,1,2,1,59,14,16,1,31,12,4,15,10,10,1,14,11,14,18,0,19,5,66,0,8,13,9,6,13,0,3,16,16,7,1,4,2,1,0,3,4,71,59,1,22,21,1,11,24,3,7,185,1,22,112,8,37,2,15,54,3,58,22,2,6,6,3,4,15,15,5,43,2,8,1,8,1,11,1,1,5,17,16,17,16,6,11,80,130,5,22,2,32,1,55,0,9,3,7,2,7,1,2,57,13,33,123,9,13,23,10,25,90,22,7,14,3,3,11,2,9,16,18,1,4,13,18,3,21,106,0,17,3,25,37,10,4,4,4,27,3,92,9,26,3,36,16,23,4,12,1,3,13,26,4,14,15,48,11
10,14,20,8,3,0,26,7,1,0,0,0,2,3,57,1,2,4,1,7,0,5,1,16,0,0,0,12,1,1,7,1,0,19,7,11,0,121,8,5,2,3,0,0,2,5,4,3,8,3,13,18,2,0,0,1,4,3,0,25,2,1,34,72,2,8,15,0,2,0,3,4,21,0,17,4,21,14,3,1,7,0,1,7,29,13,0,5,0,1,3,3,9,19,67,274,8,12,8,1,36,4,0,1,5,3,10,24,82,1,0,2,83,0,1,0,6,1,2,0,4,4,1,1,1,2,3,1,5,1,15,0,1,6,8,5,0,1,7,10,3,0,0,2,1,0,0,2,0,72,68,0,13,7,0,0,3,1,3,34,1,25,15,0,37,1,6,40,0,0,7,0,1,11,0,2,3,12,5,33,0,3,0,6,0,1,0,0,2,4,1,7,3,3,6,38,17,2,12,0,12,0,14,3,8,3,0,0,1,0,4,24,10,3,80,2,9,21,2,10,94,11,0,1,6,5,9,0,6,9,25,0,1,13,8,2,5,86,0,3,2,25,29,5,2,8,1,10,1,35,16,34,0,12,7,9,13,4,1,1,10,13,1,22,0,7,19
2,67,61,23,18,1,32,25,1,0,4,6,7,1,85,3,13,50,7,30,1,9,2,33,3,1,3,4,3,4,4,14,4,42,58,9,0,245,19,5,8,15,3,2,4,4,2,4,19,4,38,19,4,9,3,7,5,10,2,41,13,3,64,89,1,10,23,8,2,1,16,7,58,0,73,7,39,16,5,1,0,8,6,19,50,23,0,5,0,4,3,3,17,46,101,428,18,14,30,2,46,16,16,3,22,8,33,48,166,1,0,5,118,31,11,4,5,6,2,15,13,11,3,12,2,19,15,4,17,3,31,4,18,37,12,8,2,2,5,13,1,2,1,10,7,4,7,10,2,130,102,1,34,21,3,1,6,5,3,191,3,37,65,7,59,2,5,62,6,1,20,2,9,5,0,1,18,36,5,63,5,3,1,4,3,9,2,2,7,30,40,12,22,11,12,87,137,6,19,1,18,11,31,4,29,10,3,1,8,1,7,59,14,20,162,2,23,30,3,8,137,15,4,12,6,7,18,6,9,14,27,2,1,14,23,8,34,170,0,15,4,40,42,14,5,9,2,34,2,71,13,33,5,32,17,17,12,18,7,2,20,36,14,40,8,59,17
10,67,51,28,16,2,25,31,4,0,3,4,8,2,63,2,13,42,6,16,0,7,3,42,4,2,4,12,7,6,3,13,1,33,52,45,2,173,35,11,7,21,2,6,10,7,2,8,36,7,38,28,13,9,1,7,10,57,10,34,13,3,51,58,1,3,17,3,1,3,12,1,29,1,71,14,54,33,1,0,10,16,5,5,28,44,1,7,1,1,8,6,8,36,74,335,19,14,25,2,45,9,8,2,38,12,30,39,93,2,5,5,68,5,18,1,23,11,4,11,9,10,0,12,0,12,12,4,30,3,38,7,14,27,17,10,2,0,4,18,7,7,1,15,6,0,6,13,7,113,82,4,20,16,4,2,17,5,2,190,1,17,108,3,49,2,2,45,1,3,25,1,5,10,11,5,19,17,11,59,1,2,0,3,0,15,2,1,5,23,31,29,30,10,17,88,133,5,19,7,19,5,48,3,14,6,1,0,10,0,7,88,17,38,126,2,33,22,5,10,115,29,2,33,9,6,12,8,21,13,29,0,0,20,17,3,23,116,1,11,10,38,43,5,1,18,0,36,3,72,6,48,1,39,10,24,7,17,3,1,13,24,4,41,13,43,24
12,77,51,17,5,0,49,23,0,1,1,4,4,7,138,4,17,10,0,31,1,9,3,65,2,0,1,14,1,2,15,8,3,37,19,16,1,253,11,9,6,5,0,2,2,3,3,1,16,7,17,19,2,1,0,3,7,14,11,43,5,2,77,102,5,14,22,1,5,1,13,1,67,1,37,14,33,11,5,0,5,10,7,33,50,40,1,11,1,3,7,5,27,52,132,490,13,22,26,0,63,10,6,1,26,10,26,54,168,4,0,9,126,9,18,0,11,8,2,10,17,23,6,6,2,8,16,2,15,3,22,3,9,4,14,13,0,0,15,7,0,10,1,16,5,1,3,16,8,159,131,0,31,14,5,0,9,8,3,137,1,38,56,9,66,4,5,92,4,114,33,0,12,10,10,4,29,28,3,55,1,5,1,14,2,21,0,1,7,17,20,24,8,4,5,71,114,5,9,3,13,7,30,7,12,4,0,0,12,1,18,64,28,18,202,8,9,31,6,21,169,24,2,9,10,4,7,6,17,13,40,0,5,19,22,9,21,194,2,7,6,42,37,12,4,11,1,21,1,85,21,49,4,22,19,19,13,13,6,3,31,32,4,16,8,24,22
3,129,52,26,17,5,35,36,1,0,6,2,14,3,66,6,16,52,4,15,6,15,3,49,4,5,11,19,5,3,10,35,0,40,107,23,8,119,32,4,5,17,5,24,11,4,4,6,29,5,53,27,3,2,1,3,8,20,6,26,15,3,42,70,2,5,12,8,0,3,40,3,53,1,130,10,46,18,2,3,2,12,13,19,27,49,0,8,2,8,9,7,14,40,53,333,26,9,45,7,33,16,20,0,40,10,47,33,73,0,2,15,59,23,19,2,10,18,7,16,15,15,1,8,8,24,36,8,15,4,34,7,25,32,6,7,4,1,7,11,4,8,0,9,1,0,4,7,6,88,54,2,32,33,3,2,18,17,4,442,5,19,135,11,58,4,4,39,2,3,79,4,13,13,1,12,44,10,6,55,1,0,3,6,2,15,8,1,6,65,64,43,29,8,19,110,286,4,27,0,32,17,45,3,21,9,6,2,13,0,7,112,14,37,54,1,21,26,8,13,84,30,3,20,10,5,10,3,8,18,23,2,3,16,12,2,66,106,4,30,7,62,35,6,0,8,1,30,4,100,8,16,3,29,12,32,18,19,5,2,8,42,4,39,31,67,14
