,UMAP1,UMAP2,Dataset,Cluster
4303,8.224261,4.1691008,Xenium,Stromal
4304,13.511958,7.981448,Xenium,Invasive_Tumor
4305,15.033524,8.297402,Xenium,Invasive_Tumor
4306,15.661308,9.850508,Xenium,Invasive_Tumor
4307,14.893887,9.448217,Xenium,Invasive_Tumor
4308,11.998578,8.573456,Xenium,Prolif_Invasive_Tumor
4309,11.5246725,9.698464,Xenium,Prolif_Invasive_Tumor
4310,8.13151,4.681663,Xenium,Stromal
4311,3.7982852,-1.0483629,Xenium,Endothelial
4312,4.5948687,0.6125395,Xenium,Stromal
4313,4.642994,0.52841675,Xenium,Stromal
4314,5.3157897,4.8214126,Xenium,Macrophages_1
4315,11.68727,7.481636,Xenium,Prolif_Invasive_Tumor
4316,12.207287,7.5951066,Xenium,Invasive_Tumor
4317,12.729747,7.204668,Xenium,Invasive_Tumor
4318,13.448826,6.6960044,Xenium,Invasive_Tumor
4319,13.099676,6.648555,Xenium,Invasive_Tumor
4320,14.595899,6.288422,Xenium,Invasive_Tumor
4321,13.47526,6.1607924,Xenium,Invasive_Tumor
4322,13.857117,6.1191187,Xenium,Invasive_Tumor
4323,15.235721,6.959992,Xenium,Invasive_Tumor
4324,13.806148,6.270902,Xenium,Invasive_Tumor
4326,14.020612,5.8932624,Xenium,Invasive_Tumor
4327,13.489434,6.310709,Xenium,Invasive_Tumor
4328,13.936565,6.1307874,Xenium,Invasive_Tumor
4329,14.34627,6.4203553,Xenium,Invasive_Tumor
4330,14.046728,6.5136924,Xenium,Invasive_Tumor
4331,14.058565,7.80932,Xenium,Invasive_Tumor
4332,14.24712,6.5561895,Xenium,Invasive_Tumor
4333,13.529609,6.73149,Xenium,Invasive_Tumor
4334,14.811068,7.311126,Xenium,Invasive_Tumor
4335,5.7496047,3.7468915,Xenium,Stromal
4336,14.485848,7.867667,Xenium,Invasive_Tumor
4337,11.978021,6.7366743,Xenium,Invasive_Tumor
4338,12.572685,7.0222325,Xenium,Invasive_Tumor
4339,3.8760087,-0.12142814,Xenium,Endothelial
4340,12.730143,7.721939,Xenium,Invasive_Tumor
4341,5.4406133,3.3984709,Xenium,Macrophages_1
4342,4.172568,5.0411916,Xenium,CD8+_T_Cells
4344,15.183782,7.78122,Xenium,Invasive_Tumor
4345,8.166226,4.1334157,Xenium,Stromal
4346,8.16574,3.338428,Xenium,Stromal
4347,7.473,4.226984,Xenium,Stromal
4348,8.14443,2.7207644,Xenium,Stromal
4349,8.12815,2.732387,Xenium,Stromal
4351,7.3513727,3.7186532,Xenium,Stromal
4567,14.542819,7.26509,Xenium,Invasive_Tumor
4569,13.958257,9.222948,Xenium,Invasive_Tumor
4570,13.449679,7.3962297,Xenium,Prolif_Invasive_Tumor
4571,12.594425,9.149036,Xenium,Prolif_Invasive_Tumor
4572,13.614024,9.645792,Xenium,Invasive_Tumor
4573,12.259959,8.091406,Xenium,Invasive_Tumor
4574,14.988139,7.1315594,Xenium,Invasive_Tumor
4575,14.287024,7.408316,Xenium,Invasive_Tumor
4576,14.100819,7.968745,Xenium,Invasive_Tumor
4577,15.305147,9.5664425,Xenium,Invasive_Tumor
4578,13.35444,7.8454285,Xenium,Invasive_Tumor
4579,14.291551,8.706775,Xenium,Invasive_Tumor
4580,15.423214,8.713365,Xenium,Invasive_Tumor
4581,14.067271,8.367598,Xenium,Invasive_Tumor
4582,14.670935,6.9001136,Xenium,Invasive_Tumor
4583,14.127262,7.405858,Xenium,Invasive_Tumor
4584,14.267898,9.340056,Xenium,Invasive_Tumor
4585,15.677148,9.988218,Xenium,Invasive_Tumor
4586,15.442883,9.591929,Xenium,Invasive_Tumor
4587,15.970412,8.22088,Xenium,Invasive_Tumor
4588,15.966309,9.323713,Xenium,Invasive_Tumor
4589,14.520121,8.521638,Xenium,Invasive_Tumor
4590,15.068232,7.135056,Xenium,Invasive_Tumor
4591,12.767346,6.6047277,Xenium,Invasive_Tumor
4592,5.310793,5.4241285,Xenium,T_Cell_&_Tumor_Hybrid
4593,15.022483,7.0137105,Xenium,Invasive_Tumor
4594,14.820721,7.843607,Xenium,Invasive_Tumor
4595,14.6272,9.898544,Xenium,Invasive_Tumor
4596,15.494815,10.082298,Xenium,Invasive_Tumor
4597,13.5825615,8.502358,Xenium,Invasive_Tumor
4598,14.679853,7.4630976,Xenium,Invasive_Tumor
4599,14.907005,6.596733,Xenium,Invasive_Tumor
4600,4.160105,5.8052993,Xenium,CD8+_T_Cells
4601,13.641347,6.7604184,Xenium,Invasive_Tumor
4602,16.007061,8.309879,Xenium,Invasive_Tumor
4603,14.548717,9.072746,Xenium,Invasive_Tumor
4604,13.600938,7.5053353,Xenium,Invasive_Tumor
4605,12.392308,8.236916,Xenium,Invasive_Tumor
4606,13.4549,7.045876,Xenium,Invasive_Tumor
4607,13.646102,8.5480175,Xenium,Invasive_Tumor
4608,14.419075,6.5744205,Xenium,Invasive_Tumor
4609,13.903955,6.244077,Xenium,Invasive_Tumor
4610,15.248394,7.5052447,Xenium,Invasive_Tumor
4611,14.920029,7.575096,Xenium,Invasive_Tumor
6130,15.59058,10.263969,Xenium,Invasive_Tumor
6131,15.107445,6.9903703,Xenium,Invasive_Tumor
6132,4.104642,-0.028099077,Xenium,Endothelial
6134,15.625369,9.796767,Xenium,Invasive_Tumor
6219,13.235951,6.514028,Xenium,Invasive_Tumor
51236,15.624377,8.70284,Xenium,Invasive_Tumor
51237,14.98162,8.935785,Xenium,Invasive_Tumor
51238,12.1789055,6.765327,Xenium,Invasive_Tumor
51239,15.318868,8.427256,Xenium,Invasive_Tumor
51240,11.647839,9.619256,Xenium,Prolif_Invasive_Tumor
51241,4.102336,6.1316094,Xenium,CD8+_T_Cells
51242,12.191802,7.0600314,Xenium,Invasive_Tumor
51243,14.595034,9.903015,Xenium,Invasive_Tumor
51244,11.8017235,8.905761,Xenium,Prolif_Invasive_Tumor
51245,10.568708,6.465559,Xenium,Stromal
51246,12.65857,7.1240673,Xenium,Invasive_Tumor
51247,7.7620845,4.7895627,Xenium,Stromal
51248,5.5405035,5.3930655,Xenium,Stromal
51250,5.1739416,3.1265202,Xenium,Macrophages_1
51251,4.5448794,5.609669,Xenium,CD8+_T_Cells
51252,5.3416557,3.2596772,Xenium,Stromal
51253,3.8498714,6.2819657,Xenium,CD8+_T_Cells
51254,8.086041,3.1625168,Xenium,Stromal
51256,5.0517178,3.6111095,Xenium,CD4+_T_Cells
51257,7.8802285,2.9365845,Xenium,Stromal
51258,5.059656,3.6866517,Xenium,CD4+_T_Cells
51259,5.0295405,3.6641612,Xenium,CD4+_T_Cells
51260,4.223605,6.1013293,Xenium,CD8+_T_Cells
51261,4.4292426,0.29404306,Xenium,Stromal
51262,5.189643,3.0599556,Xenium,Macrophages_1
51263,5.182685,3.1071894,Xenium,Macrophages_1
51264,2.7341757,4.3197274,Xenium,B_Cells
51287,14.980799,8.621122,Xenium,Invasive_Tumor
51288,14.634415,8.560754,Xenium,Invasive_Tumor
51289,11.849906,8.123794,Xenium,Prolif_Invasive_Tumor
51290,3.018919,-0.67167515,Xenium,Endothelial
51291,14.2549095,6.6757307,Xenium,Invasive_Tumor
51292,15.191817,6.70348,Xenium,Invasive_Tumor
51293,11.984551,9.371441,Xenium,Prolif_Invasive_Tumor
