"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",0.00792359170246489,0.993677954667717
"ANKRD28","B_Cells",0.00572229571776174,0.995434293511554
"BASP1","B_Cells",0.00595420156391898,0.99524926257119
"C2orf42","B_Cells",0.00707501726555905,0.994355000050666
"CCPG1","B_Cells",0.040343891178045,0.96781896214443
"CLDN4","B_Cells",0.00670198612894298,0.994652628772003
"CXCR4","B_Cells",0.00489254151068209,0.996096332239204
"CYTIP","B_Cells",0.0047720008145716,0.996192508676614
"DAPK3","B_Cells",0.00707863055417946,0.994352117135653
"DUSP5","B_Cells",0.00737598144461696,0.994114871648122
"ERN1","B_Cells",0.00792359170246489,0.993677954667717
"ESR1","B_Cells",0.00792359170246489,0.993677954667717
"FAM107B","B_Cells",0.00550915836302471,0.995604349834405
"FAM49A","B_Cells",0.00572229571776174,0.995434293511554
"GLIPR1","B_Cells",0.00684852271574064,0.994535712175414
"HDC","B_Cells",0.00224663037676894,0.998207449816483
"HMGA1","B_Cells",0.00440803872049671,0.996482905351495
"ITGAM","B_Cells",0.00792359170246489,0.993677954667717
"KARS","B_Cells",0.0115514681510198,0.990783466878343
"LDHB","B_Cells",0.00590767606555966,0.995286383895115
"LGALSL","B_Cells",0.00792359170246489,0.993677954667717
"LPXN","B_Cells",0.00604532774781729,0.995176555704631
"MAP3K8","B_Cells",0.0055356168528811,0.99558323933575
"MDM2","B_Cells",0.00441418619727531,0.996478000422406
"MRC1","B_Cells",0.00792359170246489,0.993677954667717
"MZB1","B_Cells",0.00523465840791755,0.995823365949698
"NPM3","B_Cells",0.00794985949468261,0.993656996661961
"OCIAD2","B_Cells",0.00556970906474545,0.9955560381056
"PDE4A","B_Cells",0.0056218348413035,0.995514448404416
"PELI1","B_Cells",0.00576316684444804,0.995401683608315
"PIM1","B_Cells",0.00584288159921532,0.995338081507147
"PRDM1","B_Cells",0.00748331564077887,0.994029233713825
"RAB30","B_Cells",0.00792359170246489,0.993677954667717
"RAPGEF3","B_Cells",0.00792359170246489,0.993677954667717
"RUNX1","B_Cells",0.0205330751454448,0.983618127482898
"SEC11C","B_Cells",0.00604532774781729,0.995176555704631
"SEC24A","B_Cells",0.0152711479122032,0.987815860430009
"SELL","B_Cells",0.00792359170246489,0.993677954667717
"SLAMF7","B_Cells",0.00792359170246489,0.993677954667717
"SLC25A37","B_Cells",0.00721705356772052,0.994241674371764
"SMAP2","B_Cells",0.00572229571776174,0.995434293511554
"SQLE","B_Cells",0.0003753535664104,0.999700511191551
"TENT5C","B_Cells",0.00545352793249963,0.995648735829229
"THAP2","B_Cells",0.00530390246251279,0.995768117954614
"TIFA","B_Cells",0.00599132949513284,0.995219639296496
"TMEM147","B_Cells",0.00380242649634448,0.996966109915871
"TOMM7","B_Cells",0.00427413411094336,0.996589744765297
"TPD52","B_Cells",0.0227194942072501,0.98187402571992
"TRAPPC3","B_Cells",0.037680689269398,0.969942272792023
"TRIB1","B_Cells",0.0319966135522377,0.974474751510089
"TUBA4A","B_Cells",0.00522684362668504,0.995829601157688
"TUBB2B","B_Cells",0.00689740778940586,0.99449670845112
"VOPP1","B_Cells",0.00532200667355744,0.995753673088009
