GeneNames,BSP,Hotspot,Giotto_kmeans,Giotto_rank,Moran's I,SpatialDE,SPARK
ABCC11,0.010101559691715,5.4107962417241425e-71,2.2451487311344698e-114,7.56912319431671e-19,0.0009756097560975,0.5891642877653899,1.82365945634694e-15
ACTA2,0.0482414329497824,4.4442852908310095e-95,0.0295900816233571,2.0553236604325897e-28,0.0009756097560975,0.5891642877653899,1.82365945634694e-15
ACTG2,0.213688660965762,0.7922779264637164,1.89328989869612e-11,0.570450483709256,0.518048780487805,0.5909920416601754,1.0
ADAM9,0.177719575670195,0.0825377640381464,2.58025723196657e-05,0.415079719017819,0.518048780487805,0.5774081189800327,1.0
ADGRE5,0.772242598085516,3.175968266081594e-173,6.41410810274426e-36,9.621162154116379e-36,0.0009756097560975,0.6045414031366843,1.82365945634694e-15
AIF1,0.358370537086247,6.913528885188346e-68,1.885469803636e-17,2.28949904727228e-17,0.0009756097560975,0.6562356236249008,1.82365945634694e-15
AKR1C1,0.959874815980172,6.106909139515191e-07,0.0014568965994207,0.0016881500279002,0.0058536585365853,0.6167088100207209,0.0001047480359017
ANGPT2,0.858025386754088,3.9315214634621344e-08,9.25013094546348e-07,1.07603564059473e-06,0.0009756097560975,0.5840142812660093,4.83399066293291e-06
ANKRD28,0.781301471161586,0.1643950047889381,0.0059905606098641,0.0067449275014766,0.327804878048781,0.6562356236249008,1.0
ANKRD29,0.933887419350499,6.3781358266598705e-15,1.04173534518522e-05,1.24618807648325e-05,0.0009756097560975,0.5503892664217583,0.0002850139952286
ANKRD30A,0.0001866494044108,0.0,8.12588318523054e-63,8.40073463387263e-46,0.0009756097560975,0.4024188347654964,1.73646963301729e-15
APOBEC3B,0.962351055993691,0.0153398011534451,0.860766296797636,0.868886733559878,0.51609756097561,0.587559581421905,1.0
APOC1,0.268258870626838,1.723251948577218e-34,4.70245945283843e-05,5.57636784672875e-05,0.0009756097560975,0.5595270049540814,1.82365945634694e-15
AQP1,0.06526397467382,5.991772453513559e-227,3.24007061823346e-45,4.7486875499702e-44,0.0009756097560975,0.5909920416601754,1.73646963301729e-15
