genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
MMP2,2.04741459666042e-105,1.72888409466754,4.50431211265293e-103,416.755908105117,6.17448435389682,1934
CCDC80,8.86642382567212e-99,1.70913432184532,9.75306620823933e-97,385.877498742834,6.17969741501676,1840
PDGFRA,7.60546775265546e-91,1.75727355667516,5.577343018614e-89,364.645467443758,6.0314974619057,1429
PDGFRB,9.82724874012934e-78,1.64292423489461,5.40498680707114e-76,291.317539350875,6.23936231329591,1595
FBLN1,3.18761972160867e-67,1.71075041214253,1.16879389792318e-65,261.939713311315,5.70644365683846,1159
CXCL12,3.77508219153955e-71,1.55748902686491,1.6610361642774e-69,252.554819189481,6.30932986483638,2041
ZEB2,8.18324194630001e-66,1.53823593255022,2.57187604026572e-64,230.533154527383,6.03112608290276,1915
MLPH,6.63918893845998e-58,1.57011761649673,1.82577695807649e-56,206.716889597865,6.52918307366935,3099
LUM,8.34052617058563e-52,1.54771270891798,2.03879528614315e-50,182.031596874676,7.29376495912241,3162
LDHB,5.29529395013658e-46,1.44389733957363,1.16496466903005e-44,150.529323749733,5.61076390735797,1729
GLIPR1,4.2610724515887e-34,1.48014065039467,8.5221449031774e-33,113.731598327708,5.25521687256392,1097
IGF1,9.77479907920505e-32,1.46709863069124,1.79204649785426e-30,104.755119446949,5.74268624681609,1075
CD68,1.11683426098009e-25,1.33558243232434,1.89002721088939e-24,76.7347256166458,5.78039776979778,1471
EGFR,9.23307187230725e-24,1.42506622872251,1.35418387460506e-22,75.5844445771549,5.27518789773343,974
MYO5B,4.59341349838086e-25,1.3087380608531,7.21822121174135e-24,73.3416860285384,5.62432332098021,2800
DPT,5.00557893031413e-21,1.539674447411,5.79593349825847e-20,71.9701326260803,5.35785718557454,665
PTPRC,1.75218836068915e-22,1.41209220007411,2.40925899594758e-21,70.7401801003393,6.01782264219904,962
ITGAX,1.15101693815076e-18,1.70178565095988,1.01289490557267e-17,70.2937638026708,5.37366377875041,458
IL7R,1.13459881165422e-20,1.49799709469996,1.24805869281964e-19,68.7961498393964,5.88828671004641,717
GJB2,9.55546981358986e-20,1.52254504851739,8.75918066245737e-19,66.6792332848296,5.57853342752869,654
TCF4,4.26914661516365e-21,1.37570480138075,5.2178458629778e-20,64.5245075867725,5.4708962325097,1028
AR,4.90472742486436e-22,1.27176091068453,6.34729431453035e-21,62.4010761349966,5.47040073571491,2513
LRRC15,3.01041983599349e-17,1.58190383758088,2.45293468117988e-16,60.1785754458208,5.17141763813694,529
CD9,5.51369622779421e-20,1.3188291645932,5.27397030484664e-19,58.4827758929977,6.21851241135055,3262
DSP,2.35851476638294e-20,1.26464160965528,2.35851476638294e-19,57.1537952907848,5.59361870422845,2664
ELF3,2.15841825414106e-20,1.25820968776603,2.26120007576683e-19,56.9746615046269,5.43471584609086,2044
FCER1G,4.07426603003555e-18,1.2694651301918,3.44745587156854e-17,50.8317209727672,5.81857845662184,1492
FCGR3A,5.32841528903554e-16,1.4265504158673,4.0422460813373e-15,50.1693638507674,5.39364892101582,709
CD3E,5.86005245156017e-15,1.48954105283287,4.15874690110722e-14,48.8131806002467,6.06017598055969,585
POSTN,8.99672364799339e-17,1.25766432432939,7.06885429485195e-16,46.4670320871557,7.03086040415623,3005
EPCAM,9.78347931669335e-15,1.35172981116693,6.72614203022668e-14,43.604210030411,7.4768811122941,3669
ANKRD30A,2.15153877416596e-14,1.33548823523095,1.43435918277731e-13,42.0278254557857,6.96103474618313,3627
ABCC11,4.49957666211983e-15,1.22580104691752,3.29968955222121e-14,40.4940839392799,6.07041469263066,2788
PTGDS,5.9561520096494e-13,1.41178580141891,3.74386697749391e-12,39.7406148653681,5.62426498654268,626
SLAMF7,1.83347610242945e-10,1.72095196259103,9.60392244129713e-10,38.5831187351732,5.39791145377262,308
FGL2,1.06176101283883e-11,1.37683981773781,6.31317358985252e-11,34.7906867932738,5.66963434193938,647
LYPD3,2.89317057035134e-13,1.19709998882403,1.87205154552146e-12,34.5617769129683,5.36349744215102,2182
PRDM1,1.36654859419687e-11,1.32169131854453,7.91159712429766e-11,33.0636252862502,5.4321048133993,776
CD4,5.21556628232222e-12,1.25090695810267,3.18729050586358e-11,32.4977790109452,5.68175353227338,1118
KRT8,6.30913168687877e-11,1.28654415226671,3.55899736182905e-10,30.2163394213207,6.7229390664624,3649
CTTN,7.4633483253536e-10,1.36655141687679,3.7316741626768e-09,28.7192351930404,6.51214237618222,3912
AIF1,7.79130134240639e-11,1.22617422674471,4.28521573832351e-10,28.5397300821752,5.54005890316008,1186
TACSTD2,1.17402338184795e-10,1.22675915292235,6.29963765869632e-10,28.0503562684869,6.19784860527644,3348
CRISPLD2,3.5611318270134e-10,1.21725744723915,1.82197442312313e-09,26.4823761041835,5.35083252043661,1186
TRAC,2.07133140674436e-09,1.28129777571061,1.01265090996391e-08,25.619644154985,5.62557612558325,788
