genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
LUM,1.02204163598489e-167,2.74115315948928,2.24849159916675e-165,1054.00054998968,8.40135944923307,832
POSTN,3.75796084108131e-69,1.90361413715601,4.13375692518944e-67,299.922963932265,8.13364222272117,833
CCDC80,4.48082150517659e-67,1.88920207557197,3.28593577046283e-65,288.619814603677,6.14132601312701,833
CXCL12,5.34934687509098e-66,1.87083796361628,2.94214078130004e-64,281.175050514355,6.57213121338358,834
MMP2,1.06060140098956e-65,1.87549793257653,4.66664616435409e-64,280.59173580057,6.25169135331959,833
PDGFRA,6.25282745956796e-60,2.02447122505599,2.29270340184159e-58,275.980111749045,5.90225544116239,619
PDGFRB,2.70185077025539e-53,1.80339211277157,8.49153099223122e-52,218.288123009628,6.0143579484301,763
ZEB2,1.05668093796622e-46,1.69148387161543,2.9058725794071e-45,179.066878949182,6.29359717275138,833
ANKRD30A,2.17557693715333e-37,1.60042119967999,5.31807695748592e-36,135.104924268647,8.13064611915587,833
DPT,2.94264126755721e-23,2.18401409193078,4.97985445278912e-22,113.306977753444,5.2986724181538,267
SCD,1.29784122042118e-28,1.50613253892929,2.85525068492661e-27,96.7113011083222,8.51484502248104,833
LDHB,1.66011283403732e-26,1.48091588198876,3.32022566807464e-25,87.9076507855079,5.88774775009193,833
TACSTD2,8.37642670341299e-26,1.4718087727638,1.53567822895905e-24,84.9848745518314,7.18505177917325,833
IGF1,2.10139101851454e-22,1.59281380787692,3.30218588623714e-21,79.5041424969575,5.63278625623754,537
FBLN1,6.90975322830041e-20,1.59617030674267,9.50091068891307e-19,70.421067347912,5.56927475639657,492
RAMP2,6.22941399683823e-17,1.75619571245521,7.61372821835784e-16,65.5318534799981,6.04761459384947,327
MLPH,6.14760623054236e-20,1.40277052378617,9.0164891381288e-19,62.0524506087746,7.49889132046991,833
CD68,9.63575608936874e-19,1.38893486076435,1.24698019980066e-17,57.6180681845621,5.78911861982272,825
TCF4,3.18820962561714e-16,1.49686482578897,3.34002913159891e-15,53.4109839829591,5.48253497780814,513
RUNX1,7.99167649601391e-17,1.36099091757018,9.25352015327927e-16,50.4458714864323,6.5364356109937,835
GATA3,1.52023763913793e-16,1.36010230204602,1.67226140305172e-15,49.5383190560123,8.16686961398568,831
CAV1,2.74502568281627e-15,1.40685879354161,2.74502568281627e-14,47.1705487416709,6.10934825205866,633
FASN,6.53101339424002e-15,1.33542624210772,6.24705629014263e-14,43.6179780656711,7.88065535937813,833
GLIPR1,4.40047149610264e-14,1.40248974286527,4.03376553809408e-13,43.13284219812,5.47163858086513,599
MEDAG,4.03607116967015e-09,2.08350853668413,2.53695902093552e-08,40.2700407061982,5.35108450323509,156
CD163,3.59599638818778e-12,1.50709966151591,3.16447682160525e-11,39.7138846061397,5.62733511990014,406
CLEC14A,4.97028585988014e-11,1.49393805316475,3.90522460419154e-10,35.4436185629919,6.21076116047161,380
CD86,1.7194263108519e-09,1.61741033899051,1.11256996584535e-08,32.6414030686189,5.2503889775417,280
KRT7,1.20062561495589e-11,1.28626120615157,1.01591398188575e-10,32.3438011111134,8.69824702099026,832
PTGDS,6.17558778712595e-09,1.65586847967971,3.67197111666949e-08,31.3003218082547,5.69478428532517,252
PCLAF,4.88683427564202e-11,1.27689630415946,3.90522460419154e-10,30.3159332757787,6.12926128494812,833
FOXA1,1.13686224408514e-10,1.27073974062525,8.62447219650796e-10,29.0968634467512,8.2802864123161,831
EGFR,1.00710249623e-09,1.39470684649178,6.71401664153332e-09,28.8930098569614,5.18605089525073,451
ZEB1,3.14042942588285e-10,1.31992294237067,2.22869185062654e-09,28.8818824851352,5.43836136182596,621
ABCC11,2.63980552791987e-10,1.26474652034328,1.93585738714124e-09,27.8941687533846,6.87327369008291,833
PECAM1,6.14186445400893e-10,1.26746548442446,4.22253181213114e-09,26.8838587658868,5.82656998129958,773
TOP2A,5.02040263558173e-09,1.24239464086666,3.0680238328555e-08,23.7418580701597,6.57553198736552,832
LRRC15,6.82149082751104e-07,1.64560146894879,3.00145596410486e-06,23.3642786295528,5.22808402743858,209
LPL,5.15325614302142e-07,1.58570403418662,2.36190906555148e-06,22.9585633329918,5.57611355827069,235
EDNRB,2.28813689320923e-07,1.49779772598148,1.19854789644293e-06,22.9018630648208,5.43501436207433,287
MRC1,5.40944107294227e-07,1.55044393746819,2.42872864499449e-06,22.3728283049601,5.58681973964371,253
SERHL2,1.57497036221751e-08,1.23514546883207,9.1182494654698e-08,22.1911722551892,6.71607168575627,832
ACTA2,5.50377942044253e-08,1.2226090047723,3.10469608332655e-07,20.4362099346841,7.03069923840836,836
ERBB2,1.04758458156943e-07,1.2180168199844,5.76171519863186e-07,19.5754895201705,9.30041256162814,833
FCGR3A,5.14709763777755e-07,1.35168387071288,2.36190906555148e-06,19.571926471731,5.43864163973884,414
LYZ,2.51056113653425e-07,1.26027950857435,1.28447313962217e-06,19.153210453196,5.81000290709779,620
PTN,2.23892822297325e-06,1.45282364817991,8.955712891893e-06,18.9005285422986,5.18758446545646,289
CD9,1.83994052958339e-07,1.21342493096302,9.8728516221548e-07,18.8182335754655,7.0367407765563,834
AIF1,2.81486300299664e-07,1.22918987864403,1.37615524590947e-06,18.5400947226242,5.56786687313815,728
MYO5B,2.6587872371786e-07,1.21099997965355,1.3293936185893e-06,18.334812842692,6.42098343359832,833
LYPD3,2.97061602886929e-07,1.21149590496609,1.4207294051114e-06,18.207967269907,5.91975743215398,833
IL7R,1.29476885750532e-06,1.33107068151281,5.37451223870132e-06,18.0455626485619,6.18447814322079,420
TENT5C,7.00329203646121e-07,1.20294413391438,3.02102793729699e-06,17.0477818135415,6.50354413124288,833
PCOLCE,2.68259431358959e-05,1.61527263940558,9.83617914982848e-05,17.0025877354841,5.05753286765206,184
AVPR1A,2.92212440726532e-05,1.62046899277902,0.000105388093376782,16.9186921867455,5.56718039709503,180
ELF3,1.17365755750825e-06,1.19946269167124,4.96547428176568e-06,16.3791255289283,5.93687068873441,834
SFRP4,2.411618420022e-05,1.51117282350032,8.9924754644888e-05,16.0677375681886,5.45311420171996,225
CD69,1.93725387316091e-05,1.45159537373641,7.34820434647243e-05,15.7522107786288,5.77020133564764,254
BASP1,2.09443938810608e-06,1.19318707181647,8.53290121080256e-06,15.6023821833376,6.11811619056239,831
CAVIN2,0.000147955372798983,1.731231993772,0.000485823612175765,15.2670422262378,5.34460811637883,136
CD93,1.16331242972237e-05,1.26206876707963,4.57015597390932e-05,14.339188638482,6.23821127060242,475
GJB2,3.76452595022352e-05,1.38413580722919,0.000133579953072447,14.1006115829168,5.59020692777479,295
PTPRC,1.65211979849491e-05,1.19614744483634,6.37660273103299e-05,13.1706195605772,6.11968265273794,689
PRDM1,5.6265863758345e-05,1.25004440113797,0.000196483968679935,12.2322126517335,5.59501926250877,453
ITGAX,0.000272905255297085,1.38456530840339,0.000822454194046008,11.3622771874168,5.38600551094932,255
EPCAM,5.8126649555874e-05,1.16181303323342,0.000199810357848317,11.331030432415,8.55173440072283,831
CDH1,7.6466280047346e-05,1.15887368106939,0.000258808947852556,10.9845704146994,6.91784166851873,832
