genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
CLEC14A,1.52186935140961e-130,4.33405784698526,1.67405628655057e-128,1295.51976706368,6.30978623578541,340
RAMP2,1.36333883694619e-123,4.39594726562166,9.9978181376054e-122,1243.64877967009,6.20210643628299,324
LUM,1.42171781475952e-174,2.7637458737785,3.12777919247095e-172,1106.32178081871,7.66940504492423,862
HOXD9,2.27090518041961e-59,4.86887574772389,3.84307030532549e-58,657.455695008928,5.8334243935394,171
MMRN2,2.43527520907586e-78,3.67300469776085,5.95289495551877e-77,656.408463632625,5.54481838288616,280
CD93,1.42841458162891e-98,2.84317002598178,5.23752013263933e-97,640.557034697248,6.22669423554926,476
KDR,1.17384283709104e-80,3.40133479216099,3.22806780200037e-79,626.003847486994,5.87676241078926,319
ZEB2,2.92574484019922e-113,2.26939734813306,1.60915966210957e-111,588.042987471605,5.89023135456749,861
CAVIN2,7.59769093980295e-50,4.84182447704702,8.35746003378324e-49,547.617176644881,5.42388498066477,154
LDHB,1.20465057830061e-100,2.1695091402509,5.30046254452269e-99,499.144000618583,5.59054193288488,851
POSTN,1.7595212204667e-86,2.04156629380037,5.52992383575249e-85,403.122119676558,7.45987021912096,862
PDGFRA,3.75975946178603e-63,2.42453057431962,7.51951892357205e-62,348.498402203863,5.62845062632813,447
CCDC80,1.24043228590323e-67,1.98909458709663,2.72895102898711e-66,306.435419308373,5.73537062902969,726
CAV1,2.12922995775962e-62,2.15790372116641,3.90358825589263e-61,306.432072146807,6.21270724111745,558
ZEB1,6.96466674222966e-58,2.16211506054741,1.02148445552702e-56,284.553986156432,5.51318168174397,528
VWF,3.23244530036081e-58,2.02481925635255,5.07955690056698e-57,268.038884132956,5.98596262460897,606
PRDM1,1.17619182241552e-50,2.25569666375482,1.4375677829523e-49,259.330616759642,5.75918402513482,438
PTPRC,1.49547163814103e-55,1.98750079135756,1.93531623759427e-54,250.901580130894,6.17008420647344,617
TCF4,1.64362613066324e-50,2.18593050352543,1.90314604603111e-49,250.578350104123,5.46841457865141,458
IL3RA,2.18908955478938e-29,3.57399932913473,1.5049990689177e-28,235.853512281683,5.31252695408015,158
CXCL12,5.27582898316648e-56,1.77398840598611,7.25426485185391e-55,225.796134828347,5.94143777859806,861
AQP1,4.7486875499702e-45,2.13742028090996,4.7486875499702e-44,218.141824187777,5.70516372527298,437
ADGRE5,1.13704643639557e-36,2.41465478908201,9.62116215411638e-36,199.848008488201,5.47710776895921,319
GLIPR1,8.20742734265342e-44,1.98478651800633,7.85058267558153e-43,196.908099307226,5.48001062662104,505
DPT,3.9134292464832e-28,2.9946950174025,2.39154009507307e-27,188.989119032214,5.28784515841304,190
ANKRD30A,8.01888305960569e-47,1.67781367043268,8.40073463387263e-46,178.082640018025,8.22400280926523,862
CD3E,3.76820171170837e-33,2.04919074723458,2.85863578129601e-32,152.98993810274,6.3472631973751,388
MMP2,8.9723790159107e-39,1.65899407536131,7.89569353400142e-38,145.338942787096,5.64616350980665,759
EPCAM,4.65689574448672e-39,1.6025622827815,4.26882109911283e-38,141.446104685753,8.6015481097423,863
CYTIP,3.03941410747925e-30,2.01116780824049,2.22890367881812e-29,136.690806045872,5.80383206617149,376
NOSTRIN,5.35593777550132e-26,2.27867702098213,2.80549121573878e-25,132.593952230975,5.62531931243169,265
BTNL9,2.71374176690458e-22,2.5311549501548,1.21841467085512e-21,125.693468545556,5.6932124296976,203
MLPH,3.67558035344163e-34,1.55057838697842,2.99491732502652e-33,119.373110094818,7.5936266850038,861
PECAM1,3.43512658555915e-33,1.5956580988653,2.69902803151076e-32,119.277444311556,5.8707468792195,756
PDGFRB,5.62554937999286e-30,1.67787935844987,3.99232536644654e-29,113.005567715618,5.74963127590956,587
GPR183,7.59205075470621e-27,1.867667892523,4.28269529752658e-26,112.326581848699,5.6617208776235,404
FBLN1,1.21570365658492e-23,1.89468876223677,5.8142348793192e-23,99.9716119066086,5.47099762952788,366
ACTA2,3.08298549064889e-29,1.50267164236875,2.05532366043259e-28,98.6489947161567,6.73360123031744,859
FOXA1,1.36167086780247e-28,1.49368002073386,8.81081149754541e-28,95.8399920538191,8.32881771777392,861
TACSTD2,2.10390238476987e-28,1.49582363167803,1.32245292756963e-27,95.3267289985861,7.33716581455575,861
GATA3,1.99108042980479e-27,1.47962444799272,1.18388566096501e-26,90.9689683749713,8.22701423860039,860
TRAC,1.74933476327215e-23,1.73441974583576,8.18837548765687e-23,90.8839789571798,6.02240167804042,450
FASN,5.61447550062864e-27,1.47325962284836,3.25048581615342e-26,89.0503666341055,7.95407255340835,861
CXCR4,1.34257065846164e-26,1.47623329060335,7.384138621539e-26,87.9430940639052,6.791702428894,861
LYPD3,2.36250597952977e-26,1.46823867428544,1.26768613535744e-25,86.6370781658544,6.02114159654393,859
CD68,9.56040704486251e-25,1.49840894804392,4.89137104620872e-24,82.8724992253748,5.69558339420747,745
CDH1,1.41526625815959e-24,1.4502010827501,7.07633129079794e-24,79.637393001555,6.98484283073289,860
SCD,2.95026275904394e-24,1.44638271784188,1.44235068219926e-23,78.3652297095188,8.62830859047199,861
CCL5,1.19333394245409e-19,1.79716393452823,5.04872052576729e-19,78.3066842584591,6.42383892710904,360
KRT7,4.41715200155888e-23,1.43277441952473,2.02452800071449e-22,73.7505760165779,8.76464207343251,861
IL7R,2.00515833069528e-18,1.7770834257941,8.02063332278111e-18,72.4175866366441,6.0858405211985,356
ERBB2,4.63452539574264e-22,1.41843925735505,2.03919117412676e-21,69.6784714230592,9.34100517096176,863
CD3G,6.90496688835306e-16,1.98485151001057,2.4112582784725e-15,69.28942053036,5.95497348651711,252
DSP,3.15133967832294e-21,1.4086105733043,1.3594014298648e-20,66.4955176922438,6.41262354675864,862
MYLK,3.2749063455057e-17,1.68119493468282,1.20079899335209e-16,63.8142212003382,5.48471421905436,392
CD8A,4.39304236115575e-16,1.74908531889594,1.55882148299075e-15,61.8499997411054,6.00913905535249,338
CD163,2.98187362254472e-16,1.72192423621167,1.0754298310817e-15,61.5567417564594,5.4401663955967,352
ABCC11,1.82347058772175e-19,1.38790339412203,7.56912319431671e-19,59.8857763428045,7.02462317819755,859
KLRB1,4.18926474422007e-14,1.92056029069142,1.37557946825137e-13,59.1602978465635,5.76979861559052,250
IL2RG,2.29167101643323e-15,1.72659002535627,7.7564249786971e-15,58.2024780718831,5.68219510222707,342
AIF1,5.82781575669308e-18,1.45741654207951,2.28949904727228e-17,57.835956864929,5.52721225712462,634
SERHL2,6.2873894246267e-19,1.379150157864,2.56152902484792e-18,57.8009703600304,6.85982676393423,862
RTKN2,1.69203383550784e-17,1.44458251314567,6.41805937606421e-17,55.7869096273756,4.99377005339042,633
EGFL7,1.78843609939128e-12,2.01659729288768,5.46466585925112e-12,54.5483105851742,5.05173175002862,202
PPARG,2.29053747484937e-17,1.4001450964092,8.54098719435356e-17,53.6467835121225,5.20165090733187,740
ELF3,1.04370217235447e-17,1.36261499689788,4.02832417399971e-17,53.2798439189666,6.09977670140694,861
S100A4,1.00136316924819e-15,1.44983922177581,3.44218589429066e-15,50.0736976590889,5.77149930834882,590
FGL2,9.92737129621083e-14,1.64593143709004,3.21179659583292e-13,49.2806612936168,5.57314373901439,348
EDNRB,3.0185940961405e-11,1.91596592168787,8.73803554145933e-11,46.4116779953054,5.47647128682382,210
SOX17,4.41173128784366e-09,2.37224254067625,1.14185986273601e-08,45.6395710191592,5.33900355852209,127
IGF1,4.49319058803643e-13,1.55507333762749,1.4326114918377e-12,44.2123571803778,5.3657108343079,392
TCIM,1.17781015237628e-14,1.32400444618771,3.92603384125427e-14,42.4641781337235,7.65145329074565,861
CD3D,2.27845286142282e-09,2.04946621232997,5.96737654182167e-09,40.7839045959889,5.80745966709404,167
IGSF6,1.85690265344328e-12,1.48655714314802,5.59614498297974e-12,40.1550469396231,5.26184070481319,445
CD4,8.85638040709472e-13,1.3656294030943,2.78343384222977e-12,37.8995863907729,5.67960329831242,638
CD69,1.17058256414571e-09,1.81057937653661,3.21910205140072e-09,37.2359486933997,5.71572163393474,219
GZMA,1.32785262579213e-09,1.78353843087935,3.6065133046206e-09,36.4549953999899,6.14594560246283,234
PDK4,1.76855938348434e-12,1.29351779817302,5.46466585925112e-12,35.0036986219351,5.8831888745458,862
PTGDS,1.22884043998281e-08,1.84039890043878,3.07210109995702e-08,33.5221477575521,5.34839190873639,197
DMKN,4.36988823303762e-11,1.39848197509634,1.24853949515361e-10,33.358967517661,4.66602189327109,503
CTTN,7.0424356121519e-12,1.28236689767415,2.093697073883e-11,32.9299855326306,7.4199329302457,861
LPXN,2.77282526797124e-10,1.47192103807958,7.82078921735479e-10,32.3910710740715,5.30746672032299,403
CD247,8.86984135692364e-09,1.7283790829404,2.24294838910713e-08,32.0452006529139,5.65923894068388,228
ANGPT2,4.79324967174017e-07,2.19382507451313,1.07603564059473e-06,31.9221008474491,5.18945781861549,121
SLAMF7,4.4523431973655e-08,1.86255146638795,1.08835055935601e-07,31.5278747287748,5.93689651952772,189
RUNX1,2.65903508577383e-11,1.27649945044463,7.79983625160322e-11,31.0833650396065,6.25863905253089,861
AVPR1A,1.6319002311251e-07,1.9735821897125,3.86040914889808e-07,30.843834258962,5.58768094431344,155
LPL,3.00418213160535e-07,1.84032917380273,7.03106456333168e-07,27.638229694016,5.4772341843336,174
PTN,8.53116368340503e-08,1.68976509660682,2.06247913225176e-07,27.5042303861885,5.02111339021938,219
FCER1G,4.66648591045906e-10,1.26674714512996,1.29952772189999e-09,27.2166256383074,5.74209754699655,801
ITGAM,4.59438300366411e-07,1.82723197509451,1.04202501114031e-06,26.6652734485564,5.0964454131468,170
MYO5B,1.72974245309567e-09,1.24447370328225,4.64077243513471e-09,25.1076219810008,6.47580361811045,861
SLC5A6,2.12699487385479e-09,1.24412798650411,5.63781773792837e-09,24.8434390098311,5.58610616362809,860
ESM1,4.99680757987695e-06,2.01101593363398,1.03707327129522e-05,24.5478909888837,5.80927385802151,127
KLF5,5.84799192920472e-09,1.2365539993581,1.49599793537795e-08,23.4415612819426,5.77454895664769,862
LRRC15,2.68520374993154e-06,1.81781398457474,5.7353866503392e-06,23.3184705180204,5.12632481600201,163
CD86,8.65003950691506e-07,1.5544519777555,1.90300869152131e-06,21.7009762091276,5.12222756712693,243
CCPG1,2.73061076214999e-08,1.22612969757368,6.74982435587639e-08,21.354465399329,5.48079286395309,860
ANKRD29,6.06100564471401e-06,1.64934807913651,1.24618807648325e-05,19.8146655198813,5.05677814330133,189
MRC1,4.90351768510774e-06,1.6039860409627,1.02740370545114e-05,19.6096239186315,5.51895545257071,212
HOXD8,1.32783479568835e-07,1.21110925441827,3.17525712012431e-07,19.1773652103814,5.12444405919567,861
AR,3.44552879356029e-07,1.20484423063214,7.97911931140277e-07,17.9293089992858,6.2210025413179,859
MNDA,3.235910054956e-05,1.70794723821591,6.24473870254666e-05,17.6578093824993,5.11202146732303,164
CD9,4.50798208458823e-07,1.20192113042186,1.03307922771813e-06,17.5627672650893,7.13685152632508,861
HOOK2,7.39673498988708e-07,1.2317667398185,1.64371888664157e-06,17.3889212344676,4.75164218220232,673
FBLIM1,3.88869001038769e-06,1.38494469489128,8.22607502197397e-06,17.2528629682223,5.17419811981419,337
C6orf132,1.05395486633768e-06,1.2463797318509,2.29574327321079e-06,17.1538755534994,4.77684792069581,607
ITGAX,1.40933028389842e-05,1.50775836425139,2.84451983906104e-05,16.8413757352519,5.3686228045146,230
CCND1,1.13429174694037e-06,1.19416438234671,2.44651161104786e-06,16.3475158357789,8.37157407111432,859
RAPGEF3,2.04735120856068e-05,1.31656247766706,4.02158273110134e-05,14.2141069603394,4.86582320599124,379
MAP3K8,1.49116965800686e-05,1.22208759811712,2.98233931601372e-05,13.5815051091787,4.99282497401202,598
LYZ,1.79646728152046e-05,1.21991297937653,3.5605657831937e-05,13.3301152035447,5.78587070678212,593
HAVCR2,5.6034288980556e-05,1.35765297233013,0.000106271927376917,13.2908072447841,5.26193124897598,313
BASP1,1.34127538707141e-05,1.17311133858839,2.73222764033065e-05,13.1614933461481,6.04250471839035,861
APOC1,2.8642253030925e-05,1.22390259679024,5.57636784672875e-05,12.8027892245629,5.66226351226343,566
CD14,4.00655538233499e-05,1.23202636447508,7.66471464446693e-05,12.4742590549825,5.37450217785809,518
SELL,0.000753384309055597,1.67430486404913,0.00132595638393785,12.0398175978591,5.61327949359407,137
CTLA4,0.00124843267200804,1.72747188047423,0.00212910998326953,11.5496461625382,5.88595451235084,117
AKR1C1,0.000966849561433797,1.62657434110806,0.00168815002790028,11.2908131643573,4.95359539360549,139
CD8B,0.00072306350105462,1.5202361790682,0.00128285459864529,10.994368584973,5.60631358610916,172
SDC4,8.7846553008567e-05,1.15997576339715,0.000165181552665682,10.8340796504472,4.82029391050077,806
ITM2C,9.09088075888689e-05,1.15721735024627,0.000169490997199586,10.7686638803486,5.40333049094174,850
S100A14,0.000109626181347449,1.15175509093574,0.000202670251230578,10.5022031621737,6.45412564996044,863
PIM1,0.000267176275560541,1.25154642765846,0.000485775046473712,10.2972257777974,5.1396124618872,416
KRT8,0.000139539771166863,1.14976654906325,0.000255822913805916,10.2066626527423,7.69249350515483,861
STC1,0.000417058672528003,1.19752140676981,0.000745958601269598,9.31945125791162,4.90436580797052,516
NARS,0.000319681155762808,1.14083785968413,0.000576474215309982,9.18167580068997,7.09551105587324,862
FCGR3A,0.00143174012155224,1.23078381400563,0.00238623353592041,8.06023668059728,5.44253865066879,380
TOP2A,0.00101271831229399,1.12834520472671,0.001754315186651,7.78007238932034,6.37609640819631,862
USP53,0.00112682295087758,1.12651191999775,0.00193672694682083,7.64716074511112,6.00072364729308,862
PCLAF,0.00134698689836396,1.12475584415983,0.0022621154018326,7.43450690459573,6.02895557797688,861
HPX,0.00716558208998283,1.40901472401317,0.0114233917376538,6.95837128021118,4.68615769214341,164
CLDN4,0.00243143543456258,1.11743871531359,0.00402192327521631,6.7261692270938,5.11066928202504,861
DSC2,0.00294545696160602,1.12228277025007,0.00483582486233824,6.54009308951833,4.91661215110607,774
ANKRD28,0.00413893278499703,1.12102580653798,0.00674492750147664,6.15142430843954,4.86724487469976,750
TFAP2A,0.00483771395482193,1.10913531415332,0.00782571375044724,5.91314751158175,5.6889839892163,863
SRPK1,0.00130254728590715,0.886852742397127,0.00220431079153518,5.89174720158993,5.78534854721394,862
CRISPLD2,0.00736969487229954,1.16432724232269,0.0115809490850421,5.71728801066769,5.07656893843019,460
C2orf42,0.00950046401803394,1.20279768171289,0.014616098489283,5.60072473115703,4.71612553510883,342
GJB2,0.0128308158771654,1.2855160714393,0.0194674447791475,5.59958654008099,5.40451812291185,227
MKI67,0.00681820583812801,1.10456696533256,0.0109489436816654,5.50975555569702,5.26589915990569,861
