Gene,C,Z,Pval,FDR
LUM,0.15591779908714642,48.827484,0.0,0.0
CCDC80,0.0792489541968024,28.976278,6.548830448626458e-185,7.170969341245973e-183
KRT7,0.09725670223990233,27.26275,5.867147811030807e-164,4.2830179020524894e-162
MMP2,0.07816905264163077,27.105795,4.2067222357810193e-162,2.3031804240901083e-160
EPCAM,0.09194156161887594,24.685747,7.607484550737392e-135,3.332078233222978e-133
CXCL12,0.06139126406600605,24.200136,1.1086956535940694e-129,4.046739135618353e-128
MLPH,0.09302194785321764,22.36743,4.085546818245854e-111,1.2781925045654885e-109
ANKRD30A,0.08976573091981699,22.263676,4.157152064657936e-110,1.13802037770011e-108
FOXA1,0.07704565883730259,21.159119,1.1371696210514146e-99,2.7671127445584422e-98
PDGFRA,0.06325906071888697,20.788584,2.7453770984372907e-96,6.012375845577667e-95
GATA3,0.08562370482805305,20.69012,2.1257384096590527e-95,4.2321519246848417e-94
POSTN,0.09476214995762361,20.336006,3.087988844632778e-92,5.63557964145482e-91
ZEB2,0.053058307870588885,19.975645,4.485870112342425e-89,7.556965804638393e-88
FASN,0.06892148661979633,18.937057,2.823297569727359e-80,4.416444055502083e-79
PTPRC,0.030778550200948197,18.626602,9.777578988676145e-78,1.4275265323467174e-76
ERBB2,0.060221963175953415,18.605417,1.4521090740470326e-77,1.987574295101876e-76
CD9,0.07103638510637417,17.957077,2.1123872109857573e-72,2.7212517600345932e-71
PDGFRB,0.0527165658330947,17.713936,1.6367993435921477e-70,1.9914392013704465e-69
SCD,0.05963478949119003,17.076334,1.113387448521111e-65,1.2833255327690701e-64
LDHB,0.04645257255467032,15.811584,1.2943664794905012e-56,1.417331295042099e-55
CD68,0.04526349655203372,15.783823,2.010396933994846e-56,2.0965568025946252e-55
FBLN1,0.04508503324480244,15.735558,4.31466312301167e-56,4.295051017907072e-55
TRAC,0.026095797104974804,15.605334,3.347904923869544e-55,3.1877877318583917e-54
CD4,0.04013540006139178,15.306605,3.453816575613741e-53,3.151607625247539e-52
IL7R,0.022551597564293847,15.017516,2.819057262094936e-51,2.4694941615951644e-50
IGF1,0.037416482333765676,14.85057,3.4489962868856527e-50,2.905116103184454e-49
TACSTD2,0.0621239541544174,14.722042,2.3269579770203807e-49,1.8874214702498644e-48
GLIPR1,0.03853670976026827,14.13603,1.1388804384955756e-45,8.907672001090395e-45
AIF1,0.03595730450997893,13.894112,3.4385735473206113e-44,2.59671588573522e-43
RUNX1,0.046660238464374185,13.804209,1.2019876825431828e-43,8.774510082565234e-43
CCND1,0.04798714441561618,13.222662,3.2462426188394403e-40,2.2933133339543145e-39
PDK4,0.03347202509184627,13.179792,5.7353011989289805e-40,3.9250967580170213e-39
EGFR,0.0377467496226361,13.14485,9.10834743889124e-40,6.044630573082368e-39
PRDM1,0.027585708595938042,13.089694,1.8856197299287073e-39,1.2145609436893732e-38
LYZ,0.02712811076486696,12.330524,3.1020804162659057e-35,1.9410160318920953e-34
CXCR4,0.02480952322728024,11.4502,1.1730169283755257e-30,7.135852980951114e-30
DPT,0.029469590093540474,11.2628975,1.0003518453643545e-29,5.921001463102532e-29
FGL2,0.029075390276783783,11.218073,1.6621784531484618e-29,9.57939687472403e-29
KRT8,0.040630238261754416,11.205285,1.9205759190210466e-29,1.0784772468348954e-28
ACTA2,0.030953638080034027,10.990671,2.1188155035512875e-28,1.16005148819433e-27
CYTIP,0.02101102922754715,10.938209,3.7840251953861914e-28,2.021223214120917e-27
CRISPLD2,0.029673423393406083,10.782628,2.079162622322394e-27,1.0841347959252483e-26
TPD52,0.04018366255920991,10.585866,1.7328059788282195e-26,8.825221147985584e-26
FCER1G,0.026265658832671106,10.516424,3.6287953029241455e-26,1.8061503894099725e-25
S100A4,0.01924790137896876,10.501519,4.2500485494307343e-26,2.0683569607229576e-25
AR,0.04111016675350985,10.4929285,4.6548656342975884e-26,2.2161208128503736e-25
CD14,0.025746388516306132,10.454263,7.004200293683102e-26,3.2636592857799988e-25
PTGDS,0.02452147226015142,10.244427,6.2682923179967345e-25,2.8599083700860104e-24
PIM1,0.02624071299918698,9.866526,2.907185900889836e-23,1.2993341067242328e-22
TCIM,0.03569928058296663,9.841483,3.730142096141741e-23,1.6338022381100826e-22
SERHL2,0.03752732527332559,9.4373665,1.911330210766288e-21,8.207476787408179e-21
PCOLCE,0.023659602115079847,9.423694,2.177462928831343e-21,9.170468873347388e-21
ELF3,0.035759000269523264,9.1272545,3.512921010271553e-20,1.4515654740556041e-19
CDH1,0.03883025166600869,9.065609,6.195506393349504e-20,2.5126220373028545e-19
CD3E,0.013421355211250485,8.969497,1.4893615884554428e-19,5.930367052213491e-19
DSP,0.033929802425425,8.94034,1.9398733364800773e-19,7.586290369448874e-19
PTN,0.01996480666905295,8.457238,1.3689215477568987e-17,5.259540683487032e-17
CD163,0.02074498253417979,8.278338,6.245291006320339e-17,2.3581357420416456e-16
CCL5,0.010835683342602303,8.23426,9.03357589197408e-17,3.3531408819361416e-16
MYO5B,0.030669575232657818,8.02825,4.943652671736239e-16,1.8044332251837275e-15
GJB2,0.024865302927031676,8.01114,5.682505162556489e-16,2.0401125091801166e-15
BASP1,0.025938637988490217,7.9299827,1.0958824164351976e-15,3.87093950321465e-15
IGSF6,0.02198383581656173,7.700458,6.778967248222686e-15,2.356498138667886e-14
RAMP2,0.017711821986706164,7.6788635,8.025305757660006e-15,2.7461593139492836e-14
LPXN,0.020368187937289332,7.508567,2.988907796421888e-14,1.0070320114098362e-13
ITM2C,0.017582637769674954,7.2841797,1.6181671309803687e-13,5.369372752798497e-13
LRRC15,0.022060490848290894,7.188109,3.2847423268163323e-13,1.07366950682504e-12
LYPD3,0.027571047500958547,7.0899596,6.707556805903111e-13,2.160227853665855e-12
TYROBP,0.019366023222313344,6.9902654,1.3718339186448122e-12,4.354081567872665e-12
CTTN,0.026364084222633522,6.961915,1.678389966818534e-12,5.250962896189414e-12
APOC1,0.018163187448942207,6.6611176,1.3587658173790637e-11,4.1911227324790843e-11
ITGAX,0.01791028143933234,6.4346385,6.188376908020937e-11,1.882297976189702e-10
KDR,0.016886825870896207,6.3622694,9.939718172263613e-11,2.981915451679084e-10
GZMA,0.009394732600098585,6.2509136,2.040292653367496e-10,6.038163393074076e-10
C1QC,0.017340928686109813,6.2121058,2.613961130496841e-10,7.632766501050776e-10
SERPINB9,0.017382809519314278,6.1466975,3.955639457415115e-10,1.139848738386724e-09
FCGR3A,0.011318782130463743,6.1239276,4.5648198622728696e-10,1.298305908880206e-09
GPR183,0.011913288510165137,6.04331,7.549200007881251e-10,2.11958307913589e-09
ZEB1,0.015459029388604769,5.940433,1.4213508967220606e-09,3.940200587115586e-09
SFRP4,0.01172038212194388,5.923002,1.5805872382962877e-09,4.326857564836088e-09
MNDA,0.013912800328582485,5.874718,2.117816344241629e-09,5.72594789369033e-09
HAVCR2,0.014862549839196947,5.8625464,2.279110281269775e-09,6.086892092659522e-09
ZNF562,0.022319468326305398,5.8572254,2.353320449905872e-09,6.2093635967395895e-09
