genes,observed,p.value
LUM,0.1485772702677,0.000975609756097561
POSTN,0.100289739244708,0.000975609756097561
ANKRD30A,0.0915223338939288,0.000975609756097561
CXCL12,0.0827853745489334,0.000975609756097561
EPCAM,0.0808461514851585,0.000975609756097561
FASN,0.080657124319981,0.000975609756097561
MMP2,0.0758267774461638,0.000975609756097561
MLPH,0.0738899004503282,0.000975609756097561
KRT7,0.0719923004258153,0.000975609756097561
CCDC80,0.0716263598246446,0.000975609756097561
PDGFRB,0.0707628333539893,0.000975609756097561
SCD,0.0653383343615175,0.000975609756097561
FOXA1,0.063068263442217,0.000975609756097561
GATA3,0.0621096492285883,0.000975609756097561
ZEB2,0.0615308590186856,0.000975609756097561
PDGFRA,0.0606222541787959,0.000975609756097561
ERBB2,0.0601059209204447,0.000975609756097561
TACSTD2,0.0596025530824376,0.000975609756097561
ABCC11,0.0561423108685591,0.000975609756097561
FCER1G,0.053622320637569,0.000975609756097561
CD68,0.0509369820918988,0.000975609756097561
LYZ,0.0507225897911751,0.000975609756097561
PDK4,0.0503895716752848,0.000975609756097561
EGFR,0.0458499036245671,0.000975609756097561
CD9,0.04458237489143,0.000975609756097561
RUNX1,0.0434166117119882,0.000975609756097561
LDHB,0.0432595138674078,0.000975609756097561
IGF1,0.0408988493167072,0.000975609756097561
ELF3,0.0406835837241233,0.000975609756097561
TOP2A,0.040490178920577,0.000975609756097561
CENPF,0.0404715464495221,0.000975609756097561
MKI67,0.0396753196578107,0.000975609756097561
AIF1,0.0394563227418956,0.000975609756097561
ACTA2,0.0392202509836906,0.000975609756097561
KRT8,0.0386663086862187,0.000975609756097561
DPT,0.0358531895860768,0.000975609756097561
HAVCR2,0.0358178253366925,0.000975609756097561
CDH1,0.0358118365396502,0.000975609756097561
CD163,0.0335669624328227,0.000975609756097561
FBLN1,0.0324935373934546,0.000975609756097561
LYPD3,0.0322662029723234,0.000975609756097561
CAV1,0.0322469624311644,0.000975609756097561
CCND1,0.0317654592811274,0.000975609756097561
TPD52,0.031358135715262,0.000975609756097561
CD86,0.0308042911630416,0.000975609756097561
ZEB1,0.0307031696892228,0.000975609756097561
FBLIM1,0.0283331160611386,0.000975609756097561
CD93,0.0269627723218217,0.000975609756097561
MEDAG,0.0267523587819331,0.000975609756097561
SERHL2,0.025577703591894,0.000975609756097561
BASP1,0.0254701113178677,0.000975609756097561
LPL,0.0250895792383194,0.000975609756097561
CLEC14A,0.0249749337937594,0.000975609756097561
PECAM1,0.0244626676069589,0.000975609756097561
AR,0.0242770815279435,0.000975609756097561
ITGAX,0.0242582606660586,0.000975609756097561
RAMP2,0.0238801651082585,0.000975609756097561
DSP,0.0236015916634079,0.000975609756097561
RTKN2,0.0226737672445258,0.000975609756097561
MYO5B,0.0223235956430258,0.000975609756097561
CD4,0.0220415479056575,0.000975609756097561
MRC1,0.0220002276151417,0.000975609756097561
FCGR3A,0.0218448853016841,0.000975609756097561
TCF4,0.0214949199777171,0.000975609756097561
GJB2,0.0205074883119537,0.000975609756097561
CCDC6,0.01980678885553,0.000975609756097561
VWF,0.0183875637246506,0.000975609756097561
CD3E,0.0150222621543352,0.000975609756097561
ESM1,0.02995430779677,0.00195121951219512
PCOLCE,0.0281366735236755,0.00195121951219512
GLIPR1,0.0222928850996056,0.00195121951219512
CD83,0.0221767830018712,0.00195121951219512
FGL2,0.0200784780519571,0.00195121951219512
TIFA,0.0197411709517014,0.00195121951219512
LRRC15,0.0179828803520843,0.00195121951219512
PTGDS,0.0168122977803282,0.00195121951219512
KLF5,0.0164611436816093,0.00195121951219512
PCLAF,0.0161911542597781,0.00195121951219512
S100A14,0.015908582683164,0.00195121951219512
CD14,0.0204424821147324,0.00292682926829268
CCL5,0.0195704819950949,0.00292682926829268
C1QC,0.0156337681311044,0.00292682926829268
TRAF4,0.0149297250518907,0.00292682926829268
CAVIN2,0.014243946040397,0.00292682926829268
SNAI1,0.017335790697415,0.00390243902439024
IGSF6,0.0164652626111234,0.00390243902439024
ITGAM,0.0157757222148015,0.00390243902439024
AKR1C1,0.0133771539535879,0.00390243902439024
ADGRE5,0.0124559013292309,0.00390243902439024
EDNRB,0.021653905420813,0.00487804878048781
SEC24A,0.0141850369005469,0.00487804878048781
PPARG,0.0133250902703054,0.00487804878048781
SFRP4,0.0210252904301759,0.00585365853658537
HOOK2,0.0139684735091606,0.00878048780487805
PDE4A,0.0129289032278409,0.00878048780487805
PTN,0.0132837150538362,0.00975609756097561
MMRN2,0.0124169675694619,0.00975609756097561
DNTTIP1,0.0117447333089908,0.00975609756097561
ESR1,0.0117190366880457,0.00975609756097561
EGFL7,0.0117070384695568,0.00975609756097561
CTTN,0.0137404024486921,0.0107317073170732
TENT5C,0.0135704492537196,0.0107317073170732
MYLK,0.0133652610523571,0.0107317073170732
BTNL9,0.0130106314921802,0.0107317073170732
CRISPLD2,0.0142057788559584,0.0117073170731707
CTLA4,0.0123600755076086,0.0117073170731707
IL7R,0.0119777872659179,0.0126829268292683
AQP1,0.0119017085141529,0.0136585365853659
CD69,0.0118138136971204,0.0136585365853659
FLNB,0.0124505471545957,0.015609756097561
AVPR1A,0.0126371348034689,0.0214634146341463
LARS,0.0118487105120267,0.0224390243902439
MZB1,0.0142913142431504,0.024390243902439
C1QA,0.0106028370630979,0.0253658536585366
IL3RA,0.0118410477920384,0.0263414634146342
NOSTRIN,0.00963849096953446,0.0282926829268293
PELI1,0.0107585820988082,0.0302439024390244
