genes,observed,p.value
LUM,0.181764599871293,0.000975609756097561
EPCAM,0.158966255752621,0.000975609756097561
POSTN,0.156243671845371,0.000975609756097561
KRT7,0.142123240005108,0.000975609756097561
FOXA1,0.140666327063804,0.000975609756097561
ANKRD30A,0.130787646880529,0.000975609756097561
CCDC80,0.128901400806931,0.000975609756097561
CLEC14A,0.125964301470764,0.000975609756097561
MLPH,0.120535693869638,0.000975609756097561
CAV1,0.119245903464325,0.000975609756097561
VWF,0.119039137523467,0.000975609756097561
FASN,0.115243177793438,0.000975609756097561
MMP2,0.114614433075211,0.000975609756097561
ERBB2,0.114415807031853,0.000975609756097561
CD93,0.111884159847698,0.000975609756097561
RAMP2,0.111010036710623,0.000975609756097561
GATA3,0.110477937478929,0.000975609756097561
CXCL12,0.103900815347754,0.000975609756097561
KDR,0.102890002946421,0.000975609756097561
ZEB2,0.101932016908701,0.000975609756097561
PECAM1,0.0985233634616164,0.000975609756097561
AQP1,0.0949592769444954,0.000975609756097561
PDGFRA,0.0875756516480637,0.000975609756097561
TACSTD2,0.0831401956559186,0.000975609756097561
LDHB,0.0827559230541648,0.000975609756097561
SCD,0.0823199327390724,0.000975609756097561
KRT8,0.0773450455992427,0.000975609756097561
CDH1,0.076687368727456,0.000975609756097561
FBLN1,0.0737841119320415,0.000975609756097561
CXCR4,0.0735984581842835,0.000975609756097561
PTPRC,0.070278750745938,0.000975609756097561
ACTA2,0.0669584015870449,0.000975609756097561
MMRN2,0.0667914016366383,0.000975609756097561
TCF4,0.0654673106337657,0.000975609756097561
ITM2C,0.0652125593159885,0.000975609756097561
NOSTRIN,0.0649134319189889,0.000975609756097561
PRDM1,0.0642417061615477,0.000975609756097561
CD3E,0.0641278811842705,0.000975609756097561
DSP,0.0634158934818187,0.000975609756097561
PDGFRB,0.0632477511355362,0.000975609756097561
CD9,0.0631467564018248,0.000975609756097561
ZEB1,0.0618930240862924,0.000975609756097561
CYTIP,0.0616801583845457,0.000975609756097561
ABCC11,0.0615746182918525,0.000975609756097561
IL3RA,0.0611163357100268,0.000975609756097561
CTTN,0.0587860634219778,0.000975609756097561
CCND1,0.0578919091960313,0.000975609756097561
HOXD9,0.0578613483599962,0.000975609756097561
DPT,0.057599475809982,0.000975609756097561
TRAC,0.056852527622962,0.000975609756097561
PPARG,0.0558518462354224,0.000975609756097561
CAVIN2,0.054656349931907,0.000975609756097561
IGF1,0.0544078206121011,0.000975609756097561
MYO5B,0.0533148177641923,0.000975609756097561
CCL5,0.0532693163574494,0.000975609756097561
LYPD3,0.0532480307094041,0.000975609756097561
RUNX1,0.050476583555097,0.000975609756097561
ESM1,0.0497933124190481,0.000975609756097561
EDNRB,0.0495683065886146,0.000975609756097561
ELF3,0.0494544346653803,0.000975609756097561
PTGDS,0.0491373166904525,0.000975609756097561
GLIPR1,0.0487024638261279,0.000975609756097561
ADGRE5,0.0472853333887152,0.000975609756097561
SERHL2,0.0471879391443426,0.000975609756097561
CD68,0.0465098632285072,0.000975609756097561
S100A4,0.0445648428123895,0.000975609756097561
PDK4,0.0443910402328998,0.000975609756097561
AR,0.0442137307723192,0.000975609756097561
PCOLCE,0.0434216714975206,0.000975609756097561
AIF1,0.0433042234617279,0.000975609756097561
LPXN,0.0427623099883222,0.000975609756097561
BTNL9,0.0423482586629652,0.000975609756097561
ANKRD29,0.0419378252759306,0.000975609756097561
GZMA,0.0413596141715747,0.000975609756097561
CD14,0.0410762017560658,0.000975609756097561
LYZ,0.0407314414941609,0.000975609756097561
GPR183,0.0382579259581949,0.000975609756097561
FCER1G,0.0382164243237977,0.000975609756097561
CD8A,0.0372361464869174,0.000975609756097561
IL7R,0.0358510123538407,0.000975609756097561
CRISPLD2,0.035679757663384,0.000975609756097561
CD163,0.0350393640657142,0.000975609756097561
KLF5,0.0333239511925249,0.000975609756097561
FGL2,0.0326355841676124,0.000975609756097561
PIM1,0.0324962444299708,0.000975609756097561
KLRB1,0.0315447416211944,0.000975609756097561
HOXD8,0.0303373566498876,0.000975609756097561
SLAMF7,0.0302867650287738,0.000975609756097561
SMAP2,0.0301580936679292,0.000975609756097561
ERN1,0.0297945163007188,0.000975609756097561
BASP1,0.0295494456753361,0.000975609756097561
SELL,0.0294390624048366,0.000975609756097561
LRRC15,0.0292116493205966,0.000975609756097561
AVPR1A,0.0287199708098755,0.000975609756097561
MRC1,0.0286363993026034,0.000975609756097561
TOP2A,0.0285889605057063,0.000975609756097561
CCPG1,0.028532659786393,0.000975609756097561
APOC1,0.0281101813042389,0.000975609756097561
CD247,0.0276652481778437,0.000975609756097561
MYLK,0.0273768824072753,0.000975609756097561
CD4,0.027326466911662,0.000975609756097561
S100A14,0.0272852246330299,0.000975609756097561
CD3G,0.0267549832012423,0.000975609756097561
CD3D,0.0265879506394718,0.000975609756097561
EGFR,0.0257206176378936,0.000975609756097561
FBLIM1,0.0252506107099052,0.000975609756097561
FAM49A,0.024793470924254,0.000975609756097561
SLC5A6,0.0247295206711035,0.000975609756097561
FCGR3A,0.0246564531246866,0.000975609756097561
LPL,0.0245425813934307,0.000975609756097561
CENPF,0.0241838262727168,0.000975609756097561
NARS,0.0238562454871324,0.000975609756097561
TCIM,0.0236685189549965,0.000975609756097561
HMGA1,0.0233990989177059,0.000975609756097561
MZB1,0.0233649590293108,0.000975609756097561
C1QC,0.0227657829105086,0.000975609756097561
CD69,0.0227359441759216,0.000975609756097561
SFRP4,0.0225468851448143,0.000975609756097561
SERPINB9,0.0224621812160387,0.000975609756097561
FLNB,0.0224491541870213,0.000975609756097561
DMKN,0.022361415896547,0.000975609756097561
RAPGEF3,0.0221379449827619,0.000975609756097561
PTN,0.0220058090498965,0.000975609756097561
USP53,0.0214160047905157,0.000975609756097561
SH3YL1,0.0211409541851252,0.000975609756097561
HAVCR2,0.0210112162469619,0.000975609756097561
ITGAX,0.0209288181194067,0.000975609756097561
CTLA4,0.0199032533343567,0.000975609756097561
IGSF6,0.0193384454892673,0.000975609756097561
RAB30,0.0193168156216248,0.000975609756097561
TRAF4,0.018350062769274,0.000975609756097561
SEC11C,0.0177644705061099,0.000975609756097561
MDM2,0.0175287229304899,0.000975609756097561
CD86,0.01735129458019,0.000975609756097561
TENT5C,0.0171382557515611,0.000975609756097561
RTKN2,0.0165056074019411,0.000975609756097561
ANGPT2,0.0161592582912936,0.000975609756097561
TPD52,0.0159751387241739,0.000975609756097561
PCLAF,0.0151813865672211,0.000975609756097561
POLR2J3,0.0137633215102347,0.000975609756097561
EGFL7,0.0414138656432763,0.00195121951219512
IL2RG,0.0361059665205948,0.00195121951219512
GJB2,0.0335432090392497,0.00195121951219512
CD8B,0.0186948127886211,0.00195121951219512
ITGAM,0.017823615322307,0.00195121951219512
BACE2,0.0171692066537674,0.00195121951219512
TFAP2A,0.0145854102634151,0.00195121951219512
MAP3K8,0.0138279155597663,0.00195121951219512
CCDC6,0.0131184768742457,0.00195121951219512
MNDA,0.0147739829573344,0.00292682926829268
FAM107B,0.0134565595469901,0.00390243902439024
SOX17,0.0173740733084296,0.00585365853658537
MMP1,0.0145278200166775,0.00585365853658537
