GeneNames,P_values
ABCC11,0.0154110123864014
ACTA2,0.01721497128704
ACTG2,0.172551401123814
ADAM9,0.107470644565763
ADGRE5,0.845479026460161
AIF1,0.355295590651419
AKR1C1,0.94947359166077
ANGPT2,0.858465277747509
ANKRD28,0.696559423129738
ANKRD29,0.929791703451702
ANKRD30A,0.00024580914897232
APOBEC3B,0.946523992555416
APOC1,0.26656335788679
AQP1,0.101665310311987
AR,0.144750493331771
AVPR1A,0.664985458294317
BACE2,0.671922329635138
BASP1,0.235621451311281
BTNL9,0.607169607504665
C1QA,0.772296330859043
C1QC,0.562230864105524
C2orf42,0.914458067468291
C6orf132,0.703504557526342
CAV1,0.0464536255949717
CAVIN2,0.773555371176416
CCDC6,0.080651804973162
CCDC80,0.0597448969885891
CCL5,0.321069568107557
CCL8,0.882429861976037
CCND1,0.000636873242195635
CCPG1,0.534318046951644
CD14,0.433704415210605
CD163,0.590051124221757
CD247,0.818423765130229
CD3D,0.872352934721883
CD3E,0.288599023319922
CD3G,0.849702619360072
CD4,0.434576206146972
CD68,0.182548067857935
CD69,0.809484875816034
CD83,0.776161043326613
CD86,0.791213103377419
CD8A,0.117907070100661
CD8B,0.925728072977654
CD9,0.0143809225544689
CD93,0.144012749925393
CDC42EP1,0.928883338088258
CDH1,0.013987970108617
CEACAM6,0.64099617992059
CENPF,0.0235027773102078
CLDN4,0.498718149292958
CLEC14A,0.15300950283533
CRISPLD2,0.460025436496135
CTLA4,0.842100050724278
CTTN,0.00800645647839826
CXCL12,0.0287789263285636
CXCL16,0.691597849726416
CXCR4,0.0574284203277078
CYTIP,0.698874612841875
DAPK3,0.839066938866928
DMKN,0.730149884512336
DNTTIP1,0.726265906971024
DPT,0.75465286179644
DSC2,0.654832666582186
DSP,0.0895230662742866
DST,0.067257622561792
DUSP2,0.963341268683093
DUSP5,0.617484632686251
EDNRB,0.686363374579751
EGFL7,0.955070041789786
EGFR,0.577995208322556
EIF4EBP1,0.535982280738275
ELF3,0.123290454957276
ENAH,0.0580318124509713
EPCAM,4.95263061401907e-05
ERBB2,7.33151287068967e-06
ERN1,0.435079050117372
ESM1,0.877438205041618
ESR1,0.9492441093885
FAM107B,0.359578113366636
FAM49A,0.949144975791017
FASN,0.00116784943415182
FBLIM1,0.712350892683974
FBLN1,0.34373633856777
FCER1G,0.128812898845349
FCGR3A,0.547061207569639
FGL2,0.458087734117395
FLNB,0.135285445731315
FOXA1,0.00019510639223741
FSTL3,0.921871252757918
GATA3,0.000279423581119764
GJB2,0.400445105212231
GLIPR1,0.517471407535573
GPR183,0.507404085680133
GZMA,0.6239592214639
HAVCR2,0.818906384958967
HDC,0.409236548618045
HMGA1,0.169085896972984
HOOK2,0.725456968944859
HOXD8,0.432941660046176
HOXD9,0.547022678014053
HPX,0.955197585113631
IGF1,0.316923659169057
IGSF6,0.658516528629773
IL2RG,0.617420508443737
IL3RA,0.936148972868569
IL7R,0.253835921881034
ITGAM,0.924593593329391
ITGAX,0.711710665285543
ITM2C,0.268265516765892
JUP,0.42203052763424
KARS,0.551867604440819
KDR,0.420627091590063
KLF5,0.186197602399075
KLRB1,0.708172854625199
KRT15,0.917241285260609
KRT7,3.78210228952902e-05
KRT8,0.0035397400929924
LAG3,0.912064554896273
LARS,0.139103018322087
LDHB,0.245729479862428
LGALSL,0.824763091390626
LPL,0.593228703945327
LPXN,0.840571660677875
LRRC15,0.79785185606745
LUM,0.000107330206983502
LYPD3,0.154149512019259
LYZ,0.13896912700229
MAP3K8,0.749423863274235
MDM2,0.0141800410577889
MEDAG,0.779866748674704
MKI67,0.160004245157553
MLPH,0.0028436482856814
MMP1,0.441281766412962
MMP2,0.03444471683276
MMRN2,0.685718564441162
MNDA,0.923789820299857
MRC1,0.743462746546986
MYLK,0.500147487975039
MYO5B,0.0913022065272927
MZB1,0.400156837755489
NARS,0.0242725769955064
NOSTRIN,0.492174074125365
NPM3,0.909634825137717
OCIAD2,0.57141526330255
OXTR,0.935698052063385
PCLAF,0.0976794191436842
PCOLCE,0.89720100200248
PDE4A,0.884342247922472
PDGFRA,0.10697054456344
PDGFRB,0.027741843306331
PDK4,0.19477870440843
PECAM1,0.0397048655549216
PELI1,0.6880264919774
PIM1,0.768429243433711
POLR2J3,0.00952901546821039
POSTN,4.20739184334717e-05
PPARG,0.498294754132159
PRDM1,0.626144611507515
