GeneNames,P_values
ABCC11,0.0125585039599481
ACTA2,0.030736665424036
ACTG2,0.181633553675103
ADAM9,0.103990676338094
ADGRE5,0.807102773248111
AIF1,0.285380481956817
AKR1C1,0.961938701600633
ANGPT2,0.85834654455673
ANKRD28,0.727644039433539
ANKRD29,0.945568691132116
ANKRD30A,0.000330639308722791
APOBEC3B,0.957145680608128
APOC1,0.208924264077501
AQP1,0.112186051885948
AR,0.0968327891203217
AVPR1A,0.66027424458404
BACE2,0.647685423263106
BASP1,0.201231102418029
BTNL9,0.444154089299188
C1QA,0.683091741682236
C1QC,0.447325742467044
C2orf42,0.894117581281389
C6orf132,0.738026593061085
CAV1,0.0399284025681689
CAVIN2,0.761709658771617
CCDC6,0.0628395640254514
CCDC80,0.0445880417730324
CCL5,0.435036865332513
CCL8,0.744940676367023
CCND1,0.000494910786910996
CCPG1,0.527332596475431
CD14,0.287681500969032
CD163,0.387027307171255
CD247,0.89036297409803
CD3D,0.888086743401887
CD3E,0.439461076363388
CD3G,0.825492210559098
CD4,0.270435770678055
CD68,0.108879181380401
CD69,0.735762926865403
CD83,0.640204726234263
CD86,0.805090256038262
CD8A,0.3406934830748
CD8B,0.929318999570501
CD9,0.0100451570309118
CD93,0.157905652464148
CDC42EP1,0.954288988918195
CDH1,0.0147172944420683
CEACAM6,0.523346429982067
CENPF,0.0918490888900634
CLDN4,0.449947450479291
CLEC14A,0.164734689246946
CRISPLD2,0.51074483452066
CTLA4,0.884932831511798
CTTN,0.00843629291197767
CXCL12,0.0258094934187828
CXCL16,0.587396541695235
CXCR4,0.0747707591647488
CYTIP,0.68254425403103
DAPK3,0.882078291530413
DMKN,0.788857370011459
DNTTIP1,0.771003077550362
DPT,0.76624687167437
DSC2,0.617796870767443
DSP,0.0765182069629508
DST,0.0655246480021972
DUSP2,0.931074082904212
DUSP5,0.688355141444724
EDNRB,0.716757709435431
EGFL7,0.884695940754105
EGFR,0.684302680302252
EIF4EBP1,0.619599140042976
ELF3,0.0927672571123379
ENAH,0.0534752906289211
EPCAM,7.05248664993885e-05
ERBB2,5.41198525627617e-06
ERN1,0.567722531544167
ESM1,0.749390466738611
ESR1,0.952634317336257
FAM107B,0.393148347624519
FAM49A,0.949604736524534
FASN,0.000824727381073087
FBLIM1,0.700829650242194
FBLN1,0.305889834594815
FCER1G,0.102168752493456
FCGR3A,0.583387237255042
FGL2,0.353489274827796
FLNB,0.113113243115774
FOXA1,0.00020282681954098
FSTL3,0.928902034038835
GATA3,0.000454900101244493
GJB2,0.650381807023764
GLIPR1,0.48250290972829
GPR183,0.391788545527372
GZMA,0.719882125608395
HAVCR2,0.731440015428937
HDC,0.412964887390857
HMGA1,0.144023426646459
HOOK2,0.635942678787506
HOXD8,0.441961204022692
HOXD9,0.560423326759867
HPX,0.95288286056642
IGF1,0.269619699785479
IGSF6,0.529584663998185
IL2RG,0.730274392851475
IL3RA,0.867384622483549
IL7R,0.29266741587099
ITGAM,0.920744467467074
ITGAX,0.647287914743535
ITM2C,0.363953428113921
JUP,0.481730859744715
KARS,0.457687598227197
KDR,0.345809712219504
KLF5,0.170266009161594
KLRB1,0.695607135462045
KRT15,0.918996943193546
KRT7,3.56874174779476e-05
KRT8,0.00257370724152728
LAG3,0.966993746749099
LARS,0.132850141038011
LDHB,0.26175411122153
LGALSL,0.80524566963539
LPL,0.688024982740088
LPXN,0.748729578148462
LRRC15,0.866153582073201
LUM,0.000721656838689411
LYPD3,0.148036361444227
LYZ,0.10131936846331
MAP3K8,0.7557357086779
MDM2,0.0125582309445569
MEDAG,0.823564873541132
MKI67,0.352437127956063
MLPH,0.00306499279760097
MMP1,0.676597767730703
MMP2,0.0246257960313593
MMRN2,0.620924675058692
MNDA,0.936821134446165
MRC1,0.625045172057939
MYLK,0.474398717432475
MYO5B,0.0625164758561018
MZB1,0.683468559287311
NARS,0.0274714486436294
NOSTRIN,0.395292870581166
NPM3,0.949553461305319
OCIAD2,0.519246627687617
OXTR,0.918115065187635
PCLAF,0.12149404255825
PCOLCE,0.934205730825592
PDE4A,0.892892953183891
PDGFRA,0.233842874384526
PDGFRB,0.0828007156995078
PDK4,0.0910363785296291
PECAM1,0.0440627836648442
PELI1,0.726418320362691
PIM1,0.744111470283465
POLR2J3,0.00875932861731665
POSTN,0.000346191374168026
PPARG,0.433348863137827
PRDM1,0.541740599330957
PTGDS,0.347588186424503
PTN,0.852559264362912
PTPRC,0.202788833133418
PTRHD1,0.49880496090081
QARS,0.231027668072672
RAB30,0.894816358991396
RAMP2,0.309904058468494
RAPGEF3,0.821917198160729
RHOH,0.305400434658403
RORC,0.941489373783641
RTKN2,0.477957521788811
RUNX1,0.141247195272787
S100A14,0.0728644320734307
S100A4,0.447958391083642
SCD,2.91105069339936e-05
SDC4,0.588483390418602
SEC11C,0.258162130540723
SEC24A,0.321634649149394
SELL,0.916718188217565
SERHL2,0.0170608122498019
SERPINA3,0.891162990317
SERPINB9,0.637806282977477
SFRP4,0.58787731511995
SH3YL1,0.105304007820236
SLAMF1,0.973947921156223
SLAMF7,0.562349995040482
SLC25A37,0.717056002261901
SLC5A6,0.284193062344727
SMAP2,0.662902520793153
SMS,0.097447133078493
SNAI1,0.92296262289734
SOX17,0.947044521509575
SQLE,0.257226703796263
SRPK1,0.335990274965142
STC1,0.696128313431834
SVIL,0.490192763537042
TACSTD2,0.00599763613642212
TCF4,0.368770078090594
TCIM,0.00196674716513812
TENT5C,0.0890505650886619
TFAP2A,0.24410041580267
THAP2,0.849964031609594
TIFA,0.830008616350083
TMEM147,0.127737990862953
TOMM7,0.0128431836569223
TOP2A,0.0557704575856052
TPD52,0.0342985566765932
TRAC,0.436895678538899
TRAF4,0.151178490170991
TRAPPC3,0.405865682423856
TRIB1,0.282408779841145
TUBA4A,0.310387395842234
TUBB2B,0.854288748420567
TYROBP,0.950517374592535
USP53,0.19182040457149
VOPP1,0.281599899270562
VWF,0.0573598522152938
WARS,0.478031065863753
ZEB1,0.519126695135527
ZEB2,0.0738104475633033
ZNF562,0.246148273159673
