,combined_pvalue,adjusted_pvalue
ABCC11,1.11022302462516e-16,1.82365945634694e-15
ACTA2,1.11022302462516e-16,1.82365945634694e-15
ACTG2,0.470566428703984,1
ADAM9,0.479667602503782,1
ADGRE5,1.11022302462516e-16,1.82365945634694e-15
AIF1,1.11022302462516e-16,1.82365945634694e-15
AKR1C1,1.10799343844281e-05,0.000104748035901758
ANGPT2,4.78217714316997e-07,4.83399066293291e-06
ANKRD28,0.949236689288633,1
ANKRD29,3.0581712311073e-05,0.000285013995228633
ANKRD30A,5.55e-17,1.73646963301729e-15
APOBEC3B,0.223074097829668,1
APOC1,1.11022302462516e-16,1.82365945634694e-15
AQP1,5.55e-17,1.73646963301729e-15
AR,1.11022302462516e-16,1.82365945634694e-15
AVPR1A,8.88178419700125e-16,1.24164048091706e-14
BACE2,0.00147792566726024,0.0123701919692749
BASP1,1.83572490541906e-10,2.11605157608688e-09
BTNL9,2.22044604925031e-16,3.24206125572789e-15
C1QA,4.00035724865688e-05,0.000367609088524611
C1QC,6.36157793110215e-14,8.27688608702413e-13
C2orf42,0.553037432560934,1
C6orf132,0.0821341711937688,0.613245982049853
CAV1,5.55e-17,1.73646963301729e-15
CAVIN2,5.55e-17,1.73646963301729e-15
CCDC6,0.00137629873518019,0.0115934211484432
CCDC80,5.55e-17,1.73646963301729e-15
CCL5,1.11022302462516e-16,1.82365945634694e-15
CCL8,0.00382297617704608,0.0313982258610293
CCND1,1.11022302462516e-16,1.82365945634694e-15
CCPG1,8.58668691705589e-12,1.07463214988789e-10
CD14,1.11022302462516e-16,1.82365945634694e-15
CD163,1.11022302462516e-16,1.82365945634694e-15
CD247,1.77635683940025e-14,2.35786273143847e-13
CD3D,2.22044604925031e-16,3.24206125572789e-15
CD3E,1.11022302462516e-16,1.82365945634694e-15
CD3G,7.88813458996174e-13,1.00637673299767e-11
CD4,1.11022302462516e-16,1.82365945634694e-15
CD68,5.55e-17,1.73646963301729e-15
CD69,2.22044604925031e-16,3.24206125572789e-15
CD83,0.0137549937315584,0.110214833500567
CD86,6.62701271636479e-09,7.08004784681241e-08
CD8A,2.77555756156289e-15,3.76012259040606e-14
CD8B,2.04219863242372e-10,2.31346797470201e-09
CD9,1.11022302462516e-16,1.82365945634694e-15
CD93,5.55e-17,1.73646963301729e-15
CDC42EP1,0.000643506003135563,0.00556330044933474
CDH1,5.55e-17,1.73646963301729e-15
CEACAM6,0.758092595415187,1
CENPF,1.74202874347884e-11,2.15959817340744e-10
CLDN4,8.04467514573526e-05,0.000719142038510076
CLEC14A,5.55e-17,1.73646963301729e-15
CRISPLD2,1.11022302462516e-16,1.82365945634694e-15
CTLA4,0.000450740757534152,0.00392259421138274
CTTN,1.11022302462516e-16,1.82365945634694e-15
CXCL12,5.55e-17,1.73646963301729e-15
CXCL16,0.808344619096289,1
CXCR4,1.11022302462516e-16,1.82365945634694e-15
CYTIP,1.11022302462516e-16,1.82365945634694e-15
DAPK3,0.556544055083684,1
DMKN,0.0139332172893196,0.110297792896089
DNTTIP1,0.307713980760534,1
DPT,1.11022302462516e-16,1.82365945634694e-15
DSC2,0.0748209120283896,0.565063492739172
DSP,1.11022302462516e-16,1.82365945634694e-15
DST,0.00341741384291683,0.0282438534977025
DUSP2,0.485201434947739,1
DUSP5,0.0815895340890549,0.612660533265613
EDNRB,2.22044604925031e-16,3.24206125572789e-15
EGFL7,3.77475828372553e-15,5.06158542986089e-14
EGFR,5.55111512312578e-16,8.01608552240413e-15
EIF4EBP1,0.533108711432591,1
ELF3,1.11022302462516e-16,1.82365945634694e-15
ENAH,0.0542859789621426,0.417171915767114
EPCAM,5.55e-17,1.73646963301729e-15
ERBB2,5.55e-17,1.73646963301729e-15
ERN1,3.94552235327694e-09,4.24979692246294e-08
ESM1,2.22044604925031e-16,3.24206125572789e-15
ESR1,0.849326837410453,1
FAM107B,0.000706406689376715,0.00606717989941043
FAM49A,1.52717549717352e-09,1.67236550683867e-08
FASN,5.55e-17,1.73646963301729e-15
FBLIM1,8.88178419700125e-16,1.24164048091706e-14
FBLN1,5.55e-17,1.73646963301729e-15
FCER1G,1.11022302462516e-16,1.82365945634694e-15
FCGR3A,2.22044604925031e-16,3.24206125572789e-15
FGL2,1.11022302462516e-16,1.82365945634694e-15
FLNB,0.000726032754068462,0.00619525223594985
FOXA1,5.55e-17,1.73646963301729e-15
FSTL3,0.752211343588303,1
GATA3,5.55e-17,1.73646963301729e-15
GJB2,4.23319157505375e-11,5.01150819048243e-10
GLIPR1,5.55e-17,1.73646963301729e-15
GPR183,1.11022302462516e-16,1.82365945634694e-15
GZMA,7.7715611723761e-16,1.11005358212422e-14
HAVCR2,1.33226762955019e-15,1.84285587167691e-14
HDC,0.140505984768279,1
HMGA1,4.37140716549322e-05,0.000398916746058801
HOOK2,2.86886027955902e-06,2.79253824206335e-05
HOXD8,3.39122974146733e-09,3.68294592383307e-08
HOXD9,5.55e-17,1.73646963301729e-15
HPX,0.613770346492468,1
IGF1,1.11022302462516e-16,1.82365945634694e-15
IGSF6,2.22044604925031e-16,3.24206125572789e-15
IL2RG,1.11022302462516e-16,1.82365945634694e-15
IL3RA,2.22044604925031e-16,3.24206125572789e-15
IL7R,1.11022302462516e-16,1.82365945634694e-15
ITGAM,2.63271626721462e-11,3.20334564089907e-10
ITGAX,4.18554080283684e-14,5.50015692034237e-13
ITM2C,5.55e-17,1.73646963301729e-15
JUP,0.0138982988800338,0.110297792896089
KARS,0.304935546771537,1
KDR,5.55e-17,1.73646963301729e-15
KLF5,1.50155443634503e-10,1.74616845417353e-09
KLRB1,6.84119427774021e-13,8.81363887843909e-12
KRT15,0.237261654330851,1
KRT7,5.55e-17,1.73646963301729e-15
KRT8,5.55e-17,1.73646963301729e-15
LAG3,0.436373645165925,1
LARS,0.354203046986112,1
LDHB,5.55e-17,1.73646963301729e-15
LGALSL,0.0690280810672603,0.524328177591797
LPL,3.04406500006849e-11,3.66987205899806e-10
LPXN,1.11022302462516e-16,1.82365945634694e-15
LRRC15,2.22044604925031e-16,3.24206125572789e-15
LUM,5.55e-17,1.73646963301729e-15
LYPD3,1.11022302462516e-16,1.82365945634694e-15
LYZ,1.11022302462516e-16,1.82365945634694e-15
MAP3K8,0.00610938957678719,0.0498649564106384
MDM2,0.00127298912484364,0.0107923617849455
MEDAG,5.63705400260517e-05,0.000507367728000127
MKI67,0.156673657028042,1
MLPH,5.55e-17,1.73646963301729e-15
MMP1,7.43918482370987e-10,8.28451028725854e-09
MMP2,5.55e-17,1.73646963301729e-15
MMRN2,5.55e-17,1.73646963301729e-15
MNDA,1.02168400550884e-06,1.02487004338675e-05
MRC1,1.11022302462516e-16,1.82365945634694e-15
MYLK,2.22044604925031e-16,3.24206125572789e-15
MYO5B,1.11022302462516e-16,1.82365945634694e-15
MZB1,2.06846222372548e-08,2.19204471401909e-07
NARS,2.0379490672795e-07,2.10869177976313e-06
NOSTRIN,5.55e-17,1.73646963301729e-15
NPM3,0.55826241079788,1
OCIAD2,0.482672132677979,1
OXTR,0.850343262883365,1
PCLAF,0.000207960624536097,0.00183408029428021
PCOLCE,5.15710739290576e-05,0.000467370905304222
PDE4A,0.00285792828207665,0.0237693737435317
PDGFRA,5.55e-17,1.73646963301729e-15
PDGFRB,5.55e-17,1.73646963301729e-15
PDK4,1.11022302462516e-16,1.82365945634694e-15
PECAM1,5.55e-17,1.73646963301729e-15
PELI1,0.00854302486613157,0.0688727725279678
PIM1,1.48421541723565e-09,1.63897933283675e-08
POLR2J3,0.0156187391474574,0.122900316328886
POSTN,5.55e-17,1.73646963301729e-15
PPARG,5.55e-17,1.73646963301729e-15
PRDM1,5.55e-17,1.73646963301729e-15
PTGDS,1.11022302462516e-16,1.82365945634694e-15
PTN,2.11430872809615e-12,2.67152082205162e-11
PTPRC,5.55e-17,1.73646963301729e-15
PTRHD1,0.6182649002186,1
QARS,0.415833942134459,1
RAB30,7.23180404449408e-11,8.48500548324027e-10
RAMP2,5.55e-17,1.73646963301729e-15
RAPGEF3,0.000149833849964809,0.00133036779637233
