genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,0.9999546021000668,4,50,2.024568330004452,4.5399929762484854e-05,-3357.80899050742,-5.855275918069055,35.83200052193501,SE,2032,45.242877307928914,15897780715.986616,0.0014920234680175781,6746.085084249633,-3357.968205273764,0.15921476634412102,0.6898804934073355,0.370737390097986
ACTA2,0.9999546021000668,4,59,2.024568330004452,4.5399929762484854e-05,-2538.8891236765417,-3.6393594242881186,13.939072191466083,SE,2032,52996.04944191552,18622148346210.457,0.0020041465759277344,5108.245350587877,-2538.8903875814517,0.0012639049100471311,0.9716400288176104,0.49147868003647593
ACTG2,2.061152200186056e-09,4,115,2.024568330004452,485165195.4097903,-2187.167402616811,-3.3476623098331486,2.413787306575925e-08,SE,2032,2623.237030899289,4.4708795104091315e+20,0.002803802490234375,4404.801908468416,-2187.167525688646,0.00012307183487791917,0.9911486300849783,0.49147868003647593
ADAM9,0.9999546021000668,4,145,2.024568330004452,4.5399929762484854e-05,-2078.853250744727,-3.268982389339851,11.124474145200569,SE,2032,716.3810542228218,251727334482.65256,0.002347707748413086,4188.1736047242475,-2078.968139667669,0.11488892294210018,0.7346453739558898,0.38904432866154803
ADGRE5,2.0611522001860556e-09,4,155,2.024568330004452,485165195.4097903,-2623.679171889282,-5.8123133889090415,7.122832425135024e-08,SE,2032,3.4590607208106783,5.895404616422266e+17,0.0015859603881835938,5277.825447013357,-2623.6792949599676,0.00012307068573136348,0.991148671406893,0.49147868003647593
AIF1,0.9999546021000668,4,200,2.024568330004452,4.5399929762484854e-05,-2842.1317621767107,-4.016591376320793,17.07093706673174,SE,2032,4106.9119033325305,1443117430715.2583,0.002432107925415039,5714.730627588215,-2842.1335989755935,0.0018367988827776571,0.965814815425532,0.49147868003647593
AKR1C1,0.9999546021000668,4,211,2.024568330004452,4.5399929762484854e-05,-2788.7561400787026,-3.490749200886041,13.079585087401103,SE,2032,5380.6019431791765,1890676166109.51,0.0014100074768066406,5607.9793833921985,-2788.785835019795,0.029694941092202498,0.8631842312396758,0.45271900239843144
ANGPT2,0.21098214642197627,4,2,4.2680942669421515,3.7394249372704653,-3427.227893684387,-6.585660857823274,9.206723743977696,SE,2032,0.029611596562304915,1.0787820113381765,0.0029969215393066406,6884.922890603567,-3427.81839360351,0.5904999191229763,0.4422258681861656,0.24488742123830126
ANKRD28,0.554698609873928,4,8,4.2680942669421515,0.8027136890167749,-3129.2627950990227,-4.763841577902709,12.302154361901543,SE,2032,0.06255157789609951,1.194068125985767,0.0015039443969726562,6288.992693432839,-3131.4685755938744,2.2057804948517514,0.13749428850194756,0.0872056798109604
ANKRD29,0.999954598336349,4,9,4.2680942669421515,4.5399929762484854e-05,-2017.3414371140566,-2.6854378306697355,6.724276472949679,SE,2032,0.03376163672758392,11861449.858428055,0.0017960071563720703,4065.1499774629065,-2027.7070876623598,10.365650548303165,0.001283816516353009,0.0010222825611304655
ANKRD30A,0.8083237485207168,4,16,4.2680942669421515,0.23710824979476156,-3211.873083823375,-4.085382888631284,13.162009593541503,SE,2032,0.12076241826178684,4.9716253952173135,0.001965761184692383,6454.213270881543,-3216.4773487256707,4.604264902295654,0.03189252347108251,0.02230246396579197
APOBEC3B,0.3824244868903461,4,30,4.2680942669421515,1.6147603283759948,-3459.0332355935634,-4.708335648157764,8.667683123322174,SE,2032,0.043830606505873164,0.8983052397229484,0.0014150142669677734,6948.53357442192,-3460.8453842256276,1.8121486320642362,0.17825069607207122,0.11175592230223903
APOC1,0.22698208319002922,4,46,4.2680942669421515,3.405349397851992,-2226.8443023708096,-3.0135174523671227,2.106933980437004,SE,2032,0.20700927583933176,6.90112111419725,0.0016908645629882812,4484.1557079764125,-2226.980465017543,0.1361626467332826,0.712126061596208,0.37919406127800354
AQP1,0.612623125977829,4,60,4.2680942669421515,0.6322720720134823,-2851.378989659488,-4.705473805069776,12.994326364693627,SE,2032,0.09557092758650448,1.9437712819547415,0.0012998580932617188,5733.225082553769,-2853.7862938131893,2.4073041537012614,0.12077018547597018,0.07749958426265467
