genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,0.9999546021303346,4,11,0.08882474029343601,4.5399929762484854e-05,-6365.524280583331,-2.2944743680199893,5.7302838064423245,SE,6134,2840.747903983605,998204582663.2677,0.00368499755859375,12765.934970545359,-6365.532334899892,0.00805431656044675,0.9284891844587507,0.9949060564104039
ACTA2,2.0611535744668916e-09,4,28,0.08882474029343601,485165195.4097903,-5267.054071724335,-2.274645417694712,1.1336578712921032e-08,SE,6134,39.4560029727731,6.724622973114483e+18,0.0034749507904052734,10568.994552827366,-5267.054112484901,4.076056666235672e-05,0.994906020209263,0.9949060564104039
ACTG2,0.9999546021303345,4,33,0.08882474029343601,4.5399929762484854e-05,-6351.889410593107,-1.551972074004218,2.8726864098356306,SE,6134,366.5230742469306,128791791715.15347,0.0035247802734375,12738.66523056491,-6351.928191755671,0.03878116256419162,0.8438828379850873,0.9949060564104039
ADAM9,0.9999546021303345,4,50,0.08882474029343601,4.5399929762484854e-05,-10061.113124883246,-5.628596334654961,33.23254537299749,SE,6134,87.17768060570027,30633186480.474133,0.0040283203125,20157.11265914519,-10061.321942505805,0.20881762255885405,0.6476957218078043,0.9949060564104039
ADGRE5,0.9999546021303346,4,60,0.08882474029343601,4.5399929762484854e-05,-8404.034146115508,-4.444002774151761,20.652788193802056,SE,6134,901.7653947112649,316869493497.6544,0.004118919372558594,16842.954701609713,-8404.057922486165,0.02377637065728777,0.8774552874338386,0.9949060564104039
AIF1,0.9999546021303345,4,61,0.08882474029343601,4.5399929762484854e-05,-9861.008251120398,-3.834889992917538,16.162288227706853,SE,6134,36.26059696663842,12741536836.68926,0.0042362213134765625,19756.902911619494,-9861.186166140325,0.1779150199272408,0.6731711961392751,0.9949060564104039
AKR1C1,0.9999546021303347,4,78,0.08882474029343601,4.5399929762484854e-05,-6527.956766997006,-2.8408810491079555,8.56119134142881,SE,6134,1607.4973283731024,564855190968.3683,0.003900289535522461,13090.799943372707,-6527.97124448892,0.014477491914476559,0.9042277209723957,0.9949060564104039
ANGPT2,0.9999546021303345,4,81,0.08882474029343601,4.5399929762484854e-05,-10842.295608207041,-9.139120201698347,85.51803431409694,SE,6134,38.59975264265862,13563487954.569649,0.0038509368896484375,21719.47762579278,-10842.46330595523,0.16769774818931182,0.6821660495100237,0.9949060564104039
ANKRD28,0.9999546021303346,4,101,0.08882474029343601,4.5399929762484854e-05,-5130.022122912453,-2.6707914932672088,7.443800085059955,SE,6134,442.31814728581605,155425267056.14212,0.0037169456481933594,10294.930655203601,-5130.055372346642,0.033249434189201565,0.8553125555789681,0.9949060564104039
ANKRD29,0.5004457333845312,4,111,0.08882474029343601,0.9982186332969756,-10346.611727860343,-5.926167217833888,18.42933937716868,SE,6134,18912.158074056842,354239.86786845245,0.003963947296142578,20728.109865099384,-10346.619282557072,0.007554696729130228,0.9307368837607287,0.9949060564104039
ANKRD30A,0.9999546021303346,4,113,0.08882474029343601,4.5399929762484854e-05,-10608.973949004663,-7.6133837616496205,59.81520530338219,SE,6134,30.59798629068433,10751763679.134695,0.0037708282470703125,21252.834307388024,-10609.177890419818,0.20394141515498632,0.651558083324887,0.9949060564104039
APOBEC3B,0.9999546021303346,4,115,0.08882474029343601,4.5399929762484854e-05,-6012.177358950763,-2.810066822810456,8.310947776352654,SE,6134,319.53078453257433,112279267363.2857,0.003582000732421875,12059.241127280222,-6012.219991921633,0.042632970869817655,0.8364179141407909,0.9949060564104039
APOC1,0.9999546021303346,4,121,0.08882474029343601,4.5399929762484854e-05,-8886.090173516985,-2.92149956098889,9.594970194000858,SE,6134,104.02726926465827,36553928898.98019,0.0039408206939697266,17807.066756412667,-8886.183229194048,0.09305567706360307,0.7603278535554941,0.9949060564104039
AQP1,0.9999546021303346,4,128,0.08882474029343601,4.5399929762484854e-05,-9365.593542873823,-2.667325354158946,8.354252366778526,SE,6134,172.8916599162658,60752045963.19989,0.0038900375366210938,18766.073495126344,-9365.665482563587,0.07193968976389442,0.7885332505306092,0.9949060564104039
AR,0.9999546021303346,4,139,0.08882474029343601,4.5399929762484854e-05,-10867.561395404864,-8.79945018198171,79.44244849907669,SE,6134,1266.8025098885125,445139137100.75586,0.004951000213623047,21770.009200188426,-10867.593237954356,0.03184254949155729,0.8583736622791621,0.9949060564104039
AVPR1A,0.9999546021303346,4,143,0.08882474029343601,4.5399929762484854e-05,-7362.995533572616,-2.6911694964242434,7.887050241522847,SE,6134,272.49824134678676,95752598426.34021,0.0047609806060791016,14760.877476523929,-7363.045464104885,0.04993053226826305,0.8231841968628574,0.9949060564104039
BACE2,0.9999546021303346,4,145,0.08882474029343601,4.5399929762484854e-05,-6511.512719799444,-3.082134439633693,9.987274722700324,SE,6134,1650.9940813005041,580139425816.8696,0.003587961196899414,13057.911848977585,-6511.524485979815,0.011766180370614165,0.9136212697764079,0.9949060564104039
BASP1,0.9999546021303347,4,154,0.08882474029343601,4.5399929762484854e-05,-8819.830102765618,-2.051814454877812,5.247780199996035,SE,6134,236.72077397703924,83180827508.1772,0.004191875457763672,17674.546614909934,-8819.887695387006,0.05759262138781196,0.8103421739775627,0.9949060564104039
BTNL9,0.9999546021303345,4,168,0.08882474029343601,4.5399929762484854e-05,-6430.281892376266,-3.226540689641221,10.885349163706579,SE,6134,284.73133334025437,100051159544.81567,0.003782033920288086,12895.450194131228,-6430.328773015296,0.046880639029950544,0.8285829255613903,0.9949060564104039
C1QA,0.9999546021303346,4,174,0.08882474029343601,4.5399929762484854e-05,-9753.092722149446,-4.787927363386318,24.328390618417366,SE,6134,540.8984490240779,190065197202.21124,0.004904985427856445,19541.07185367759,-9753.135201910416,0.042479760970309144,0.8367079647686113,0.9949060564104039
C1QC,0.9999546021303346,4,175,0.08882474029343601,4.5399929762484854e-05,-10794.443434570254,-6.883041022075086,49.34559605421902,SE,6134,18.46087021483433,6486927341.408259,0.0054738521575927734,21623.773278519206,-10794.704165677882,0.2607311076280894,0.6096183184843069,0.9648635256586153
C2orf42,0.9999546021303346,4,177,0.08882474029343601,4.5399929762484854e-05,-5010.328122073963,-1.9385049655776119,4.057091141586487,SE,6134,546.6257101751835,192077687756.85242,0.004244804382324219,10055.542653526622,-5010.356100498741,0.027978424778666522,0.8671595557471781,0.9949060564104039
