ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,AIF1,AKR1C1,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AQP1,AR,AVPR1A,BACE2,BASP1,BTNL9,C1QA,C1QC,C2orf42,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CD14,CD163,CD247,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CENPF,CLDN4,CLEC14A,CRISPLD2,CTLA4,CTTN,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DMKN,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FSTL3,GATA3,GJB2,GLIPR1,GPR183,GZMA,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KLF5,KLRB1,KRT15,KRT7,KRT8,LAG3,LARS,LDHB,LGALSL,LPL,LPXN,LRRC15,LUM,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP2,MMRN2,MNDA,MRC1,MYLK,MYO5B,MZB1,NARS,NOSTRIN,NPM3,OCIAD2,OXTR,PCLAF,PCOLCE,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PIM1,POLR2J3,POSTN,PPARG,PRDM1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,SCD,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SQLE,SRPK1,STC1,SVIL,TACSTD2,TCF4,TCIM,TENT5C,TFAP2A,THAP2,TIFA,TMEM147,TOMM7,TOP2A,TPD52,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
1,0,0,4,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,19,0,0,0,2,0,8,0,0,0,1,0,2,9,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,7,0,1,0,2,0,0,0,0,1,0,0,6,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,2,0,31,1,1,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,1,2,0,1,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,3,1,6,0,1,0,0,0,0,4,0,1,0,1,0,0,5,0,1,2,0,0,0,0,1,4,0,0,5,3,0,2,0,0,0,0,1,7,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,10,22,0,0,0,0,1,1,0,0,0,3,0,2,0,0,2,0,0,1,0,11,0,0,0,0,0,2,2,2,2,0,1,0,3,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,2,2,0,1,2,0,0,0,2,34,0,0,0,2,1,0,1,0,10,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,13,1,0,0,0,2,58,0,0,8,0,0,1,2,0,1,0,0,0,0,10,1,0,2,0,0,2,1,1,0,0,3,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,4,5,0,3,0,1,0,0,1,0,0,0,2,1,1,0,9,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,4,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2,4,1,0,0,0,0,0,3,0,1,2,2,0,0,2,0,1,2,0,1,0,0,4,3,0,0,16,1,2,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,3,1,2,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,20,0,0,0,1,0,3,0,1,3,2,0,0,11,0,7,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,12,5,0,1,1,0,1,2,0,4,3,4,0,8,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,5,3,13,0,3,3,2,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,1,3,0,1,0,0,4,6,0,4,0,1,0,5,1,0,4,1,1,0,3,0,5,0
0,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,11,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,14,1,0,0,0,1,1,1,3,4,1,0,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,1,0,0,0,0,9,1,0,0,8,1,1,2,0,13,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,12,0,0,4,0,1,0,1,2,0,0,0,0,0,7,1,0,7,0,0,2,0,0,0,2,4,0,0,0,0,0,0,3,0,0,1,1,0,0,3,1,0,0,2,1,0,1,2,1,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0
2,1,1,0,0,0,0,0,0,0,9,1,0,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,1,7,19,0,0,0,1,1,7,0,0,0,0,0,1,6,0,4,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,5,0,5,0,2,0,0,0,2,4,0,0,4,0,0,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16,0,1,2,0,4,0,1,0,3,0,0,0,0,0,4,0,0,0,0,3,0,3,0,6,1,0,0,0,1,5,0,3,0,3,1,0,0,0,0,1,2,0,1,0,0,1
2,0,1,3,0,2,0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,3,0,0,0,0,0,1,0,2,7,8,0,0,0,0,0,1,0,1,4,0,4,0,2,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,5,1,4,0,0,1,0,0,0,0,1,1,0,0,7,0,0,0,0,3,0,2,1,0,1,0,1,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,0,1,2,0,2,0,0,1,3,0,1,0,1,1,1,0,0,1,0,0,0,1,0,2,0,1,0,1,1,1,0,0,0,1,2,0,1,0,0,2,3,0,0,0,1,1
1,1,0,1,0,0,0,0,0,0,6,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,2,2,4,12,0,1,0,0,0,5,0,1,0,0,0,4,8,0,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,4,0,0,0,1,1,0,4,4,0,7,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,13,0,0,0,1,0,1,3,3,1,0,0,4,1,0,1,0,0,1,0,0,1,0,0,0
4,0,4,3,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,1,0,0,0,4,3,0,0,0,0,1,0,0,1,3,3,0,0,0,0,0,1,0,3,18,26,0,0,0,0,0,5,0,0,0,0,0,0,12,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,3,0,1,0,0,0,0,0,2,1,0,0,7,0,0,5,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,12,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,5,0,25,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,12,2,1,0,1,2,4,0,0,0,1,2,0,0,1,0,3,1,1,1,0,0,3
0,7,1,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,3,0,0,0,4,0,3,0,1,0,0,0,1,3,0,1,5,1,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,0,3,0,1,1,0,3,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,2,0,2,0,0,2,3,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2
1,1,1,1,0,0,0,0,0,0,15,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,14,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,1,0,0,1,2,0,0,1,0,0,0,0,2,2,4,18,1,0,1,0,0,6,0,0,2,0,0,1,8,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,1,0,0,0,0,0,0,2,0,1,4,0,2,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,4,0,0,2,0,2,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,6,2,1,1,1,2,5,0,3,0,0,0,1,0,0,0,2,2,0,0,0,1,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,4,1,0,0,1,0,1,1,0,0,0,0,0,10,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,3,0,1,0,0,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,1,0,0,2,2,0,0,0,1,0,4,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0
