ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,BTNL9,C15orf48,C1QA,C1QC,C2orf42,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD1C,CD247,CD27,CD274,CD3D,CD3E,CD3G,CD4,CD68,CD69,CD79A,CD79B,CD80,CD83,CD86,CD8A,CD8B,CD9,CD93,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLCA2,CLDN4,CLDN5,CLEC14A,CLEC9A,CLECL1,CLIC6,CPA3,CRHBP,CRISPLD2,CSF3,CTH,CTLA4,CTSG,CTTN,CX3CR1,CXCL12,CXCL16,CXCL5,CXCR4,CYP1A1,CYTIP,DAPK3,DERL3,DMKN,DNAAF1,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EDN1,EDNRB,EGFL7,EGFR,EIF4EBP1,ELF3,ELF5,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM107B,FAM49A,FASN,FBLIM1,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMB,GZMK,HAVCR2,HDC,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT14,KRT15,KRT16,KRT23,KRT5,KRT6B,KRT7,KRT8,LAG3,LARS,LDHB,LEP,LGALSL,LIF,LILRA4,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MEDAG,MKI67,MLPH,MMP1,MMP12,MMP2,MMRN2,MNDA,MPO,MRC1,MS4A1,MUC6,MYBPC1,MYH11,MYLK,MYO5B,MZB1,NARS,NCAM1,NDUFA4L2,NKG7,NOSTRIN,NPM3,OCIAD2,OPRPN,OXTR,PCLAF,PCOLCE,PDCD1,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PGR,PIGR,PIM1,PLD4,POLR2J3,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,REXO4,RHOH,RORC,RTKN2,RUNX1,S100A14,S100A4,S100A8,SCD,SCGB2A1,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC25A37,SLC4A1,SLC5A6,SMAP2,SMS,SNAI1,SOX17,SOX18,SPIB,SQLE,SRPK1,SSTR2,STC1,SVIL,TAC1,TACSTD2,TCEAL7,TCF15,TCF4,TCF7,TCIM,TCL1A,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TIMP4,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,TYROBP,UCP1,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
10,0,4,7,0,0,0,0,0,1,0,0,0,0,2,0,16,0,0,3,0,0,4,0,3,0,2,0,0,0,0,2,0,0,0,0,7,1,0,0,0,27,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,20,1,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,1,1,18,9,0,0,0,0,0,0,2,0,0,6,32,60,0,0,0,3,0,18,0,0,0,0,0,0,3,40,0,0,0,32,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,42,13,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,1,0,4,0,0,0,0,10,1,0,0,1,0,3,0,1,3,2,0,0,1,0,2,1,5,6,2,0,28,0,1,1,7,0,5,3,1,1,0,3,0,0,0,0,1,0,8,0,0,0,0,6,6,0,1,7,0,24,0,0,0,0,7,0,10,5,1,3,0,0,3,0,22,13,10,0,0,1,12,1,10,0,0,0,4,1,0,1,0,0,5
2,1,2,15,0,0,0,6,0,0,0,0,0,0,0,0,52,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,11,0,3,0,0,0,0,2,3,0,6,25,94,0,1,7,2,0,24,0,0,0,0,0,0,12,39,0,0,1,19,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,39,17,1,3,0,0,0,0,0,0,0,0,0,0,0,8,1,1,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,1,0,3,0,0,0,0,17,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,17,15,0,0,85,0,1,1,4,0,11,14,1,0,0,4,0,0,0,0,0,1,5,0,0,0,0,1,4,0,0,2,0,29,0,0,0,0,5,0,17,3,0,1,0,0,7,0,9,5,7,0,0,0,4,0,1,3,0,0,3,2,0,2,0,0,3
3,8,7,12,0,0,0,11,0,1,0,0,0,0,0,0,60,0,1,4,2,0,4,0,1,0,7,1,0,0,0,3,0,1,0,0,8,3,0,1,0,60,1,1,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5,0,0,35,18,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,1,0,6,0,4,0,0,1,0,3,1,3,11,5,2,0,0,1,0,2,1,11,0,9,44,113,0,0,5,6,0,15,4,1,0,3,0,0,13,41,0,0,0,34,0,3,0,2,0,0,0,0,2,3,1,2,0,0,2,0,0,0,0,13,0,0,1,2,2,0,0,5,1,0,0,0,3,8,1,2,2,0,55,49,0,2,1,0,0,0,0,0,0,1,0,32,0,9,1,0,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,12,1,9,0,0,0,0,0,4,0,2,7,0,0,0,2,1,3,0,1,1,1,0,1,0,13,10,2,0,0,0,2,2,1,5,1,0,1,0,1,1,3,7,11,5,0,86,0,2,2,3,0,14,32,0,1,5,6,0,0,1,0,1,1,10,0,0,0,0,3,5,0,0,1,0,87,0,0,1,4,8,0,8,1,0,1,0,1,8,0,20,5,16,0,4,2,2,3,1,2,0,0,10,5,1,2,1,0,0
4,2,8,4,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,4,1,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,1,0,0,0,0,0,0,1,0,6,5,5,0,0,0,0,0,0,0,3,0,7,14,28,0,0,2,0,0,11,0,0,0,1,1,0,4,16,0,0,0,20,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,16,0,5,0,0,1,0,0,0,0,0,0,1,0,6,0,1,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,10,0,0,25,0,0,1,2,0,4,13,0,0,0,6,0,0,0,0,2,0,5,0,0,0,0,3,0,0,0,1,0,21,0,0,0,0,22,0,7,1,0,0,0,0,1,0,5,0,7,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1
4,1,2,8,1,0,0,4,0,0,0,0,0,0,0,0,25,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,14,5,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,7,0,0,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,1,0,1,0,0,1,3,0,10,11,47,0,0,2,1,0,9,0,0,0,1,0,1,2,7,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,22,18,0,1,0,0,0,0,0,0,1,2,0,2,0,5,3,0,6,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,2,1,1,0,0,1,0,3,0,1,6,9,2,0,25,0,0,1,2,0,4,3,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,20,0,5,1,0,0,0,0,3,0,10,1,4,0,0,1,3,1,0,0,1,0,1,0,0,4,0,0,2
9,7,6,12,0,0,0,10,0,1,0,0,0,0,0,1,49,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,3,0,0,7,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,26,20,2,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,1,0,1,0,0,0,0,1,0,1,0,4,14,6,0,1,0,0,0,1,0,6,0,7,53,98,0,0,6,5,0,15,0,0,0,0,0,1,10,30,0,0,0,25,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,1,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,38,40,0,6,0,0,3,0,0,1,0,0,0,0,0,9,1,1,3,0,0,26,0,0,0,0,0,0,1,0,0,0,0,1,8,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,11,0,0,0,0,0,0,0,2,7,1,1,0,0,1,0,0,7,23,0,0,62,0,1,4,10,1,21,22,0,0,0,4,0,1,0,0,2,1,13,0,0,0,0,8,6,0,1,1,0,58,0,0,0,0,11,0,13,5,0,1,0,0,4,0,18,1,7,0,0,2,4,1,4,0,0,0,10,1,0,2,0,0,4
5,16,22,23,0,0,0,4,0,1,1,0,0,0,1,4,55,0,0,1,2,0,3,0,2,0,4,1,0,0,0,0,0,2,1,0,8,0,0,0,0,52,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,11,0,0,23,14,3,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,25,0,2,1,0,2,0,0,0,0,2,0,1,0,5,9,25,0,3,0,2,0,0,3,2,1,11,41,113,1,0,8,8,1,23,0,0,0,1,1,1,9,35,0,0,0,38,0,3,0,0,1,0,0,0,1,4,3,1,1,0,0,2,0,0,0,0,1,1,1,4,2,0,0,0,1,1,0,0,10,6,1,0,3,0,44,38,1,8,3,0,1,0,0,0,1,0,0,17,2,9,0,0,24,0,1,25,0,0,1,2,0,0,0,0,0,0,7,20,6,0,24,0,0,0,4,1,1,0,2,5,0,0,0,0,2,2,5,1,2,0,0,0,0,18,3,0,0,0,0,0,0,1,6,0,1,0,1,2,0,4,12,30,0,0,118,1,2,2,9,0,8,23,2,5,0,4,0,0,0,0,7,3,7,0,0,0,0,4,2,0,1,4,0,20,1,0,1,0,3,0,22,2,0,3,0,0,4,0,17,6,12,1,0,4,3,3,3,3,0,0,7,4,0,2,0,3,10
6,8,14,15,0,1,0,7,0,0,0,0,0,0,1,2,44,0,0,1,3,0,10,0,6,1,4,0,1,0,0,0,0,2,2,0,19,2,0,0,0,67,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,6,0,0,31,30,2,4,0,5,0,1,0,0,0,0,0,1,0,0,0,0,35,1,0,2,0,0,0,0,1,0,3,0,1,0,6,19,9,0,1,0,0,0,0,1,6,0,18,39,136,5,0,8,2,0,28,1,0,0,0,0,0,19,50,1,1,1,65,0,1,0,0,0,0,0,1,5,8,2,2,0,0,0,0,0,1,0,0,0,1,0,4,1,1,0,2,1,2,0,1,0,9,1,0,0,0,69,49,0,7,1,0,1,0,0,1,0,0,0,0,0,11,1,2,16,0,2,26,0,0,1,0,0,0,0,0,0,0,1,4,10,1,15,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,4,0,0,0,0,1,0,23,1,0,0,0,0,1,1,2,8,1,0,2,0,6,0,1,23,24,6,0,123,0,0,4,8,0,6,21,5,2,0,3,0,1,0,0,0,1,9,0,0,0,0,8,6,1,2,7,0,84,0,0,0,0,17,0,18,5,2,3,0,0,2,0,28,8,19,0,0,7,4,6,3,1,0,0,3,3,1,4,0,0,6
9,10,9,15,0,0,0,11,0,5,0,0,0,0,2,0,53,0,0,0,0,0,8,0,5,0,3,0,1,0,0,0,0,4,0,0,15,4,0,0,0,48,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,30,34,0,13,0,10,0,0,0,1,0,0,0,1,0,0,0,0,39,0,2,5,0,4,0,0,1,0,1,1,2,0,14,11,9,2,2,0,0,1,0,2,7,0,13,76,138,3,0,4,5,0,22,0,0,0,1,0,0,14,58,0,0,0,36,0,1,0,0,0,1,0,0,6,5,2,2,0,1,1,3,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,3,3,0,0,0,0,91,59,0,4,0,0,3,1,0,0,0,0,0,1,0,23,0,3,10,0,3,26,0,0,0,1,0,0,0,0,0,1,0,0,6,1,11,0,0,0,0,0,5,0,0,7,0,0,0,2,1,0,1,2,1,0,0,0,0,17,1,0,0,0,0,0,2,3,6,2,0,0,0,3,0,1,8,32,0,0,106,2,2,5,4,0,21,35,3,0,0,6,0,0,1,0,7,3,16,0,0,0,0,9,4,1,1,2,0,62,0,0,0,0,10,0,11,2,0,2,0,0,5,0,18,4,17,0,0,6,8,6,6,1,0,0,3,9,0,3,0,0,6
2,2,8,14,1,0,0,8,0,0,0,0,0,0,0,0,54,0,0,2,0,0,12,0,4,0,1,0,0,0,1,1,0,1,1,0,9,1,0,0,0,52,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,6,1,0,17,17,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,1,0,0,0,0,0,3,13,7,0,1,0,0,0,0,2,4,0,13,49,117,1,0,5,5,1,18,0,0,0,0,0,0,13,42,0,0,0,33,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,1,0,1,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,48,27,0,5,0,0,0,0,0,0,1,0,0,2,0,13,0,1,12,0,0,31,0,0,0,1,0,0,0,0,0,0,1,1,16,0,14,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,2,3,10,0,0,0,0,3,2,1,7,31,0,0,90,0,1,3,3,0,9,24,2,0,0,6,0,1,0,0,1,1,7,0,0,0,0,2,2,0,0,0,0,39,0,0,0,0,8,0,11,3,0,2,0,0,2,1,10,2,21,0,1,5,2,3,3,0,0,0,1,0,0,2,0,0,3
