dataset	topology	difficulty	domain_fold_change	layout_seed	method	method_display	method_seed	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
curved_layers_seed0_hard	curved_layers	hard	2.0	0	graphst	GraphST	100000	success	87.59479274996556	1199.0			0.13733333333333334	0.023333842938998345	0.929139401425286	0.8907093899382423	0.8126195028680688	1.0	0.8966244725738397	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	stagate	STAGATE	100000	success	224.77123966696672	1267.734375			0.13733333333333334	0.023333842938998345	0.9744842496900518	0.9516579763479973	1.0	1.0	1.0	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	banksy	BANKSY	100000	success	16.235				0.13733333333333334	0.023333842938998345	0.3127643858392431	0.38915558975830117	0.4	0.33495145631067963	0.3645970937912814	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	spagcn	SpaGCN	100000	success	10.651859582867473	865.984375			0.13733333333333334	0.023333842938998345	0.010397478306573069	0.01742179633893519	0.2755272849012387	1.0	0.43202099737532806	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	spclue	spCLUE	100000	success	22.678910083137453	1191.171875			0.13733333333333334	0.023333842938998345	0.9513238565530758	0.9194702725454286	1.0	0.9733009708737864	0.9864698646986471	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	stlearn	stLearn	100000	success	7.777120375074446	2221.78125			0.13733333333333334	0.023333842938998345	-0.01318545827267017	0.017468355365266985	0.2747093023255814	1.0	0.43101482326111745	4.0
curved_layers_seed0_hard	curved_layers	hard	2.0	0	expression_pca_kmeans	Expression-only control	100000	success	0.5649648341350257	379.578125			0.13733333333333334	0.023333842938998345	-0.00812777062090323	0.012798720397387832	0.2720714531088973	1.0	0.42776127464218205	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	graphst	GraphST	100000	success	89.05573574989103	1199.625			0.13733333333333334	0.023333842938998345	0.9719377421786457	0.9501336908868016	1.0	1.0	1.0	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	stagate	STAGATE	100000	success	226.62212412501685	1267.453125			0.13733333333333334	0.023333842938998345	0.9719041767909326	0.948493881424094	1.0	1.0	1.0	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	banksy	BANKSY	100000	success	16.155				0.13733333333333334	0.023333842938998345	0.23138721721338654	0.3061093740132689	0.37058823529411766	0.2936893203883495	0.32768774448695354	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	spagcn	SpaGCN	100000	success	5.48413391597569	912.640625			0.13733333333333334	0.023333842938998345	0.9982523381088677	0.9961778606128816	1.0	1.0	1.0	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	spclue	spCLUE	100000	success	20.45437958301045	1175.578125			0.13733333333333334	0.023333842938998345	0.9537971330794721	0.9228553375823758	1.0	0.9805825242718447	0.9901960784313726	4.0
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	stlearn	stLearn	100000	success	7.557321457890794	2610.15625			0.13733333333333334	0.023333842938998345	-0.006659129254723789	0.015097228927174522	0.27540650406504064	1.0	0.43187250996015936	4.0
