,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100
ABCC11,2.0297391,3.7928083,3.8447168,2.3798475,2.5768433,2.2052495,3.5716302,3.9624538,1.7805232,1.7684523,2.0829484,4.3384104,3.0682995,2.849017,2.2583187,3.5935454,2.9615526,3.4959807,2.282855,2.1991506,2.0849996,2.227242,2.5063007,3.8053498,2.5665581,3.6415536,2.2716188,2.328369,2.8850913,1.9592495,3.7629893,3.0603728,1.975129,4.391732,2.9775627,3.3720317,2.2039702,4.066017,1.7042577,3.644961,1.9446383,1.9929368,2.7311118,2.2669117,2.2742116,1.8950368,3.5749488,4.264237,3.8592603,2.2631724,2.976403,4.0977283,1.8219391,2.5338795,2.4369326,2.3724658,2.8812199,2.1048648,1.7080767,3.0799506,1.8003069,4.5673757,2.0378344,1.8694667,2.1400597,4.614778,1.7493767,3.523632,4.042502,2.2871835,2.425785,1.7083962,3.7749481,3.2220304,2.1725361,4.378896,1.7339077,2.9255857,2.8512075,1.9035208,2.7680402,3.0426073,2.1150637,4.1763206,2.1885242,4.1737843,2.915419,2.4493673,2.522934,2.2726471,1.990605,3.487266,2.9535062,2.1090724,2.4619725,3.1403978,2.1143389,2.1374588,1.779806,2.136197
ACTA2,1.7113645,2.9107077,2.9996407,1.8755423,2.012556,1.9049442,2.8082755,2.899382,1.5958978,1.5247587,1.7869959,3.16268,2.5312068,2.193368,1.8775868,2.6627986,2.3715394,2.7445688,1.8295199,1.9463484,1.715624,1.9067751,1.9755005,2.8291295,2.1401887,2.7888005,1.8868289,1.9187449,2.2297323,1.6593516,2.723627,2.466838,1.7837225,3.1767173,2.3262591,2.6211948,1.9564607,3.05217,1.4462835,2.861575,1.6108736,1.6871172,2.0378578,1.8842237,1.7941617,1.6360589,2.6700096,3.1126437,2.9345355,1.8783754,2.4088583,3.011909,1.6238499,2.0590203,1.9476335,1.943668,2.2544267,1.7092074,1.4318968,2.40724,1.5678326,3.3632724,1.7596498,1.6206254,1.8654083,3.394755,1.4299598,2.7227056,3.0699918,1.8915828,1.9607003,1.4802508,2.954597,2.5068626,1.8823345,3.216468,1.5517236,2.2877173,2.3255415,1.6873782,2.1565282,2.4491646,1.6970127,3.1254928,1.854119,3.0507975,2.400186,1.9960563,2.0168977,1.9251076,1.6541046,2.817001,2.4597096,1.769097,1.9595836,2.4873583,1.6984774,1.8208784,1.4240704,1.7537783
ACTG2,1.8294533,3.4355965,3.5098286,2.2321844,2.3303766,2.0452054,3.200422,3.642127,1.6811146,1.6967057,1.9484771,3.8255339,2.764214,2.6236694,2.0113816,3.1635997,2.7064679,3.182834,2.016904,2.0943027,1.9808899,2.065208,2.246967,3.4467824,2.3627734,3.3008657,2.0497952,2.2016785,2.6814678,1.745401,3.3351066,2.8214154,1.8738145,3.8242645,2.7429752,3.1394746,2.1221592,3.620351,1.5631636,3.2810585,1.8099039,1.8651083,2.452785,2.1103468,2.066606,1.7392563,3.1744735,3.765029,3.4441206,2.0960212,2.8102999,3.7292364,1.7276703,2.2828124,2.2178054,2.2025146,2.5953805,1.9490052,1.5729128,2.827843,1.745379,4.0736256,1.9198344,1.6922377,1.9865992,4.053871,1.5945295,3.136689,3.6209927,2.1047225,2.263239,1.6427137,3.4340608,2.8333836,2.0539427,3.8894083,1.6505113,2.650138,2.6483183,1.7989202,2.568512,2.7548847,1.9749365,3.636945,2.0604072,3.7722492,2.8090584,2.3156016,2.2768965,2.1086767,1.8341402,3.1590245,2.790928,1.9980896,2.2845929,2.9440336,1.9314591,2.0657353,1.6478106,1.9314603
ADAM9,1.9126935,3.5195565,3.6698442,2.2922301,2.3785474,2.0994353,3.3023822,3.6843388,1.7290447,1.7185103,2.0141413,3.971617,2.8672323,2.6832068,2.1424637,3.2867413,2.8051784,3.243678,2.138837,2.1180975,1.9440252,2.1507208,2.3596356,3.5256035,2.4772027,3.4007487,2.1002822,2.2253776,2.7892163,1.8852853,3.3424568,2.9017136,1.9633101,3.9668157,2.8606887,3.2533772,2.1926048,3.780704,1.5868783,3.4089537,1.8955673,1.9221745,2.4445288,2.1961591,2.1012752,1.8443748,3.2668583,3.958861,3.6021025,2.1510444,2.765585,3.7005718,1.7979574,2.3906536,2.2612422,2.3139107,2.6736577,1.9458909,1.6819578,2.8838067,1.7653357,4.236596,1.980016,1.8078375,2.064758,4.239359,1.6722821,3.335884,3.686034,2.2018254,2.2555606,1.7191478,3.5070858,2.9991505,2.1103358,3.9287565,1.6881979,2.6772113,2.7097855,1.920272,2.524281,2.9333932,1.9779819,3.7261722,2.1684725,4.0097246,2.7463062,2.405501,2.3567827,2.190506,1.8746469,3.3229947,2.8512118,2.0519612,2.3099458,2.9848304,2.019893,2.0381343,1.678309,2.006977
ADGRE5,0.18809716,0.35600805,0.35965154,0.20650566,0.17143452,0.2516897,0.25791776,0.36965117,0.18130793,0.13941559,0.21711308,0.39652,0.25495124,0.3112715,0.22526462,0.36148328,0.28015712,0.32804984,0.15339488,0.2530466,0.19409575,0.12832186,0.24707986,0.33345753,0.21363832,0.30671573,0.24707064,0.22997999,0.2945191,0.17610973,0.25892976,0.29712686,0.20092566,0.48489505,0.34002697,0.24961612,0.19154933,0.34466448,0.14979497,0.23833425,0.17340589,0.1926631,0.21382076,0.2842535,0.25333863,0.18197721,0.3948576,0.3421734,0.45577994,0.2149195,0.32134163,0.30551013,0.17169549,0.29574782,0.30856746,0.22600992,0.27881837,0.19635907,0.15920746,0.22028202,0.15291362,0.4808628,0.22947206,0.17093739,0.23014073,0.47814956,0.17965089,0.35964736,0.28043124,0.22894764,0.25483614,0.15210435,0.31718197,0.28728566,0.17745756,0.2667664,0.11072841,0.2886698,0.27917895,0.22095212,0.3081182,0.32464954,0.24312621,0.4111136,0.17914015,0.43395817,0.21092544,0.25641814,0.19881894,0.21199639,0.14594413,0.3659951,0.31303576,0.21768239,0.23174202,0.33722037,0.18062113,0.1832263,0.2070301,0.19488947
AIF1,0.60250646,1.0246027,0.9142578,0.6474737,0.66939515,0.5842329,0.9165168,0.8865763,0.5602179,0.5255051,0.6032749,0.9553868,0.8190856,0.82965297,0.641858,0.85327464,0.7558446,0.9504074,0.6023039,0.67620134,0.5657965,0.61505765,0.6836496,0.9251432,0.7136428,0.92353827,0.6244326,0.69448644,0.7999814,0.58135116,0.93197566,0.8307426,0.60203546,1.0226576,0.67805535,0.8980533,0.725579,1.0107677,0.46107692,0.86753607,0.5305219,0.56778,0.721686,0.60730356,0.61831224,0.57181436,0.7988485,0.97664124,0.9734072,0.64396054,0.8091193,1.0313538,0.5749784,0.6617736,0.6843931,0.6792947,0.7502476,0.52360636,0.45274904,0.85397285,0.5795145,1.0713181,0.56309956,0.5828758,0.6280234,1.1760608,0.4941716,0.96941495,1.1103166,0.59991574,0.6990864,0.52417827,0.88860947,0.8881858,0.66522205,1.1682891,0.5400243,0.7563591,0.7947986,0.60966694,0.7295118,0.8346126,0.5326117,0.993112,0.63901514,0.9660165,0.6883341,0.662688,0.72701013,0.66818047,0.61372226,1.0658493,0.7614832,0.6418358,0.5874917,0.8384996,0.51631397,0.6953688,0.46922415,0.615236
AKR1C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD28,0.68580675,1.081418,1.094301,0.6687836,0.7261848,0.6495502,1.0537671,1.0963115,0.48246488,0.5252737,0.6221007,1.2844721,1.0512629,0.839504,0.6545253,1.02321,0.81624866,1.0525315,0.70196456,0.66836333,0.685189,0.60987747,0.7267509,1.0785813,0.7604234,1.0460424,0.6760562,0.65905523,0.91705835,0.57794696,0.96648294,0.82571477,0.65482736,1.1991891,0.85049534,0.9798147,0.69493514,1.2313573,0.48269406,1.0953983,0.6838101,0.6316102,0.78690743,0.7148866,0.666776,0.549677,0.9342737,1.1242806,1.0648559,0.7085912,0.79408765,1.1070907,0.5496785,0.6645607,0.6088071,0.77391523,0.83467907,0.65803874,0.499468,0.8913629,0.5855626,1.4124202,0.6413893,0.57085186,0.56291276,1.2777126,0.5319451,1.084654,1.0534642,0.7067464,0.71416587,0.5720156,1.1715418,0.8506389,0.64043474,1.1748626,0.5050487,0.776364,0.85053986,0.59518033,0.7928152,0.8703451,0.6295387,1.1415515,0.63062125,1.1832765,0.93290746,0.7687274,0.6802315,0.6664718,0.5891078,0.9916862,0.9113092,0.64296347,0.82392967,0.9096419,0.6595684,0.6746193,0.5321862,0.57880384
ANKRD29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
