,Cell,Cell_type
0,C_1,CD4+_T_Cells
1,C_2,Stromal
2,C_3,Invasive_Tumor
3,C_4,Stromal
4,C_5,CD8+_T_Cells
5,C_6,B_Cells
6,C_7,Endothelial
7,C_8,Invasive_Tumor
8,C_9,CD4+_T_Cells
9,C_10,CD4+_T_Cells
10,C_11,CD4+_T_Cells
11,C_12,Invasive_Tumor
12,C_13,T_Cell_&_Tumor_Hybrid
13,C_14,Stromal
14,C_15,T_Cell_&_Tumor_Hybrid
15,C_16,Invasive_Tumor
16,C_17,Stromal
17,C_18,Invasive_Tumor
18,C_19,T_Cell_&_Tumor_Hybrid
19,C_20,B_Cells
20,C_21,B_Cells
21,C_22,CD8+_T_Cells
22,C_23,Macrophages_1
23,C_24,Stromal
24,C_25,T_Cell_&_Tumor_Hybrid
25,C_26,Stromal
26,C_27,B_Cells
27,C_28,CD8+_T_Cells
28,C_29,Stromal
29,C_30,Endothelial
30,C_31,Macrophages_1
31,C_32,Invasive_Tumor
32,C_33,Endothelial
33,C_34,Invasive_Tumor
34,C_35,Prolif_Invasive_Tumor
35,C_36,Stromal
36,C_37,Macrophages_1
37,C_38,Prolif_Invasive_Tumor
38,C_39,CD4+_T_Cells
39,C_40,Stromal
40,C_41,B_Cells
41,C_42,Endothelial
42,C_43,T_Cell_&_Tumor_Hybrid
43,C_44,CD4+_T_Cells
44,C_45,Macrophages_1
45,C_46,CD4+_T_Cells
46,C_47,Endothelial
47,C_48,Invasive_Tumor
48,C_49,Prolif_Invasive_Tumor
49,C_50,CD4+_T_Cells
50,C_51,Macrophages_1
51,C_52,Invasive_Tumor
52,C_53,CD4+_T_Cells
53,C_54,B_Cells
54,C_55,Endothelial
55,C_56,Endothelial
56,C_57,Macrophages_1
57,C_58,Endothelial
58,C_59,CD4+_T_Cells
59,C_60,Prolif_Invasive_Tumor
60,C_61,CD8+_T_Cells
61,C_62,Prolif_Invasive_Tumor
62,C_63,CD8+_T_Cells
63,C_64,B_Cells
64,C_65,Macrophages_1
65,C_66,Prolif_Invasive_Tumor
66,C_67,CD8+_T_Cells
67,C_68,Endothelial
68,C_69,Macrophages_1
69,C_70,T_Cell_&_Tumor_Hybrid
70,C_71,T_Cell_&_Tumor_Hybrid
71,C_72,CD8+_T_Cells
72,C_73,Prolif_Invasive_Tumor
73,C_74,Invasive_Tumor
74,C_75,B_Cells
75,C_76,Prolif_Invasive_Tumor
76,C_77,B_Cells
77,C_78,Invasive_Tumor
78,C_79,T_Cell_&_Tumor_Hybrid
79,C_80,B_Cells
80,C_81,Endothelial
81,C_82,Stromal
82,C_83,CD8+_T_Cells
83,C_84,Prolif_Invasive_Tumor
84,C_85,T_Cell_&_Tumor_Hybrid
85,C_86,Prolif_Invasive_Tumor
86,C_87,T_Cell_&_Tumor_Hybrid
87,C_88,Stromal
88,C_89,Prolif_Invasive_Tumor
89,C_90,CD8+_T_Cells
90,C_91,CD8+_T_Cells
91,C_92,Invasive_Tumor
92,C_93,Macrophages_1
93,C_94,CD8+_T_Cells
94,C_95,Macrophages_1
95,C_96,T_Cell_&_Tumor_Hybrid
96,C_97,Macrophages_1
97,C_98,B_Cells
98,C_99,Endothelial
99,C_100,CD4+_T_Cells
