method,mode,grid_n,repeat,n_genes,runtime_s,peak_ram_mb
simspace,ref-free,10,0,2200,2.798822959070094,362.9375
simspace,ref-free,10,1,2200,2.19158216600772,360.78125
simspace,ref-free,10,2,2200,2.368114791926928,361.71875
simspace,ref-free,10,3,2200,2.481176874949597,362.671875
simspace,ref-free,10,4,2200,2.388991874991916,362.1875
simspace,ref-free,20,0,2200,2.962723416974768,358.71875
simspace,ref-free,20,1,2200,2.8688406250439584,362.625
simspace,ref-free,20,2,2200,3.2744824159890413,361.90625
simspace,ref-free,20,3,2200,3.27911350002978,365.453125
simspace,ref-free,20,4,2200,3.127414415939711,359.3125
simspace,ref-free,30,0,2200,3.7473349580541253,364.8125
simspace,ref-free,30,1,2200,3.7081658330280334,360.71875
simspace,ref-free,30,2,2200,4.925605083000846,363.671875
simspace,ref-free,30,3,2200,4.557553958031349,365.90625
simspace,ref-free,30,4,2200,4.324063749983907,362.875
simspace,ref-free,50,0,2200,6.607655458967201,367.71875
simspace,ref-free,50,1,2200,6.719455959042534,368.359375
simspace,ref-free,50,2,2200,8.733370165922679,372.5625
simspace,ref-free,50,3,2200,8.33040933299344,370.75
simspace,ref-free,50,4,2200,7.803240832989104,371.609375
simspace,ref-free,75,0,2200,12.03516558301635,378.0625
simspace,ref-free,75,1,2200,11.765594166936353,376.0625
simspace,ref-free,75,2,2200,18.052566541940905,388.78125
simspace,ref-free,75,3,2200,16.58870800002478,385.921875
simspace,ref-free,75,4,2200,15.375989458989352,385.40625
simspace,ref-free,100,0,2200,19.95743616693653,392.203125
simspace,ref-free,100,1,2200,19.10947633406613,388.5625
simspace,ref-free,100,2,2200,31.4320486249635,414.28125
simspace,ref-free,100,3,2200,27.97045504092239,405.171875
simspace,ref-free,100,4,2200,22.891302832984366,395.9375
simspace,ref-free,150,0,2200,39.35927229200024,420.8125
simspace,ref-free,150,1,2200,41.422910708002746,421.0
simspace,ref-free,150,2,2200,64.39847908401862,472.234375
simspace,ref-free,150,3,2200,61.25262024998665,463.125
simspace,ref-free,150,4,2200,49.93360124994069,441.25
simspace,ref-free,200,0,2200,67.55702049995307,463.734375
simspace,ref-free,200,1,2200,68.40802600001916,463.796875
simspace,ref-free,200,2,2200,114.03887516702525,563.90625
simspace,ref-free,200,3,2200,105.6631187919993,545.75
simspace,ref-free,200,4,2200,88.39180666592438,505.625
sccube,ref-free,10,0,2200,14.043663666999999,850.3125
sccube,ref-free,10,1,2200,9.263575584,850.125
sccube,ref-free,10,2,2200,8.996325041999999,833.046875
sccube,ref-free,10,3,2200,8.881099,823.4375
sccube,ref-free,10,4,2200,8.964006417,852.171875
sccube,ref-free,20,0,2200,8.948313125,883.765625
sccube,ref-free,20,1,2200,8.97845,888.15625
sccube,ref-free,20,2,2200,9.0010235,882.953125
sccube,ref-free,20,3,2200,8.986587625,881.25
sccube,ref-free,20,4,2200,9.019783333000001,884.453125
sccube,ref-free,30,0,2200,9.076183792,891.015625
sccube,ref-free,30,1,2200,9.040327291,889.515625
sccube,ref-free,30,2,2200,9.062147083000001,905.296875
sccube,ref-free,30,3,2200,9.018101125,896.625
sccube,ref-free,30,4,2200,9.016572499999999,903.171875
sccube,ref-free,50,0,2200,9.269086041,940.390625
sccube,ref-free,50,1,2200,9.295364417,937.078125
sccube,ref-free,50,2,2200,9.295319334,924.25
sccube,ref-free,50,3,2200,9.272015459,943.453125
sccube,ref-free,50,4,2200,9.306615707999999,917.515625
sccube,ref-free,75,0,2200,10.081765167,993.875
sccube,ref-free,75,1,2200,9.925727917,1000.234375
sccube,ref-free,75,2,2200,9.886495209,984.609375
sccube,ref-free,75,3,2200,9.968785959,999.953125
sccube,ref-free,75,4,2200,9.889268459,1003.9375
sccube,ref-free,100,0,2200,11.530467584,1116.0
sccube,ref-free,100,1,2200,11.43594025,1082.71875
sccube,ref-free,100,2,2200,11.42810775,1088.09375
sccube,ref-free,100,3,2200,11.433381417,1085.484375
sccube,ref-free,100,4,2200,11.402596875,1091.21875
sccube,ref-free,150,0,2200,18.325779458,1413.40625
sccube,ref-free,150,1,2200,18.350844375,1393.28125
sccube,ref-free,150,2,2200,18.453327333999997,1389.171875
sccube,ref-free,150,3,2200,18.510649958,1422.59375
sccube,ref-free,150,4,2200,18.446466542,1407.640625
sccube,ref-free,200,0,2200,38.644898458,2511.015625
sccube,ref-free,200,1,2200,38.383607666,2509.171875
sccube,ref-free,200,2,2200,38.339744959,2507.640625
sccube,ref-free,200,3,2200,38.54809425,2507.03125
sccube,ref-free,200,4,2200,38.740336292,2509.265625
scmultisim,ref-free,10,0,2200,99.626935166,3071.78125
scmultisim,ref-free,10,1,2200,98.149071375,3160.375
scmultisim,ref-free,10,2,2200,98.748126583,3120.609375
scmultisim,ref-free,10,3,2200,98.5750545,3118.5625
scmultisim,ref-free,10,4,2200,98.59406533299999,3006.375
scmultisim,ref-free,12,0,2200,195.878399541,3492.953125
scmultisim,ref-free,12,1,2200,195.428596375,3900.515625
scmultisim,ref-free,12,2,2200,194.78651100000002,3645.734375
scmultisim,ref-free,12,3,2200,195.852612375,3662.90625
scmultisim,ref-free,12,4,2200,217.558767792,3328.328125
scmultisim,ref-free,15,0,2200,525.25030825,4792.265625
scmultisim,ref-free,15,1,2200,523.0724766660001,5088.546875
scmultisim,ref-free,15,2,2200,523.596391292,5106.375
scmultisim,ref-free,15,3,2200,459.883717583,4618.890625
scmultisim,ref-free,15,4,2200,458.778241958,5142.25
