method,mode,grid_n,repeat,runtime_s,peak_ram_mb
sccube,ref-free,10,0,9.284607708,822.46875
sccube,ref-free,10,1,9.093762917000001,815.296875
sccube,ref-free,10,2,8.822936624999999,821.234375
sccube,ref-free,10,3,8.800768,821.28125
sccube,ref-free,10,4,8.903092082999999,830.65625
sccube,ref-free,20,0,8.856444041,824.78125
sccube,ref-free,20,1,8.840226333,825.453125
sccube,ref-free,20,2,8.909274542,826.09375
sccube,ref-free,20,3,8.906880208,822.25
sccube,ref-free,20,4,8.859208917,833.59375
sccube,ref-free,30,0,8.887250792000001,808.203125
sccube,ref-free,30,1,8.857444667000001,823.015625
sccube,ref-free,30,2,8.900789042000001,842.359375
sccube,ref-free,30,3,8.858265083,828.390625
sccube,ref-free,30,4,8.832887708,844.421875
sccube,ref-free,50,0,8.939469375,861.078125
sccube,ref-free,50,1,8.935070041,839.828125
sccube,ref-free,50,2,8.906911500000001,838.921875
sccube,ref-free,50,3,8.924270667,851.328125
sccube,ref-free,50,4,8.934612333,839.890625
sccube,ref-free,75,0,9.00410925,863.3125
sccube,ref-free,75,1,8.985786708000001,853.578125
sccube,ref-free,75,2,8.962165,880.171875
sccube,ref-free,75,3,9.019843,852.328125
sccube,ref-free,75,4,8.990030417,882.265625
sccube,ref-free,100,0,9.221892625,900.34375
sccube,ref-free,100,1,9.228304667,900.796875
sccube,ref-free,100,2,9.218197917000001,874.625
sccube,ref-free,100,3,9.232724416,906.0
sccube,ref-free,100,4,9.230908708000001,900.640625
sccube,ref-free,150,0,9.989461041,951.296875
sccube,ref-free,150,1,9.993038125,949.875
sccube,ref-free,150,2,10.008928416,961.109375
sccube,ref-free,150,3,9.950395625,932.796875
sccube,ref-free,150,4,9.934772875,936.9375
sccube,ref-free,200,0,12.201460875,987.5625
sccube,ref-free,200,1,12.328870958,1015.21875
sccube,ref-free,200,2,12.24645325,1012.984375
sccube,ref-free,200,3,12.307256542000001,1012.265625
sccube,ref-free,200,4,12.237614458,998.34375
