method,mode,grid_n,repeat,n_genes,runtime_s,peak_ram_mb
sccube,ref-free,10,0,2200,14.043663666999999,850.3125
sccube,ref-free,10,1,2200,9.263575584,850.125
sccube,ref-free,10,2,2200,8.996325041999999,833.046875
sccube,ref-free,10,3,2200,8.881099,823.4375
sccube,ref-free,10,4,2200,8.964006417,852.171875
sccube,ref-free,20,0,2200,8.948313125,883.765625
sccube,ref-free,20,1,2200,8.97845,888.15625
sccube,ref-free,20,2,2200,9.0010235,882.953125
sccube,ref-free,20,3,2200,8.986587625,881.25
sccube,ref-free,20,4,2200,9.019783333000001,884.453125
sccube,ref-free,30,0,2200,9.076183792,891.015625
sccube,ref-free,30,1,2200,9.040327291,889.515625
sccube,ref-free,30,2,2200,9.062147083000001,905.296875
sccube,ref-free,30,3,2200,9.018101125,896.625
sccube,ref-free,30,4,2200,9.016572499999999,903.171875
sccube,ref-free,50,0,2200,9.269086041,940.390625
sccube,ref-free,50,1,2200,9.295364417,937.078125
sccube,ref-free,50,2,2200,9.295319334,924.25
sccube,ref-free,50,3,2200,9.272015459,943.453125
sccube,ref-free,50,4,2200,9.306615707999999,917.515625
sccube,ref-free,75,0,2200,10.081765167,993.875
sccube,ref-free,75,1,2200,9.925727917,1000.234375
sccube,ref-free,75,2,2200,9.886495209,984.609375
sccube,ref-free,75,3,2200,9.968785959,999.953125
sccube,ref-free,75,4,2200,9.889268459,1003.9375
sccube,ref-free,100,0,2200,11.530467584,1116.0
sccube,ref-free,100,1,2200,11.43594025,1082.71875
sccube,ref-free,100,2,2200,11.42810775,1088.09375
sccube,ref-free,100,3,2200,11.433381417,1085.484375
sccube,ref-free,100,4,2200,11.402596875,1091.21875
sccube,ref-free,150,0,2200,18.325779458,1413.40625
sccube,ref-free,150,1,2200,18.350844375,1393.28125
sccube,ref-free,150,2,2200,18.453327333999997,1389.171875
sccube,ref-free,150,3,2200,18.510649958,1422.59375
sccube,ref-free,150,4,2200,18.446466542,1407.640625
sccube,ref-free,200,0,2200,38.644898458,2511.015625
sccube,ref-free,200,1,2200,38.383607666,2509.171875
sccube,ref-free,200,2,2200,38.339744959,2507.640625
sccube,ref-free,200,3,2200,38.54809425,2507.03125
sccube,ref-free,200,4,2200,38.740336292,2509.265625
