method,mode,grid_n,repeat,runtime_s,peak_ram_mb
scmultisim,ref-free,10,0,15.865801957999999,1570.0625
scmultisim,ref-free,10,1,15.4401445,1333.5625
scmultisim,ref-free,10,2,15.144280625,1454.40625
scmultisim,ref-free,10,3,14.9314235,1289.765625
scmultisim,ref-free,10,4,15.148600959,1329.78125
scmultisim,ref-free,15,0,57.397052208000005,1728.796875
scmultisim,ref-free,15,1,58.6157185,2128.765625
scmultisim,ref-free,15,2,57.757397542,1718.546875
scmultisim,ref-free,15,3,57.830156417000005,1703.765625
scmultisim,ref-free,15,4,57.53287175,1730.609375
scmultisim,ref-free,20,0,169.34795695900002,2533.421875
scmultisim,ref-free,20,1,169.13002699999998,3097.484375
scmultisim,ref-free,20,2,172.616758875,2863.1875
scmultisim,ref-free,20,3,177.177523375,2937.734375
scmultisim,ref-free,20,4,177.07165845900002,3082.25
scmultisim,ref-free,25,0,423.61147925,4677.875
scmultisim,ref-free,25,1,426.82422737499996,5138.96875
scmultisim,ref-free,25,2,424.898336416,5153.28125
scmultisim,ref-free,25,3,422.913057833,5119.5625
scmultisim,ref-free,25,4,424.348381458,5178.65625
