method,mode,grid_n,repeat,n_genes,runtime_s,peak_ram_mb
scmultisim,ref-free,10,0,2200,99.626935166,3071.78125
scmultisim,ref-free,10,1,2200,98.149071375,3160.375
scmultisim,ref-free,10,2,2200,98.748126583,3120.609375
scmultisim,ref-free,10,3,2200,98.5750545,3118.5625
scmultisim,ref-free,10,4,2200,98.59406533299999,3006.375
scmultisim,ref-free,12,0,2200,195.878399541,3492.953125
scmultisim,ref-free,12,1,2200,195.428596375,3900.515625
scmultisim,ref-free,12,2,2200,194.78651100000002,3645.734375
scmultisim,ref-free,12,3,2200,195.852612375,3662.90625
scmultisim,ref-free,12,4,2200,217.558767792,3328.328125
scmultisim,ref-free,15,0,2200,525.25030825,4792.265625
scmultisim,ref-free,15,1,2200,523.0724766660001,5088.546875
scmultisim,ref-free,15,2,2200,523.596391292,5106.375
scmultisim,ref-free,15,3,2200,459.883717583,4618.890625
scmultisim,ref-free,15,4,2200,458.778241958,5142.25
