method,mode,grid_n,repeat,runtime_s,peak_ram_mb
simspace,ref-free,10,0,1.7419780000345781,356.046875
simspace,ref-free,10,1,1.6893564580241218,354.921875
simspace,ref-free,10,2,1.6987982499995269,355.609375
simspace,ref-free,10,3,1.7278162919683382,355.921875
simspace,ref-free,10,4,1.6968875830061734,353.6875
simspace,ref-free,20,0,1.8934490000247024,353.9375
simspace,ref-free,20,1,1.8847890829783864,355.375
simspace,ref-free,20,2,1.9311088329995982,353.5625
simspace,ref-free,20,3,1.9282138340058737,353.953125
simspace,ref-free,20,4,1.9604629169916734,357.5625
simspace,ref-free,30,0,2.2622534169931896,356.078125
simspace,ref-free,30,1,2.2475001660059206,357.296875
simspace,ref-free,30,2,2.3895047919941135,358.234375
simspace,ref-free,30,3,2.3474400840350427,355.609375
simspace,ref-free,30,4,2.3201291669975035,355.859375
simspace,ref-free,50,0,3.278667917009443,356.828125
simspace,ref-free,50,1,3.293693332991097,358.265625
simspace,ref-free,50,2,3.4960907089989632,356.015625
simspace,ref-free,50,3,3.443534667021595,358.328125
simspace,ref-free,50,4,3.4269239170243964,356.875
simspace,ref-free,75,0,5.297320042038336,360.890625
simspace,ref-free,75,1,5.259678750007879,358.28125
simspace,ref-free,75,2,5.860674541967455,360.015625
simspace,ref-free,75,3,5.754585541959386,360.65625
simspace,ref-free,75,4,5.619294041011017,360.09375
simspace,ref-free,100,0,8.17170437501045,361.546875
simspace,ref-free,100,1,8.054417583043687,360.3125
simspace,ref-free,100,2,9.248030417016707,362.828125
simspace,ref-free,100,3,9.70948058302747,362.1875
simspace,ref-free,100,4,8.433144207985606,360.375
simspace,ref-free,150,0,15.82182420801837,361.453125
simspace,ref-free,150,1,16.022609875013586,363.125
simspace,ref-free,150,2,18.476406250032596,368.125
simspace,ref-free,150,3,18.01363866601605,367.984375
simspace,ref-free,150,4,17.267600333027076,368.6875
simspace,ref-free,200,0,27.236166584014427,369.0
simspace,ref-free,200,1,27.347589792043436,371.078125
simspace,ref-free,200,2,31.633914583013393,381.078125
simspace,ref-free,200,3,30.855569040984847,378.53125
simspace,ref-free,200,4,29.21487404202344,375.671875
