method,mode,grid_n,repeat,n_genes,runtime_s,peak_ram_mb
simspace,ref-free,10,0,2200,2.798822959070094,362.9375
simspace,ref-free,10,1,2200,2.19158216600772,360.78125
simspace,ref-free,10,2,2200,2.368114791926928,361.71875
simspace,ref-free,10,3,2200,2.481176874949597,362.671875
simspace,ref-free,10,4,2200,2.388991874991916,362.1875
simspace,ref-free,20,0,2200,2.962723416974768,358.71875
simspace,ref-free,20,1,2200,2.8688406250439584,362.625
simspace,ref-free,20,2,2200,3.2744824159890413,361.90625
simspace,ref-free,20,3,2200,3.27911350002978,365.453125
simspace,ref-free,20,4,2200,3.127414415939711,359.3125
simspace,ref-free,30,0,2200,3.7473349580541253,364.8125
simspace,ref-free,30,1,2200,3.7081658330280334,360.71875
simspace,ref-free,30,2,2200,4.925605083000846,363.671875
simspace,ref-free,30,3,2200,4.557553958031349,365.90625
simspace,ref-free,30,4,2200,4.324063749983907,362.875
simspace,ref-free,50,0,2200,6.607655458967201,367.71875
simspace,ref-free,50,1,2200,6.719455959042534,368.359375
simspace,ref-free,50,2,2200,8.733370165922679,372.5625
simspace,ref-free,50,3,2200,8.33040933299344,370.75
simspace,ref-free,50,4,2200,7.803240832989104,371.609375
simspace,ref-free,75,0,2200,12.03516558301635,378.0625
simspace,ref-free,75,1,2200,11.765594166936353,376.0625
simspace,ref-free,75,2,2200,18.052566541940905,388.78125
simspace,ref-free,75,3,2200,16.58870800002478,385.921875
simspace,ref-free,75,4,2200,15.375989458989352,385.40625
simspace,ref-free,100,0,2200,19.95743616693653,392.203125
simspace,ref-free,100,1,2200,19.10947633406613,388.5625
simspace,ref-free,100,2,2200,31.4320486249635,414.28125
simspace,ref-free,100,3,2200,27.97045504092239,405.171875
simspace,ref-free,100,4,2200,22.891302832984366,395.9375
simspace,ref-free,150,0,2200,39.35927229200024,420.8125
simspace,ref-free,150,1,2200,41.422910708002746,421.0
simspace,ref-free,150,2,2200,64.39847908401862,472.234375
simspace,ref-free,150,3,2200,61.25262024998665,463.125
simspace,ref-free,150,4,2200,49.93360124994069,441.25
simspace,ref-free,200,0,2200,67.55702049995307,463.734375
simspace,ref-free,200,1,2200,68.40802600001916,463.796875
simspace,ref-free,200,2,2200,114.03887516702525,563.90625
simspace,ref-free,200,3,2200,105.6631187919993,545.75
simspace,ref-free,200,4,2200,88.39180666592438,505.625
