seed	default_equals_disabled	default_equals_zero_spatial	gene_metadata_equal_disabled	gene_metadata_equal_zero_spatial	default_disabled_mismatched_entries	default_zero_spatial_mismatched_entries
0	True	True	True	True	0	0
1	True	True	True	True	0	0
2	True	True	True	True	0	0
3	True	True	True	True	0	0
4	True	True	True	True	0	0
5	True	True	True	True	0	0
6	True	True	True	True	0	0
7	True	True	True	True	0	0
8	True	True	True	True	0	0
9	True	True	True	True	0	0
10	True	True	True	True	0	0
11	True	True	True	True	0	0
12	True	True	True	True	0	0
13	True	True	True	True	0	0
14	True	True	True	True	0	0
15	True	True	True	True	0	0
16	True	True	True	True	0	0
17	True	True	True	True	0	0
18	True	True	True	True	0	0
19	True	True	True	True	0	0
