seed	basis	basis_label	GeneID	Gene	is_direct	direction	configured_strength	coefficient_row	coefficient_col	latent_strength	observed_strength	n_cells
0	linear	Linear	0	Gene_0	True	Diagonal	1.0	0.7071067811865475	0.7071067811865475	1.0000000000000002	0.9854671036135987	1604
0	linear	Linear	1	Gene_1	True	Horizontal	-1.0	-1.0	-0.0	-1.0000000000000004	-0.9569497848456869	1604
0	linear	Linear	2	Gene_2	True	Horizontal	-1.0	-1.0	-0.0	-1.0000000000000004	-0.9798685178920624	1604
0	linear	Linear	3	Gene_3	True	Horizontal	-1.0	-1.0	-0.0	-1.0000000000000004	-0.9824518218531636	1604
0	linear	Linear	4	Gene_4	True	Vertical	-1.0	-0.0	-1.0	-1.0000000000000004	-1.0160004425553606	1604
0	linear	Linear	5	Gene_5	True	Vertical	-1.0	-0.0	-1.0	-1.0000000000000004	-0.9812960168508873	1604
0	linear	Linear	6	Gene_6	True	Vertical	-1.0	-0.0	-1.0	-1.0000000000000004	-0.969097690784271	1604
0	linear	Linear	7	Gene_7	True	Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-1.0	-1.0045502614196407	1604
0	linear	Linear	8	Gene_8	True	Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-0.9999999999999998	-0.9572288759192372	1604
0	linear	Linear	9	Gene_9	True	Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-1.0	-1.0046290740794934	1604
0	linear	Linear	10	Gene_10	True	Anti-diagonal	-1.0	-0.7071067811865475	0.7071067811865475	-1.0000000000000004	-1.0052266037927364	1604
0	linear	Linear	11	Gene_11	True	Anti-diagonal	-1.0	-0.7071067811865475	0.7071067811865475	-1.0000000000000004	-0.9815020541788442	1604
0	linear	Linear	12	Gene_12	True	Anti-diagonal	-1.0	-0.7071067811865475	0.7071067811865475	-1.0000000000000004	-0.9916604754243172	1604
0	linear	Linear	13	Gene_13	True	Horizontal	-0.75	-0.75	-0.0	-0.7500000000000002	-0.7497581157821495	1604
0	linear	Linear	14	Gene_14	True	Horizontal	-0.75	-0.75	-0.0	-0.7500000000000002	-0.7749812734948721	1604
0	linear	Linear	15	Gene_15	True	Horizontal	-0.75	-0.75	-0.0	-0.7500000000000002	-0.73931175600437	1604
0	linear	Linear	16	Gene_16	True	Vertical	-0.75	-0.0	-0.75	-0.7500000000000002	-0.7276845465118285	1604
0	linear	Linear	17	Gene_17	True	Vertical	-0.75	-0.0	-0.75	-0.7500000000000002	-0.7100698117076084	1604
0	linear	Linear	18	Gene_18	True	Vertical	-0.75	-0.0	-0.75	-0.7500000000000002	-0.7540156171479877	1604
0	linear	Linear	19	Gene_19	True	Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.7499999999999998	-0.7819634410723929	1604
0	linear	Linear	20	Gene_20	True	Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.7499999999999998	-0.765341221829789	1604
0	linear	Linear	21	Gene_21	True	Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.7499999999999998	-0.7469047792298544	1604
0	linear	Linear	22	Gene_22	True	Anti-diagonal	-0.75	-0.5303300858899106	0.5303300858899106	-0.7500000000000002	-0.7967037506050063	1604
0	linear	Linear	23	Gene_23	True	Anti-diagonal	-0.75	-0.5303300858899106	0.5303300858899106	-0.7500000000000002	-0.7171557565473933	1604
0	linear	Linear	24	Gene_24	True	Anti-diagonal	-0.75	-0.5303300858899106	0.5303300858899106	-0.7500000000000002	-0.7675569170212962	1604
0	linear	Linear	25	Gene_25	True	Horizontal	-0.5	-0.5	-0.0	-0.5000000000000002	-0.5013326816815447	1604
0	linear	Linear	26	Gene_26	True	Horizontal	-0.5	-0.5	-0.0	-0.5000000000000002	-0.5177003845177565	1604
0	linear	Linear	27	Gene_27	True	Horizontal	-0.5	-0.5	-0.0	-0.5000000000000002	-0.4776980744628127	1604
0	linear	Linear	28	Gene_28	True	Vertical	-0.5	-0.0	-0.5	-0.5000000000000002	-0.4976981888482974	1604
0	linear	Linear	29	Gene_29	True	Vertical	-0.5	-0.0	-0.5	-0.5000000000000002	-0.504674140434631	1604
0	linear	Linear	30	Gene_30	True	Vertical	-0.5	-0.0	-0.5	-0.5000000000000002	-0.5395917908104743	1604
0	linear	Linear	31	Gene_31	True	Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.4999999999999999	-0.524347297743832	1604
0	linear	Linear	32	Gene_32	True	Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.5	-0.49360545079509816	1604
0	linear	Linear	33	Gene_33	True	Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.5	-0.48118826041480106	1604
0	linear	Linear	34	Gene_34	True	Anti-diagonal	-0.5	-0.35355339059327373	0.35355339059327373	-0.5000000000000003	-0.5341328714528188	1604
0	linear	Linear	35	Gene_35	True	Anti-diagonal	-0.5	-0.35355339059327373	0.35355339059327373	-0.5000000000000002	-0.5349812594342934	1604
0	linear	Linear	36	Gene_36	True	Anti-diagonal	-0.5	-0.35355339059327373	0.35355339059327373	-0.5000000000000003	-0.5372293201923085	1604
0	linear	Linear	37	Gene_37	True	Horizontal	-0.25	-0.25	-0.0	-0.25000000000000006	-0.2941879151670639	1604
0	linear	Linear	38	Gene_38	True	Horizontal	-0.25	-0.25	-0.0	-0.2500000000000001	-0.2423231439263283	1604
0	linear	Linear	39	Gene_39	True	Horizontal	-0.25	-0.25	-0.0	-0.2500000000000001	-0.25752225378057225	1604
0	linear	Linear	40	Gene_40	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.2581808544029781	1604
0	linear	Linear	41	Gene_41	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.2888024949014467	1604
0	linear	Linear	42	Gene_42	True	Vertical	-0.25	-0.0	-0.25	-0.2500000000000001	-0.23492339137193347	1604
0	linear	Linear	43	Gene_43	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25	-0.25935042452556323	1604
0	linear	Linear	44	Gene_44	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25000000000000006	-0.24429879935900017	1604
0	linear	Linear	45	Gene_45	True	Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.25	-0.23840235249423258	1604
0	linear	Linear	46	Gene_46	True	Anti-diagonal	-0.25	-0.17677669529663687	0.17677669529663687	-0.2500000000000001	-0.2517153299138903	1604
