"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",0.0861261871894776,0.931366106599023
"ANKRD28","B_Cells",0.40730935158972,0.683780795248361
"BASP1","B_Cells",0.0533388658463657,0.957461913794076
"C2orf42","B_Cells",0.0303302054458527,0.975803707186748
"CCPG1","B_Cells",0.0584527421191149,0.953388004416777
"CLDN4","B_Cells",0.0323706176837894,0.974176493894989
"CXCR4","B_Cells",0.0857348763199987,0.931677176895266
"CYTIP","B_Cells",0.955938993506887,0.339103057147235
"DAPK3","B_Cells",1.97442468675809,0.0483334732784192
"DUSP5","B_Cells",0.0420438741137074,0.966463722534862
"ERN1","B_Cells",0.285710477885184,0.775099878893831
"ESR1","B_Cells",0.0760878382363834,0.939349215773008
"FAM107B","B_Cells",1.81195820571168,0.0699926545977031
"FAM49A","B_Cells",0.0394057565400567,0.968566890420643
"GLIPR1","B_Cells",0.0524156626508055,0.958197494281675
"HDC","B_Cells",2.72117032340134,0.00650512348813995
"HMGA1","B_Cells",0.0702732738956639,0.943976154246443
"ITGAM","B_Cells",0.039057240762705,0.968844751865153
"ITM2C","B_Cells",0.778494838269279,0.436277348442417
"KARS","B_Cells",0.142442792128147,0.88673026373538
"LDHB","B_Cells",0.208069851581836,0.835174426931564
"LGALSL","B_Cells",4.29264857844181,1.76554328425927e-05
"LPXN","B_Cells",1.18263597843313,0.236953447141603
"MAP3K8","B_Cells",0.0454019317144687,0.963786941291591
"MRC1","B_Cells",0.0393104714523413,0.968642858058927
"MZB1","B_Cells",0.489391511175029,0.624564544752777
"NPM3","B_Cells",1.11183655528041,0.26620843139877
"OCIAD2","B_Cells",0.0467143016056546,0.962740931757162
"PDE4A","B_Cells",3.05889886727092,0.00222152130375096
"PELI1","B_Cells",2.36084076369323,0.0182335579759501
"PIM1","B_Cells",0.0399395574341016,0.968141313977183
"PRDM1","B_Cells",1.45387351417856,0.145981377131939
"RAB30","B_Cells",0.900072390869313,0.368081727663385
"RAPGEF3","B_Cells",0.631715370430127,0.527572882521977
"RUNX1","B_Cells",0.042374723871323,0.966199977674404
"SEC11C","B_Cells",1.88822658944279,0.0589955376800793
"SEC24A","B_Cells",3.13724661214499,0.00170542614381571
"SELL","B_Cells",0.0490711840254739,0.960862567548683
"SLAMF7","B_Cells",0.243946251080014,0.807272447824957
"SLC25A37","B_Cells",0.0377998200642697,0.969847287839036
"SMAP2","B_Cells",0.0492910060257989,0.960687386958678
"SQLE","B_Cells",0.722336640842225,0.470087530731131
"TENT5C","B_Cells",0.00997628936436169,0.992040204777186
"THAP2","B_Cells",3.86914283912515,0.000109218645799168
"TIFA","B_Cells",0.0522593861944346,0.958322014192966
"TMEM147","B_Cells",0.040094951675505,0.968017426546445
"TOMM7","B_Cells",0.0266389512494844,0.97874770566924
"TPD52","B_Cells",0.878666916738852,0.379581901551433
"TRAPPC3","B_Cells",0.557677845026249,0.577064388940078
"TRIB1","B_Cells",0.0464054087533066,0.962987125597361
"TUBA4A","B_Cells",1.21420140811656,0.224670822941264
"TUBB2B","B_Cells",0.0385315063150531,0.969263911721978
"VOPP1","B_Cells",2.43922826837827,0.014718667536975
"WARS","B_Cells",1.55045847337229,0.12103151323593
