genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
RAMP2,4.22911979494202e-31,2.4934421415585,9.30406354887245e-29,174.386715546283,5.91489997322866,267
HOXD9,2.3853151285472e-21,3.09187322666352,1.74923109426795e-19,146.817463222538,5.58308685270123,151
CAVIN2,1.64225703681269e-15,3.14776042013954,3.61296548098792e-14,107.158278944202,5.32338566042056,123
MMRN2,3.08111392935432e-18,2.23156713904126,9.68350092082787e-17,89.97955525367,5.35470988201506,224
BTNL9,2.06981909332745e-16,2.42817882743265,5.05955778368932e-15,87.6910080334196,5.40095556536258,182
CLEC14A,1.373846667202e-19,1.87237372565294,6.0449253356888e-18,81.3200035385522,5.85686396844733,327
CD93,2.16263612904626e-20,1.73891596585146,1.18944987097544e-18,78.7387652051882,5.95360876408816,409
CCL5,8.32453168947705e-19,1.87928835884206,3.05232828614158e-17,78.2346052165561,6.22610458799111,323
TACSTD2,5.64834071690195e-23,1.49799451040863,6.21317478859214e-21,76.7394055609509,6.33985218202934,2460
KDR,1.0057339163603e-14,1.80437520428039,1.84384551332721e-13,58.1558676781536,5.50136759890245,298
FOXA1,9.00508136566419e-15,1.71041524378262,1.80101627313284e-13,55.3165178149545,7.44056397952637,2825
DSP,4.18786785541918e-18,1.32617349182303,1.15166366024027e-16,53.0659569139688,5.64214752784439,2093
ERBB2,2.26191232760585e-06,3.4461451484983,1.42177346306653e-05,44.7974744214726,8.50466131718072,3109
KRT8,1.88194839788791e-13,1.48468478405185,3.18483575027184e-12,43.503192164928,6.82776438631457,2689
MYLK,5.18914131205135e-13,1.50811712143016,8.15436491893783e-12,42.6601662860075,5.40783049098329,447
EPCAM,1.5418804930057e-12,1.50279921394713,2.26142472307503e-11,40.8731605899119,7.69214736643261,2736
GATA3,6.09241256991418e-11,1.68509049013803,7.88429861988893e-10,39.6356737498331,7.21347606301171,2882
FASN,1.77051447126851e-11,1.53149751710865,2.43445739799419e-10,37.9155380404114,7.02968268758964,2777
IL3RA,6.14937457144581e-08,2.24337757234848,4.83165144899314e-07,37.2497823402306,5.09933720494238,132
CD3G,8.10542584228854e-10,1.74463570409813,8.91596842651739e-09,36.5210126541675,5.71854366102203,245
MLPH,6.20750552173507e-10,1.27777701581857,7.18763797253535e-09,27.0889900378575,6.65544247684817,2411
LDHB,3.80398904502616e-10,1.2388084083553,4.64931994392086e-09,26.8695074394984,5.59145864543506,973
CD9,1.09972243942084e-09,1.29151899732092,1.15209017463136e-08,26.6417225343607,6.27499920710226,2477
KRT7,1.15619176689113e-07,1.6538888898999,8.77110995572585e-07,26.4175077085456,7.88662951885996,2929
CDH1,2.70388974469068e-09,1.26146632606331,2.58632932100847e-08,24.8869323355715,6.14818776347224,2392
ADGRE5,5.96275174507906e-08,1.48862789187099,4.83165144899314e-07,24.7635462914626,5.33612829377632,329
VWF,7.15535497025317e-09,1.31055738526484,6.55907538939874e-08,24.5800342921905,5.59580506375774,593
S100A14,2.45196502069784e-09,1.20801457775526,2.45196502069784e-08,23.950551334249,5.6174911882584,2019
PECAM1,1.46841831232417e-08,1.25355596444074,1.29220811484527e-07,22.609755760067,5.58286882667399,753
LYPD3,5.18348943902652e-08,1.17578854571362,4.38602952533013e-07,19.724090690025,5.40310045073861,1727
ANKRD30A,1.25124765423807e-06,1.30431837751876,8.60232762288671e-06,17.7274728593539,7.16548799126516,2684
ZEB2,3.32419658724481e-07,1.18467555814989,2.43774416397953e-06,17.6716484900901,5.84747823186882,1039
