genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
MLPH,4.79358990205066e-222,3.47925962894081,1.05458977845114e-219,1773.05370848962,6.68022144155553,2154
CLEC14A,1.52186935140961e-130,4.33405784698526,1.67405628655057e-128,1295.51976706368,6.30978623578541,340
RAMP2,1.36333883694619e-123,4.39594726562166,9.9978181376054e-122,1243.64877967009,6.20210643628299,324
EPCAM,5.43723366611552e-105,3.37665405228673,1.99365234424236e-103,810.660906518337,7.71200031616143,2474
HOXD9,2.27090518041961e-59,4.86887574772389,1.85036718404561e-58,657.455695008928,5.8334243935394,171
MMRN2,2.43527520907586e-78,3.67300469776085,3.15153262350994e-77,656.408463632625,5.54481838288616,280
CD93,7.17926489292137e-100,2.86743468558511,1.75493141826967e-98,654.598957580028,6.2340120175782,475
KDR,1.17384283709104e-80,3.40133479216099,1.61403390100019e-79,626.003847486994,5.87676241078926,319
ABCC11,4.08208860206266e-116,2.21089507502018,2.24514873113447e-114,587.419924460771,6.13934569105007,1929
DSP,1.71439798461344e-114,2.1624196674188,7.54335113229916e-113,566.458024925209,5.67962139787059,1866
CAVIN2,7.59769093980295e-50,4.84182447704702,5.06512729320197e-49,547.617176644881,5.42388498066477,154
ZEB2,1.1638676302523e-101,2.15274089243697,3.65786969507865e-100,500.317102422033,5.83155100311501,883
LDHB,1.20465057830061e-100,2.1695091402509,3.31278909032668e-99,499.144000618583,5.59054193288488,851
FASN,1.14535505330077e-75,2.8916387618942,1.32620058803247e-74,498.975885232792,7.05717144027811,2482
KRT8,4.85486884073064e-74,2.67408368564385,5.3403557248037e-73,451.415582846678,6.84567629074444,2441
SERHL2,8.47485391023504e-94,2.00175512864999,1.69497078204701e-92,428.987925068853,5.973907654872,1856
FOXA1,2.91037077683822e-63,2.95850591656656,2.78383291697569e-62,426.008817980641,7.44105072467204,2540
CDH1,3.02693423621608e-87,2.12362725222009,5.12250409205798e-86,423.063399492361,6.14266716723053,2099
MYO5B,5.55402403544806e-91,2.00995099988252,1.01823773983214e-89,417.70946545971,5.73379093330318,1915
ELF3,7.62898580718013e-94,1.89796181645906,1.67837687757963e-92,406.943974210227,5.49601241298353,1447
TACSTD2,9.54194919833888e-78,2.09386535324313,1.16623823535253e-76,371.338518195553,6.40804693159898,2149
ANKRD30A,8.12588318523054e-64,2.48106415997413,8.12588318523054e-63,360.425161929475,7.16773553770869,2438
LYPD3,1.20494991861057e-84,1.84013629015623,1.89349272924519e-83,355.570841488029,5.43722821788252,1518
PDGFRA,3.75975946178603e-63,2.42453057431962,3.44644617330386e-62,348.498402203863,5.62845062632813,447
AR,1.80364508543338e-81,1.85443704212658,2.6453461253023e-80,344.776161326765,5.52652442806712,1722
CCDC80,1.26281816184525e-67,1.99014936470114,1.32295236002836e-66,306.562320304853,5.73948735021208,725
CAV1,2.12922995775962e-62,2.15790372116641,1.87372236282846e-61,306.432072146807,6.21270724111745,558
CD9,1.41241877691138e-61,2.07851435336176,1.19512358046348e-60,291.2256074494,6.27408157949798,2265
ZEB1,6.96466674222966e-58,2.16211506054741,5.47223815460902e-57,284.553986156432,5.51318168174397,528
VWF,3.31905950949864e-57,2.01481772818098,2.51790721410241e-56,262.022348683684,5.99096704617524,605
PRDM1,1.17619182241552e-50,2.25569666375482,8.34716777198109e-50,259.330616759642,5.75918402513482,438
PTPRC,1.49547163814103e-55,1.98750079135756,1.09667920130342e-54,250.901580130894,6.17008420647344,617
TCF4,1.64362613066324e-50,2.18593050352543,1.12999296483097e-49,250.578350104123,5.46841457865141,458
IL3RA,2.18908955478938e-29,3.57399932913473,1.0033327126118e-28,235.853512281683,5.31252695408015,158
AQP1,5.15465780173506e-46,2.15559911778711,3.24007061823346e-45,224.783749599755,5.7119399086525,436
