genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
RAMP2,4.22911979494202e-31,2.4934421415585,9.30406354887245e-29,174.386715546283,5.91489997322866,267
HOXD9,2.3853151285472e-21,3.09187322666352,2.62384664140192e-19,146.817463222538,5.58308685270123,151
CAVIN2,1.64225703681269e-15,3.14776042013954,4.51620685123489e-14,107.158278944202,5.32338566042056,123
MMRN2,3.08111392935432e-18,2.23156713904126,1.12974177409659e-16,89.97955525367,5.35470988201506,224
BTNL9,2.06981909332745e-16,2.42817882743265,6.50514572188627e-15,87.6910080334196,5.40095556536258,182
CLEC14A,1.373846667202e-19,1.87237372565294,7.556156669611e-18,81.3200035385522,5.85686396844733,327
CD93,2.16263612904626e-20,1.73891596585146,1.58593316130059e-18,78.7387652051882,5.95360876408816,409
CCL5,8.32453168947705e-19,1.87928835884206,3.6627939433699e-17,78.2346052165561,6.22610458799111,323
KDR,1.0057339163603e-14,1.80437520428039,2.45846068443628e-13,58.1558676781536,5.50136759890245,298
MYLK,5.18914131205135e-13,1.50811712143016,1.1416110886513e-11,42.6601662860075,5.40783049098329,447
IL3RA,6.14937457144581e-08,2.24337757234848,7.95801415128281e-07,37.2497823402306,5.09933720494238,132
CD3G,8.10542584228854e-10,1.74463570409813,1.37168745023344e-08,36.5210126541675,5.71854366102203,245
LDHB,2.79786929572258e-11,1.25921544155353,5.59573859144515e-10,30.5984036661159,5.63929102631551,951
TOP2A,6.70239316498308e-11,1.25359559817714,1.2287720802469e-09,29.3666945943498,6.42243228529378,951
ADGRE5,5.96275174507906e-08,1.48862789187099,7.95801415128281e-07,24.7635462914626,5.33612829377632,329
VWF,7.15535497025317e-09,1.31055738526484,1.12441292389693e-07,24.5800342921905,5.59580506375774,593
PECAM1,1.46841831232417e-08,1.25355596444074,2.15368019140878e-07,22.609755760067,5.58286882667399,753
MKI67,2.14180094364665e-07,1.19738328382393,2.61775670890146e-06,18.387554868572,5.31619429173518,950
CXCL12,2.7655804063701e-07,1.19599107778795,3.20225099684959e-06,18.0604760379026,6.42000799261854,951
POSTN,4.11975234257614e-07,1.19272434409229,4.53172757683376e-06,17.5357942257428,8.07399532885844,951
