genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
CCL5,1.10178087438189e-30,1.81950975694228,2.42391792364016e-28,125.510920122739,5.97433159899258,602
CD3G,6.38296208426754e-16,1.87325873737399,3.51062914634715e-14,65.5410694655374,5.67599039648808,376
CD3E,1.4778518589775e-16,1.5223309370983,1.62563704487525e-14,55.4901377462107,6.22447082780267,642
PTPRC,1.84691352649025e-15,1.32692213150152,8.12641951655709e-14,45.0161789918521,5.97420455055572,1038
IL3RA,8.62027307667217e-11,1.93500759313923,1.26430671791192e-09,44.8424837326408,5.16674979629267,274
LUM,2.73511756978769e-16,1.23319907773358,2.00575288451097e-14,44.1919196399913,8.54277348995816,1728
KDR,2.85041107949899e-13,1.4822182330629,6.96767152766421e-12,42.8155678176342,5.55771430386838,602
PECAM1,2.33855132371418e-15,1.25778354766159,8.574688186952e-14,42.3737777793018,5.61108851402,1412
TCF4,3.02252466477714e-14,1.30398054198029,9.49936323215672e-13,40.5930431547453,5.52993078550419,1068
CD247,1.3099314467008e-10,1.64008408333996,1.8011557392136e-09,37.3215502348377,5.52245876698348,391
PDGFRB,7.89249262074996e-14,1.21459969556221,2.17043547070624e-12,36.6448120472645,6.13701600040112,1684
CAV1,1.08811822518829e-12,1.25807143306147,2.39386009541424e-11,34.6555544445826,6.03648852986997,1199
GZMA,6.21333447845743e-10,1.60208437274379,8.04078579565079e-09,33.9628320972539,5.96800961184091,394
ZEB2,5.49406386662166e-12,1.19364413625444,1.09881277332433e-10,30.9480327618962,6.24733104039401,1730
CXCL12,6.9567048491953e-12,1.19213397891029,1.27539588901914e-10,30.6274898067327,6.569108486232,1729
POSTN,4.79840619442309e-11,1.18365083449825,8.12037971363908e-10,28.1237239828717,8.30574346182188,1728
LDHB,5.33562120468836e-11,1.18418494178527,8.38454760736742e-10,28.0107469739411,5.65258259932361,1728
MMRN2,2.16771894912305e-08,1.50616323715496,2.27094366098605e-07,26.579270635956,5.41252325000084,420
CLEC14A,3.91571210340236e-09,1.35984486407171,4.53398243551852e-08,26.3242421779175,5.92484351983026,637
MMP2,2.42184735235598e-09,1.16554038454501,2.96003565287954e-08,23.1228470763353,6.35863575458664,1727
PRDM1,3.02421796077635e-08,1.25583062438231,3.02421796077635e-07,21.7434868591148,5.40344472999698,867
IL2RG,1.11556435989296e-07,1.33958636101392,1.02260066323521e-06,21.4450833601097,5.58799257829739,602
CD9,9.81814659155662e-09,1.15819439047725,1.07999612507123e-07,21.3559851313832,7.13206916706173,1732
ZEB1,3.5545884257313e-08,1.18729552687044,3.40004110287342e-07,20.365017021258,5.50394287852732,1271
CDH1,1.57113567029015e-07,1.14432127998346,1.38259938985533e-06,17.9272769626584,7.01547539495452,1728
TACSTD2,1.93899637383754e-07,1.14275478161332,1.640689239401e-06,17.6623323634999,7.31445628630628,1728
FOXA1,2.61944607743384e-07,1.14135097056888,2.13436347050165e-06,17.2973255034039,8.32173436365891,1726
IL7R,9.60835110534141e-07,1.24797461183999,7.5494187256254e-06,17.2912660890248,5.91657617205782,775
RAMP2,2.01261343416265e-06,1.31115457278483,1.47591651838594e-05,17.1972036333471,5.92911961450152,579
AQP1,1.25984297705981e-06,1.203480017581,9.55742948114338e-06,16.3487025398691,5.44741870348404,966
CYTIP,1.63278784771005e-05,1.27390581239441,0.00010885252318067,14.0418008009212,5.61559300985834,603
KRT7,6.1683732243709e-06,1.12273267306874,4.37755519148902e-05,13.4683858156093,8.76445946535427,1728
MYLK,1.86537004792881e-05,1.19548996958869,0.000120700414865982,13.0182473944358,5.38874761440915,847
SCD,1.27441665134219e-05,1.11876349988611,8.76161447797758e-05,12.6089534532126,8.56062841916773,1730
NOSTRIN,6.64676190832887e-05,1.29556192034748,0.000373564076494661,12.4617453766611,5.42458911770184,502
PDGFRA,2.43622386950234e-05,1.12768357672672,0.00015313407179729,11.9787919762154,5.88708338618116,1457
FBLIM1,4.18313064228491e-05,1.18261052127913,0.000255635761472967,11.9229202632366,5.26534369414098,890
FBLN1,5.46224347903401e-05,1.14878325257078,0.00031623514878618,11.2753832897527,5.6285788174539,1107
FASN,5.11028209618326e-05,1.10960804092656,0.00030385461112441,10.9647814413224,7.90007886467151,1728
SERHL2,6.79207411808474e-05,1.10756316417943,0.000373564076494661,10.6294709793977,6.82211386217319,1728
CXCR4,6.99032070898462e-05,1.10791064759012,0.000375090379506492,10.600931164247,6.37724120374656,1729
CD93,0.000137734879525386,1.18675610935486,0.00068867439762693,10.5504752899681,5.97488069208433,789
SERPINA3,0.000200737290919006,1.22727333159047,0.000981382311159583,10.4484080952681,5.06469171842563,604
AR,0.000120195102469979,1.10404174011165,0.000629593393890368,9.96551604952019,6.12648054239338,1728
LYPD3,0.000130778346041954,1.10384382040645,0.000669098514633254,9.87057881882437,5.98716723658565,1728
LPXN,0.000360954640753093,1.18643615821722,0.00162270568123015,9.40459261285087,5.10275932900803,722
CCDC80,0.000249095633594634,1.09916863402737,0.00119132694327868,9.12054262749542,6.20361710773387,1729
VWF,0.000352020406002131,1.13428542044876,0.00162270568123015,9.01963509415373,5.69152534605488,1084
SFRP4,0.000858452602413553,1.26322597954374,0.00331332583387687,8.9188542905506,5.57925478245768,464
EPCAM,0.000361420810819442,1.09639079737702,0.00162270568123015,8.68940973888512,8.5769916937633,1728
CXCL16,0.000448119259002671,1.10272959538396,0.0019330634702076,8.50254268551718,4.85751446198404,1512
CD69,0.0014317395100225,1.28675958269105,0.00516365069188442,8.42681496615318,5.58062078450158,404
TRAC,0.00064143646673527,1.14616877438468,0.00266256646569357,8.42640407395235,5.74883691289249,912
IGF1,0.000733404329636267,1.12086820067812,0.00294061135740947,8.09021751717894,5.56634715356401,1140
ERBB2,0.000607656286768833,1.09227317368123,0.00257085352094506,8.08926715708306,9.33113267800304,1728
RTKN2,0.000735152839352369,1.11306876894745,0.00294061135740947,8.03127216467615,4.88458724216341,1253
ADGRE5,0.00120960929620817,1.19002441390901,0.00443523408609661,7.99393886138654,5.31203562926328,632
CD8A,0.00120090667392257,1.16856924499403,0.00443523408609661,7.85825241432846,5.7719861622405,723
ABCC11,0.000752067748113098,1.09073797096972,0.00295455186758717,7.84533371286633,7.00336273834335,1730
ANGPT2,0.00437267548943223,1.37377107550004,0.0141468912893396,7.4628468133328,5.29405919754626,273
ITM2C,0.00116388582346848,1.0873955955005,0.00441473933039767,7.34643488305142,5.32720366221808,1728
SELL,0.00616521063121217,1.42092192104113,0.0191034695615025,7.23083432996646,5.29237814025225,232
TOP2A,0.00147615454066995,1.08580637430038,0.00523796772495787,7.07762782026986,6.34390118117828,1728
CD14,0.000398947980449593,0.865292217568802,0.00175537111397821,6.77236488185716,5.38151102770306,946
TFAP2A,0.00197441300418704,1.08317666326604,0.00689477557017697,6.74546548900617,5.71119408346661,1728
LPL,0.00443714416688384,1.23346980658118,0.0141474161842673,6.68262403250237,5.51825315987752,436
TENT5C,0.00303536728675994,1.07943634364262,0.0104340750482373,6.25794891807453,6.3877588425415,1727
CLDN4,0.00323667640220166,1.07864308782164,0.0109549047459133,6.18408547952646,5.15455104277185,1728
SLC25A37,0.00380313937448737,1.10097701381159,0.0126771312482912,6.13456509336445,4.80047508087331,1166
HPX,0.00854572862317356,1.27574193555443,0.0250674706279758,6.07549605107544,4.72898052442772,334
KLF5,0.00386369300929555,1.07713366120692,0.0126867531648511,5.98469660374642,5.72449013092038,1726
AVPR1A,0.0106187742721565,1.22442863421146,0.0303393550633042,5.56518938353544,5.48077247542128,402
EGFL7,0.0126001647089737,1.2694157373604,0.0355389261022335,5.55248205776407,4.98277860104695,329
S100A4,0.00713970510972642,1.10078230529585,0.0216912583491003,5.44015840343946,5.46151019027822,1067
SNAI1,0.0146056847911538,1.27930602690797,0.040165633175673,5.4067879353673,5.09600121200945,306
GATA3,0.0071975539067469,1.07163653438088,0.0216912583491003,5.28746971268903,8.18421324609131,1728
CEACAM6,0.00848559185371852,1.09430590225546,0.0250674706279758,5.21916684480711,5.04664936470469,1121
HOXD8,0.00968766654134813,1.06908161565135,0.0280432452512709,4.95722635366031,5.09446267221095,1728
LARS,0.00532248539433563,0.93015458909373,0.0167278112393405,4.8701172618441,6.28305345896461,1728
PIM1,0.0137725744497434,1.10771643754683,0.0383540047967539,4.74664914676049,5.10818032218568,884
PTN,0.0177511650262885,1.14078051711188,0.0482130408121416,4.59883320997765,5.18602344945043,609
SOX17,0.0283914526842843,1.27395671467697,0.0694013287838061,4.53740976963727,5.09424553741003,280
GJB2,0.0187166659367324,1.12692491403855,0.0496104398323027,4.48329150544564,5.45097994629644,679
KLRB1,0.0220350949696233,1.17218056705258,0.0563734056476759,4.47200820129242,5.68572527332005,473
MAP3K8,0.0219916692586896,1.07792925791948,0.0563734056476759,4.11455468065495,4.9692978680996,1189
PPARG,0.0220827697764063,1.06567520937708,0.0563734056476759,4.0633744128832,5.09687704375723,1534
DNTTIP1,0.0222931195061264,1.06278534344421,0.0563734056476759,4.04227981213592,4.8700731626958,1628
SLAMF7,0.0350004219366493,1.19630104206474,0.0810536086953985,4.01047382599161,5.50354254277359,376
STC1,0.025100967154081,1.08506504527546,0.0620473345381777,3.99830074019535,4.82042604788627,1038
HOXD9,0.0464663770282797,1.23903327855134,0.100221597511976,3.8026257216634,5.48122507005591,289
HOOK2,0.0290660516191211,1.06558960957428,0.0702695753429302,3.77025253004312,4.82449598851698,1424
ITGAM,0.0441372458090815,1.20479027236202,0.0980827684646255,3.75948934368449,4.94987874506102,338
TRAF4,0.0305076098990879,1.05754528535833,0.0724450373073011,3.69059945699194,5.98238725704033,1728
RUNX1,0.0306244930435409,1.05761741510772,0.0724450373073011,3.68680688966187,6.5612858579914,1729
USP53,0.0316877072909303,1.05688106423489,0.0741627191915391,3.64817001829375,5.98935325493166,1728
ADAM9,0.0236651402519069,0.942590043062869,0.0591628506297673,3.52882353712843,6.52937295258663,1722
AIF1,0.0399863070930432,1.0645846641175,0.091635287088224,3.42713033271291,5.43745585881224,1320
C6orf132,0.0415585618708314,1.06828205082835,0.0942565320781744,3.3978331392452,4.78478129834264,1216
RORC,0.0182595927226123,0.842603757397263,0.0489891512070086,3.37299736441207,4.68019449767975,504
CCND1,0.0424592106360783,1.05337895136135,0.0953165953054818,3.327846806035,8.35670747899468,1728
HDC,0.0447407520677832,1.05315717654175,0.098429654549123,3.27202297769005,5.37945449650742,1729
MYO5B,0.0459769361591455,1.05259488834026,0.100147781732792,3.24158742396212,6.46270612395608,1726
GLIPR1,0.0522232859516161,1.07144941777211,0.11047233566688,3.16316167799333,5.34166821770014,1059
TIFA,0.0573547665794872,1.0847213498143,0.12017189188083,3.10067524626508,4.84549095451914,858
PTGDS,0.067938623813076,1.10626848296439,0.13968689008296,2.97492252415939,5.60740408598807,629
TRAPPC3,0.0494483387470718,0.950114446332622,0.105617810916076,2.85682959557497,5.62011123535575,1730
PDK4,0.0588792963788663,0.951808127030123,0.122202313239156,2.69577356325171,5.74694066783628,1727
OCIAD2,0.0798035725927863,1.04642280233417,0.16107143092122,2.64555253184775,5.06968830201717,1728
LRRC15,0.0999989780925368,1.12179447759651,0.194688275932373,2.58303870527683,5.11118512161507,480
HMGA1,0.0859051790603398,1.04548950086815,0.17181035812068,2.5661656476178,6.08606321880064,1733
DSC2,0.0724276952713894,0.950946177389688,0.147537897775053,2.49639206850263,4.94077359236544,1548
SH3YL1,0.0920038625082107,1.04454265342928,0.180721872783985,2.49220013689758,6.13689328172722,1727
APOBEC3B,0.12165642549695,1.12872137116399,0.228755671874606,2.37771296132761,4.88947101841337,410
ACTA2,0.102837892267417,1.04307786846045,0.198459090340629,2.37258637162181,7.01507393159599,1732
CCL8,0.153928461862042,1.26485635708987,0.268763981028963,2.36688436281089,5.22129478980364,180
SDC4,0.105590761354329,1.04321584605696,0.201999717373498,2.34534158959453,4.89236712652464,1699
TCIM,0.0896688504173901,0.956697649673118,0.177722045872305,2.30720250770162,7.6874473495993,1727
DSP,0.116944454312848,1.04159105885309,0.221791206455401,2.23531295635787,6.38855892453047,1726
FAM107B,0.122958758292912,1.04077863398308,0.229245142580006,2.18137447325068,5.76866643535569,1730
CD8B,0.148853784756517,1.14518481577025,0.26198266117147,2.18133746152168,5.30945535730374,335
THAP2,0.129408377600296,1.05969720100821,0.23924237875685,2.16684992857486,4.81273116632478,974
NPM3,0.137653603849727,1.08154503131863,0.24822781022082,2.14471987587396,4.82229409441644,647
EGFR,0.135703325806307,1.05647094214611,0.24822781022082,2.11007272464953,5.15683834761802,1029
FLNB,0.13672085117204,1.03929217219408,0.24822781022082,2.06799812942894,6.3463639892731,1728
TYROBP,0.185888626810505,1.19188337148421,0.309814378017509,2.0054719776934,5.00050180803983,242
MLPH,0.147455806760681,1.0382877193308,0.261615141027015,1.98751814032557,7.61253260217643,1729
CDC42EP1,0.16561302965073,1.0915900673187,0.284647394712192,1.96278958314601,4.734112553231,538
RAPGEF3,0.171908615510721,1.0678862111952,0.293177483816733,1.88032576298621,4.82992808207088,740
EDNRB,0.175410271284415,1.07764280065446,0.296848151404394,1.87577484654124,5.42554431681457,618
ANKRD28,0.146459580276271,0.960753853458679,0.261615141027015,1.84561371635821,4.88756526914548,1566
MZB1,0.184156501320949,1.07169660215976,0.309270460233655,1.8132777843084,4.94174184210831,661
PELI1,0.158447932948242,0.963091127777153,0.274476734241049,1.77433094392976,5.01607140236307,1683
KRT8,0.189441565238181,1.03438091006168,0.313361987612029,1.72087331389733,7.72001496982899,1731
S100A14,0.193048952041347,1.03404638296509,0.314598292215528,1.70081136643195,6.45356781053657,1731
PCOLCE,0.216031067064242,1.09396797709219,0.344397353290821,1.67632328982726,5.12931187030039,444
SERPINB9,0.205927215451955,1.03418186678021,0.331449206602863,1.63424779232352,5.04197580972976,1641
ELF3,0.192093077073829,0.966677415086854,0.314598292215528,1.5948004722054,6.08817772315988,1729
DPT,0.228812629076729,1.0699892249442,0.359751718551261,1.57807556005445,5.33543410511931,613
RAB30,0.234755483181155,1.06212076548273,0.366285151062796,1.53923688809982,4.92848729235605,693
DST,0.206402460475419,0.967660112622559,0.331449206602863,1.52689733257241,6.72527169315829,1734
SVIL,0.245337823304964,1.03063236457108,0.377442805084561,1.44816126956833,5.65282539336258,1728
JUP,0.228932911805348,0.969173185309999,0.359751718551261,1.42887749687519,5.32541697830928,1727
