genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
SCD,5.55430174006775e-279,5.58000321060318,4.07315460938302e-277,3575.14526577551,8.66947815455156,609
POSTN,5.55430174006775e-279,5.2625052998298,4.07315460938302e-277,3371.72223719407,7.71073965294852,609
LUM,5.55430174006775e-279,4.64283148237646,4.07315460938302e-277,2974.69309022448,7.7419571485703,609
CLEC14A,2.99627156543227e-144,7.39078096828274,8.23974680493875e-143,2442.46748823958,6.36061168105952,190
RAMP2,1.65313175614429e-135,6.61448079047216,3.63688986351744e-134,2052.77974578249,5.98722176671768,201
ERBB2,1.11900839407535e-199,3.64505967865004,6.15454616741441e-198,1669.80909455464,9.39591065438619,605
ZEB2,8.72487658387056e-197,3.57962630990816,3.83894569690305e-195,1615.9975444812,5.79097625687862,609
PECAM1,1.77919332661737e-166,3.91983024658552,6.5237088642637e-165,1496.01483732785,5.91644663803805,433
CAV1,2.75068236726475e-148,3.99334574458952,8.6450017256892e-147,1356.82205767811,5.93254268505536,378
CD93,1.62195291732804e-124,4.53090200221054,3.24390583465608e-123,1291.47435426647,6.0655734169537,280
LDHB,4.41205838104006e-143,3.14294647947689,1.07850315980979e-141,1030.2117394073,5.44720664127089,537
PTPRC,2.41922406013753e-112,3.88658694604675,3.3264330826891e-111,998.876489430114,5.89169734837304,326
HOXD9,1.56528293388846e-61,7.12554006903317,9.83892129872747e-61,997.644186407784,5.73360585711048,108
PDGFRB,7.55708402740871e-116,3.13793734832712,1.10837232401994e-114,831.796227787655,5.86773474782803,436
CCDC80,9.2110052209461e-123,2.93160586954228,1.68868429050679e-121,823.774118061896,5.70771849797022,523
NOSTRIN,2.68000636151022e-72,4.98619278965502,2.10571928404374e-71,821.72610512582,5.63896559812854,166
FBLN1,4.27244032685785e-91,3.81271544732287,4.94703616794067e-90,793.361490681223,5.36024480994336,271
MMP2,1.13374336090161e-121,2.79895507392875,1.91864261075657e-120,779.473361269645,5.6276876041736,571
CXCL12,5.4659837065297e-118,2.67630716248213,8.58940296740382e-117,722.620321480984,5.86990707941648,609
CD68,1.56370883673132e-109,2.82527783826777,2.02362320047582e-108,707.830177094604,5.61981110365767,498
KDR,3.12579976423563e-72,4.24474230436122,2.37129637286841e-71,698.88169436119,5.78115188077262,196
GPR183,5.95729021075129e-73,3.83283449735231,4.85408831987142e-72,637.416076481519,5.51654900666053,233
AIF1,5.63251132920173e-89,2.73428570898846,6.1957624621219e-88,555.611006361488,5.41236854411002,437
CD4,7.92614732586357e-85,2.80201076301885,7.58153222473906e-84,542.608167687815,5.5534352842747,403
LYZ,1.75869640612979e-84,2.8056267300198,1.61213837228564e-83,541.07233924752,5.68489171527857,398
CAVIN2,2.91383599721565e-40,5.84389864535558,1.0684065323124e-39,531.993079461444,5.39934015418407,94
FASN,1.74733292840777e-95,2.42365918399504,2.13562913472061e-94,528.812121848074,7.97506937266245,609
PTGDS,8.40767979419718e-52,4.48871375482567,3.93550969090081e-51,527.896434772571,5.30857158794414,152
MMRN2,4.88406778419754e-53,4.25502453791266,2.38776647227435e-52,512.522094622601,5.39043952737802,156
APOC1,3.20429359579972e-79,2.76402364128307,2.81977836430376e-78,499.568888539045,5.46750152791447,381
ANKRD30A,1.09722671814102e-87,2.3374895394516,1.14947560948107e-86,468.040479556312,8.27811161988858,609
TCF4,7.26407527100552e-66,3.04125548873574,4.70028399888593e-65,456.150840244489,5.50591914489276,288
