Gene,C,Z,Pval,FDR
CCL5,0.055030175195184786,47.425964,0.0,0.0
CD3E,0.04297474613953722,30.002289,4.580742779493875e-198,5.015913343545793e-196
CLEC14A,0.07257014262397199,27.093369,5.893739488447413e-162,4.3024298265666115e-160
PTPRC,0.036551359978646385,22.599081,2.212420766980676e-113,1.2113003699219202e-111
CD93,0.06405423002840434,22.3912,2.3975689019310397e-111,1.0501351790457954e-109
CXCR4,0.0457581690735028,20.225483,2.920782882276802e-91,1.0660857520310328e-89
VWF,0.055790272583756954,19.658104,2.4640178655521895e-86,7.708855893656136e-85
IL2RG,0.02855244921445494,19.481348,7.903126487666995e-85,2.1634808759988402e-83
KDR,0.05450111811228664,19.232473,9.897898842764004e-83,2.4084887184059076e-81
RAMP2,0.055223611878761215,18.385592,8.568022551866404e-76,1.8763969388587427e-74
CAV1,0.05604197377172751,16.717432,4.89227239568153e-63,9.740069587765955e-62
IL7R,0.025770832243815534,16.449512,4.2273009598359195e-61,7.714824251700554e-60
CD8A,0.024430660873286377,15.828532,9.889061437114872e-57,1.665926503637044e-55
BTNL9,0.03369150650368326,15.372307,1.2553410834199612e-53,1.9637121233497964e-52
GZMA,0.021551056441788802,15.066171,1.3516710904289354e-51,1.9734397920262457e-50
AQP1,0.04985617523155672,14.811786,6.146530871382136e-50,8.413064130204299e-49
TOP2A,0.06645161116660071,14.511141,5.1496636749551596e-48,6.633978498912824e-47
PECAM1,0.050567533606831576,14.313966,8.95036409508633e-47,1.0889609649021703e-45
MMRN2,0.0368763512314884,12.592661,1.1586396665814356e-36,1.3354846683228127e-35
EPCAM,0.05280362636146001,12.562292,1.701643386033166e-36,1.863299507706317e-35
CD247,0.024076004896765868,12.094757,5.628737484936146e-34,5.86996909143341e-33
LUM,0.039429585216614965,12.081315,6.62910839546672e-34,6.472196986194584e-33
S100A4,0.023990662918601562,12.079255,6.797284506049106e-34,6.472196986194584e-33
TRAC,0.020907029000470638,11.876608,7.829692387488798e-33,7.144594303583528e-32
HOXD9,0.03709555471015611,11.493005,7.1524051610487e-31,6.265506921078661e-30
LDHB,0.0325733284059755,11.180404,2.5429050399352557e-29,2.1419084759454653e-28
CD3G,0.020307714805426053,10.433034,8.760150273678454e-26,7.105455221983636e-25
