Gene,C,Z,Pval,FDR
CCDC80,0.34033405598265354,93.791084,0.0,0.0
PTPRC,0.15340194137161195,71.18969,0.0,0.0
CXCR4,0.17431870943191327,69.04015,0.0,0.0
SCD,0.35702622940696777,68.7498,0.0,0.0
CXCL12,0.22991128050444465,68.70276,0.0,0.0
MMP2,0.2785440458898466,67.04838,0.0,0.0
ERBB2,0.3092366799801121,66.125725,0.0,0.0
SFRP4,0.16527602210273648,52.775574,0.0,0.0
PECAM1,0.17853615779681895,49.391148,0.0,0.0
CAV1,0.18789199117014468,48.85139,0.0,0.0
CCL5,0.074007618010456,46.974617,0.0,0.0
IL7R,0.07770234982851808,46.73823,0.0,0.0
NOSTRIN,0.15426968362698357,46.44139,0.0,0.0
CD3E,0.07762779820102898,45.905746,0.0,0.0
AQP1,0.1569901495672094,44.932915,0.0,0.0
TRAC,0.09123956610009529,44.758385,0.0,0.0
CLEC14A,0.13513611656111732,44.448063,0.0,0.0
PRDM1,0.11851456394099195,43.725227,0.0,0.0
KRT7,0.2201195778225639,43.582985,0.0,0.0
VWF,0.15554241746026834,43.403355,0.0,0.0
EPCAM,0.21192955204327646,43.237732,0.0,0.0
GZMA,0.07620433706426394,42.90747,0.0,0.0
ZEB2,0.16903389320579185,41.877136,0.0,0.0
RAMP2,0.13796345854096592,41.45115,0.0,0.0
GPR183,0.11316943626969025,41.12589,0.0,0.0
CYTIP,0.10419400940043275,40.322243,0.0,0.0
FASN,0.20975545454007327,40.122486,0.0,0.0
LUM,0.15928004404530802,39.832664,0.0,0.0
POSTN,0.17307928546223628,39.389324,0.0,0.0
FOXA1,0.18969016929015609,38.183506,0.0,0.0
S100A4,0.09829075801312163,37.45285,2.699026626300485e-307,1.915438250922925e-306
PTGDS,0.14040618178056408,37.375767,4.837473480549094e-306,3.3257630178775025e-305
GATA3,0.174988141396883,34.4716,1.0688906307109539e-260,7.125937538073027e-260
ITM2C,0.0980076630608259,33.90789,2.5484270243839625e-252,1.6489821922484463e-251
LDHB,0.13071258288589474,33.51063,1.6871306554941506e-246,1.060482126310609e-245
GLIPR1,0.1290176573048421,33.17093,1.4137197763951716e-241,8.639398633526048e-241
ANKRD30A,0.16731397251937905,33.044544,9.316269162668672e-240,5.539403285911102e-239
SLAMF7,0.08595433332866978,32.633923,6.774955074009415e-234,3.922342411268609e-233
CD3G,0.06609582193115364,32.06934,5.901142611064786e-226,3.328849678036546e-225
IL2RG,0.08114884088886404,31.725832,3.421356592138222e-221,1.881746125676022e-220
KLRB1,0.06608163893438025,31.432568,3.632857989128138e-217,1.949338433190708e-216
CD93,0.10450524874756528,30.72465,1.3337741991454033e-207,6.986436281237827e-207
CD83,0.10985541928930287,30.583683,1.0086767145108373e-205,5.160671562613586e-205
CD8A,0.05467922832880047,30.265375,1.6373940510676187e-201,8.186970255338093e-201
CD69,0.0715245637257156,30.221773,6.13018270006219e-201,2.9969782089192926e-200
MMRN2,0.10664377165716613,29.776535,3.932557285662592e-195,1.8807882670560226e-194
FBLN1,0.1310667621446686,29.658035,1.3358788210535623e-193,6.25304980067625e-193
ACTA2,0.11321122303479757,28.311012,1.2647005634483442e-176,5.796544249138244e-176
PDGFRB,0.10330745494539455,27.720526,1.9752563666389896e-169,8.868497972664852e-169
SELL,0.07380942632243438,27.532907,3.545140965238228e-167,1.5598620247048203e-166
