genes,observed,p.value
LUM,0.109433996230596,0.000975609756097561
VWF,0.0828970551773413,0.000975609756097561
POSTN,0.0774663783594638,0.000975609756097561
MMP2,0.0742772491432003,0.000975609756097561
RAMP2,0.072242695599182,0.000975609756097561
CLEC14A,0.0702392784388106,0.000975609756097561
PECAM1,0.0649630639098931,0.000975609756097561
CD93,0.0645057625217427,0.000975609756097561
TOP2A,0.0638874823911916,0.000975609756097561
CCDC80,0.060408251985212,0.000975609756097561
CAV1,0.0602963491818484,0.000975609756097561
MMRN2,0.0595389429906366,0.000975609756097561
KDR,0.0589377547747737,0.000975609756097561
PDGFRA,0.0518706767577545,0.000975609756097561
FCER1G,0.0516775102823784,0.000975609756097561
AQP1,0.046443381810545,0.000975609756097561
CD68,0.0453519362537234,0.000975609756097561
CENPF,0.045246622836031,0.000975609756097561
NOSTRIN,0.0446352647027013,0.000975609756097561
FBLN1,0.0442785702286536,0.000975609756097561
CAVIN2,0.0425797319730023,0.000975609756097561
LYZ,0.0385314634384183,0.000975609756097561
EPCAM,0.0370656738186007,0.000975609756097561
FOXA1,0.0367979315805645,0.000975609756097561
IL3RA,0.0350078168581928,0.000975609756097561
MKI67,0.0349621354792319,0.000975609756097561
HOXD9,0.0343053266958544,0.000975609756097561
CXCL12,0.0341335072431356,0.000975609756097561
RUNX1,0.0341171249848462,0.000975609756097561
CD14,0.0338928141334912,0.000975609756097561
AIF1,0.0331505793062065,0.000975609756097561
ANKRD30A,0.0331454520233805,0.000975609756097561
CD4,0.033043168158976,0.000975609756097561
ZEB2,0.0329583141257557,0.000975609756097561
IGF1,0.0313593214106671,0.000975609756097561
EGFL7,0.0313449450481942,0.000975609756097561
TCF4,0.0310117226710599,0.000975609756097561
BASP1,0.0309640347772121,0.000975609756097561
PDGFRB,0.0306375700231887,0.000975609756097561
MLPH,0.0298630862274485,0.000975609756097561
APOC1,0.0296500211612023,0.000975609756097561
KRT7,0.0275637462072551,0.000975609756097561
CD163,0.0274606051452569,0.000975609756097561
EGFR,0.0272595787271574,0.000975609756097561
FGL2,0.0271600974803569,0.000975609756097561
FCGR3A,0.0267471260993523,0.000975609756097561
ITGAX,0.0264744614903692,0.000975609756097561
DPT,0.026252515253401,0.000975609756097561
FLNB,0.0257244226375552,0.000975609756097561
PCLAF,0.025501814732678,0.000975609756097561
CD83,0.0245519117731701,0.000975609756097561
PPARG,0.0245093048219736,0.000975609756097561
BTNL9,0.0240085628140829,0.000975609756097561
HOXD8,0.0238981731621076,0.000975609756097561
RTKN2,0.0235102316786861,0.000975609756097561
PTGDS,0.0232033168225228,0.000975609756097561
FASN,0.0228203948130935,0.000975609756097561
C1QC,0.0226286336711161,0.000975609756097561
STC1,0.0224717447848588,0.000975609756097561
GATA3,0.0220948181414246,0.000975609756097561
CRISPLD2,0.0220755034240297,0.000975609756097561
GJB2,0.021920559349543,0.000975609756097561
IGSF6,0.0212524289961156,0.000975609756097561
SCD,0.0211989141183986,0.000975609756097561
MRC1,0.0210386602917881,0.000975609756097561
GLIPR1,0.0208934708616137,0.000975609756097561
PDK4,0.0201916513830712,0.000975609756097561
SOX17,0.0199541610977496,0.000975609756097561
CD9,0.0197566961413179,0.000975609756097561
TUBA4A,0.0192423420389705,0.000975609756097561
CDH1,0.0189437788036365,0.000975609756097561
TCIM,0.0186550468601727,0.000975609756097561
LYPD3,0.0181930059329361,0.000975609756097561
HAVCR2,0.0176183632987615,0.000975609756097561
CD3D,0.0174572889539697,0.000975609756097561
CTLA4,0.0174332155847176,0.000975609756097561
ESM1,0.0172892719110642,0.000975609756097561
ZEB1,0.0165757676892079,0.000975609756097561
KRT8,0.0165220807211587,0.000975609756097561
CD86,0.0161946845153385,0.000975609756097561
LPXN,0.0160170259020238,0.000975609756097561
CXCL16,0.0158328766160496,0.000975609756097561
DSP,0.0153042704603766,0.000975609756097561
ABCC11,0.0151115490169205,0.000975609756097561
C1QA,0.0147325828673275,0.000975609756097561
LRRC15,0.0147297606278799,0.000975609756097561
CCND1,0.0144152540260696,0.000975609756097561
JUP,0.014240863025284,0.000975609756097561
TRAF4,0.0142102296468498,0.000975609756097561
SERHL2,0.0140661448333454,0.000975609756097561
CDC42EP1,0.0139738675473491,0.000975609756097561
ERBB2,0.0137532497606552,0.000975609756097561
PTPRC,0.013403616990001,0.000975609756097561
SFRP4,0.0131866993040843,0.000975609756097561
IL7R,0.0130671626223165,0.000975609756097561
TACSTD2,0.0129414112470635,0.000975609756097561
CTTN,0.0126172145819715,0.000975609756097561
FAM49A,0.0124515057122491,0.000975609756097561
ACTA2,0.0120515207687667,0.000975609756097561
CYTIP,0.0118942386287994,0.000975609756097561
TPD52,0.0115012752151392,0.000975609756097561
ZNF562,0.010864969291829,0.000975609756097561
ELF3,0.0106602628857722,0.000975609756097561
LDHB,0.0104654227924689,0.000975609756097561
S100A4,0.010351091720586,0.000975609756097561
DST,0.0103401662356646,0.000975609756097561
RAPGEF3,0.00992266969808317,0.000975609756097561
ITM2C,0.00970956980131476,0.000975609756097561
QARS,0.00966529948364287,0.000975609756097561
OCIAD2,0.00963431191736794,0.000975609756097561
TMEM147,0.00955150136302473,0.000975609756097561
SLC5A6,0.0084904655970799,0.000975609756097561
PELI1,0.0084727057709024,0.000975609756097561
GPR183,0.0132912483550894,0.00195121951219512
MEDAG,0.0110734843737935,0.00195121951219512
AR,0.0105444872083673,0.00195121951219512
ITGAM,0.0104446017340194,0.00195121951219512
MYLK,0.0103800573900534,0.00195121951219512
TRAC,0.00975458304928079,0.00195121951219512
SNAI1,0.00913574234437176,0.00195121951219512
SMAP2,0.00860566436332374,0.00195121951219512
BACE2,0.00811540674296493,0.00292682926829268
CCDC6,0.00769060918029078,0.00292682926829268
CEACAM6,0.00744038700309764,0.00292682926829268
MYO5B,0.00890558725273188,0.00390243902439024
C6orf132,0.00760614335003972,0.00390243902439024
HOOK2,-0.00722988803816213,0.00390243902439024
KLF5,0.00822824221559681,0.00585365853658537
PTN,0.00807839845099545,0.00585365853658537
CD8B,0.0089640112097389,0.00682926829268293
ADGRE5,0.00715671384977872,0.00682926829268293
CD69,0.00782990304096811,0.00878048780487805
DAPK3,0.00754655488307911,0.00878048780487805
CXCR4,0.00736662524842538,0.0107317073170732
IL2RG,0.00727670223383389,0.0117073170731707
ADAM9,0.00650533531184879,0.0136585365853659
HMGA1,0.00650492435844973,0.0136585365853659
PRDM1,0.00612142832971509,0.0185365853658537
RAB30,-0.00560960742544086,0.0214634146341463
ANGPT2,0.00595943533864362,0.0224390243902439
MMP1,0.00610589295030844,0.0234146341463415
S100A14,0.00569167398971003,0.024390243902439
DUSP5,0.00539457933574064,0.0263414634146342
CD8A,0.00545955559859883,0.0419512195121951
NARS,0.00553340580814254,0.0448780487804878
TOMM7,0.00534716637562492,0.0478048780487805
USP53,0.00502524830710819,0.0517073170731707
SERPINA3,0.00456771864677792,0.055609756097561
CCL8,-0.004859681491291,0.0604878048780488
RORC,0.00468355000183393,0.0741463414634146
SELL,0.0043578569817132,0.0741463414634146
APOBEC3B,-0.00427294713807083,0.0790243902439024
DSC2,0.00454530055052372,0.08
CCPG1,0.00431521977166058,0.0975609756097561
TFAP2A,0.00407353284548727,0.100487804878049
TIFA,0.00376246094436095,0.108292682926829
CD3E,0.00433736658457039,0.117073170731707
KLRB1,0.00428999254578848,0.124878048780488
MNDA,0.00382308503234196,0.125853658536585
SH3YL1,-0.00398658214072611,0.127804878048781
SDC4,0.00352729479799222,0.149268292682927
SRPK1,0.00376336729465259,0.154146341463415
DUSP2,-0.0033200227360416,0.154146341463415
MAP3K8,0.003708253469351,0.158048780487805
ACTG2,0.00344568372899951,0.158048780487805
OXTR,0.00353694670134314,0.168780487804878
CD247,0.00306089983890187,0.193170731707317
LGALSL,-0.00328892652145963,0.206829268292683
PDE4A,0.00312898865289161,0.214634146341463
DNTTIP1,-0.00316828379051624,0.215609756097561
MDM2,0.00285397131099665,0.235121951219512
LPL,0.0027559519854248,0.239024390243902
CCL5,0.00310153399223223,0.249756097560976
RHOH,0.00320439592133943,0.253658536585366
PIM1,0.00295594996150656,0.266341463414634
SLC25A37,0.00278033099821789,0.278048780487805
SMS,0.0028050401596006,0.288780487804878
KRT15,-0.0023647172207724,0.294634146341463
SLAMF7,0.00262727683220254,0.299512195121951
TRAPPC3,0.00250551677302056,0.325853658536585
SQLE,0.00239950754396114,0.336585365853659
TENT5C,0.00252070250449727,0.345365853658537
THAP2,0.00201194879153963,0.368780487804878
TYROBP,0.00229139807851676,0.369756097560976
GZMA,0.00223988920107766,0.373658536585366
ANKRD28,0.00235213847995785,0.394146341463415
LAG3,0.002134294384337,0.434146341463415
ANKRD29,0.00217511009110312,0.438048780487805
CD3G,0.00191654528069626,0.446829268292683
TRIB1,0.00201159937537458,0.454634146341464
PTRHD1,0.00186484888789262,0.457560975609756
FBLIM1,0.00170538213912537,0.47609756097561
SEC24A,0.00157788175890236,0.493658536585366
POLR2J3,0.00168439136129408,0.500487804878049
SEC11C,0.001677259427674,0.520975609756098
C2orf42,-0.00140603484692901,0.539512195121951
WARS,-0.00152902970331252,0.569756097560976
NPM3,-0.00130111696193465,0.626341463414634
SVIL,-0.00124959839006191,0.645853658536585
EDNRB,0.00122980081719505,0.652682926829268
AVPR1A,0.00109707140927435,0.657560975609756
HPX,-0.00104985541264244,0.684878048780488
VOPP1,-0.00105255371063311,0.686829268292683
FAM107B,0.000895737396669632,0.725853658536585
MZB1,0.000729496715801509,0.732682926829268
ENAH,0.000731941364896256,0.774634146341463
TUBB2B,-0.000719492666335527,0.776585365853659
DMKN,-0.000695013200355115,0.776585365853659
PCOLCE,-0.000734400896445717,0.786341463414634
EIF4EBP1,0.000538871713925261,0.837073170731707
SERPINB9,-0.0005121760490526,0.848780487804878
AKR1C1,0.00039472625254171,0.861463414634146
CLDN4,-0.000302711000241365,0.895609756097561
SLAMF1,-0.000361132847604528,0.902439024390244
KARS,-0.000250148847284535,0.924878048780488
FSTL3,0.000106044417155303,0.960975609756098
ERN1,0.000100715187865975,0.96780487804878
LARS,-0.000104439979927911,0.969756097560976
HDC,5.41313836143708e-05,0.979512195121951
ESR1,-3.59202245327097e-05,0.991219512195122
