genes,observed,p.value
SCD,0.272839558078607,0.000975609756097561
ERBB2,0.257073216959903,0.000975609756097561
CCDC80,0.227054213683848,0.000975609756097561
MMP2,0.21442355300345,0.000975609756097561
CXCL12,0.19076001092677,0.000975609756097561
KRT7,0.18506594502423,0.000975609756097561
POSTN,0.174668107113227,0.000975609756097561
EPCAM,0.171283396168648,0.000975609756097561
LUM,0.160401124744463,0.000975609756097561
CAV1,0.160034061339179,0.000975609756097561
FASN,0.159535571557432,0.000975609756097561
FOXA1,0.158383184464472,0.000975609756097561
PECAM1,0.151858855475398,0.000975609756097561
SFRP4,0.149274978629373,0.000975609756097561
GATA3,0.141473442184113,0.000975609756097561
PTPRC,0.141264031572981,0.000975609756097561
CXCR4,0.138446009474795,0.000975609756097561
VWF,0.135865751895472,0.000975609756097561
CLEC14A,0.134410114797682,0.000975609756097561
RAMP2,0.134271917874753,0.000975609756097561
ANKRD30A,0.131406549538736,0.000975609756097561
AQP1,0.131261541364799,0.000975609756097561
ZEB2,0.12630225274181,0.000975609756097561
CD93,0.124025031146521,0.000975609756097561
PTGDS,0.121925565365867,0.000975609756097561
GPR183,0.119501702344951,0.000975609756097561
FBLN1,0.115311517019229,0.000975609756097561
NOSTRIN,0.112281874286881,0.000975609756097561
LDHB,0.110946671539618,0.000975609756097561
PDGFRB,0.104967538207881,0.000975609756097561
ACTA2,0.104949799996301,0.000975609756097561
MLPH,0.103558271407096,0.000975609756097561
CD9,0.102414417521753,0.000975609756097561
KRT8,0.102149116898327,0.000975609756097561
GLIPR1,0.10041156367598,0.000975609756097561
CD83,0.0972627562353943,0.000975609756097561
IL7R,0.0967439314772739,0.000975609756097561
PRDM1,0.0963436788118109,0.000975609756097561
TACSTD2,0.0942643950604929,0.000975609756097561
KDR,0.0936119757668238,0.000975609756097561
CD3E,0.0928060430552396,0.000975609756097561
ABCC11,0.0913930900367412,0.000975609756097561
TRAC,0.0907712378837516,0.000975609756097561
TCIM,0.0900997996152418,0.000975609756097561
TCF4,0.0880655164667959,0.000975609756097561
S100A4,0.0877494504920886,0.000975609756097561
PDK4,0.0863009521735908,0.000975609756097561
ITM2C,0.0860099703210301,0.000975609756097561
LPXN,0.08529485404709,0.000975609756097561
CCND1,0.0851498970626285,0.000975609756097561
CD68,0.0850381068428431,0.000975609756097561
CCL5,0.0847245589077537,0.000975609756097561
LYZ,0.0836855707106688,0.000975609756097561
MMRN2,0.0835230501464513,0.000975609756097561
PDGFRA,0.0825530264598479,0.000975609756097561
CDH1,0.0824545993129561,0.000975609756097561
PPARG,0.0788556630311873,0.000975609756097561
CYTIP,0.0785552629437317,0.000975609756097561
ZEB1,0.0782238242988845,0.000975609756097561
SERHL2,0.0771768163353233,0.000975609756097561
CD163,0.077112151048769,0.000975609756097561
FCER1G,0.0770119586425094,0.000975609756097561
SLAMF7,0.0766424833016995,0.000975609756097561
CTTN,0.0766200908869875,0.000975609756097561
MYLK,0.0755136943416108,0.000975609756097561
CD4,0.0746390311161219,0.000975609756097561
HOXD9,0.0719592931772317,0.000975609756097561
KLRB1,0.0710196258840491,0.000975609756097561
MMP1,0.0707208889161976,0.000975609756097561
C1QC,0.0686913073743317,0.000975609756097561
CD69,0.0676728220603029,0.000975609756097561
GZMA,0.0676531239595691,0.000975609756097561
IL2RG,0.0673504356686198,0.000975609756097561
BTNL9,0.0672471374329015,0.000975609756097561
CD8A,0.0669138884239488,0.000975609756097561
AIF1,0.06541862400425,0.000975609756097561
IGF1,0.0651596445138958,0.000975609756097561
MYO5B,0.0646218547754785,0.000975609756097561
ESM1,0.0642864030175031,0.000975609756097561
MDM2,0.0638632099198674,0.000975609756097561
MEDAG,0.0626633203985884,0.000975609756097561
FGL2,0.0615625246947503,0.000975609756097561
IL3RA,0.0607328926490455,0.000975609756097561
CRISPLD2,0.0606673364036341,0.000975609756097561
EDNRB,0.0603405558915717,0.000975609756097561
TENT5C,0.059558607076223,0.000975609756097561
S100A14,0.0583559012869767,0.000975609756097561
SELL,0.0582426981525354,0.000975609756097561
CAVIN2,0.05821019339882,0.000975609756097561
CD14,0.0574232112196757,0.000975609756097561
CD3G,0.0570700984287106,0.000975609756097561
MZB1,0.0568706082220386,0.000975609756097561
AVPR1A,0.0567378714178778,0.000975609756097561
BASP1,0.0564572021886365,0.000975609756097561
ELF3,0.0561686368575029,0.000975609756097561
ADGRE5,0.0561538026036597,0.000975609756097561
APOC1,0.0560370020526227,0.000975609756097561
PIM1,0.0545389993168856,0.000975609756097561
SH3YL1,0.0541106453414835,0.000975609756097561
PCLAF,0.0537193406324168,0.000975609756097561
LRRC15,0.0531379950961238,0.000975609756097561
MRC1,0.0529826876838823,0.000975609756097561
LPL,0.0523563404289291,0.000975609756097561
DSP,0.0521012741923207,0.000975609756097561
CD247,0.0515003885077745,0.000975609756097561
RUNX1,0.0510088981114527,0.000975609756097561
CD3D,0.0508705143495065,0.000975609756097561
LYPD3,0.050688552907784,0.000975609756097561
TOP2A,0.0506199953730906,0.000975609756097561
CENPF,0.0497332122184926,0.000975609756097561
AR,0.0495955176666945,0.000975609756097561
HOXD8,0.0494333782733108,0.000975609756097561
NARS,0.0489615780248055,0.000975609756097561
ERN1,0.0480875634193165,0.000975609756097561
GJB2,0.0470825376635284,0.000975609756097561
FBLIM1,0.0459089467804825,0.000975609756097561
DPT,0.0454878319631669,0.000975609756097561
FLNB,0.0449826359902574,0.000975609756097561
C1QA,0.0448470856601934,0.000975609756097561
KLF5,0.0444035577705862,0.000975609756097561
FCGR3A,0.0436415810233147,0.000975609756097561
TPD52,0.0435637197466378,0.000975609756097561
EGFR,0.041989655129785,0.000975609756097561
IGSF6,0.041757507018795,0.000975609756097561
TRIB1,0.0405598556135839,0.000975609756097561
CCL8,0.0401318241751978,0.000975609756097561
TOMM7,0.0397109736879381,0.000975609756097561
ITGAM,0.0362515294769881,0.000975609756097561
HDC,0.0339558860933053,0.000975609756097561
MKI67,0.0339450365564036,0.000975609756097561
TUBA4A,0.0333376501403412,0.000975609756097561
PCOLCE,0.0333104719326274,0.000975609756097561
ANGPT2,0.0332116161828963,0.000975609756097561
CTLA4,0.0329273067955175,0.000975609756097561
PTN,0.0325957595732441,0.000975609756097561
HAVCR2,0.0322040804264992,0.000975609756097561
TRAF4,0.0319124375075997,0.000975609756097561
SERPINB9,0.0313562108873517,0.000975609756097561
CCDC6,0.0309389356948567,0.000975609756097561
CD86,0.0304874319258286,0.000975609756097561
BACE2,0.029261579921757,0.000975609756097561
DST,0.0285085172835524,0.000975609756097561
USP53,0.0284215940462378,0.000975609756097561
HMGA1,0.0283053905775834,0.000975609756097561
EGFL7,0.0282633860565197,0.000975609756097561
ADAM9,0.0271907313677266,0.000975609756097561
SEC11C,0.0268187365118291,0.000975609756097561
ITGAX,0.0267421886187891,0.000975609756097561
SMS,0.0262162466653711,0.000975609756097561
CCPG1,0.0261528115551986,0.000975609756097561
SMAP2,0.0258749198360995,0.000975609756097561
