GeneNames,P_values
ABCC11,0.0185945942403144
ACTA2,0.0230549236097197
ACTG2,0.210360874917036
ADAM9,0.171684353136068
ADGRE5,0.774782142160441
AIF1,0.325459527916262
AKR1C1,0.963336994386337
ANGPT2,0.86626838063958
ANKRD28,0.704169683556432
ANKRD29,0.902813267262581
ANKRD30A,0.000522720247625341
APOBEC3B,0.965597185592824
APOC1,0.205700171280697
AQP1,0.0735612904125141
AR,0.138345626874447
AVPR1A,0.70354342601976
BACE2,0.640919821197824
BASP1,0.384467987187999
BTNL9,0.53898014130747
C1QA,0.669785970874142
C1QC,0.408830640308059
C2orf42,0.906084484819826
C6orf132,0.781105926953562
CAV1,0.0443538381194093
CAVIN2,0.612238387479513
CCDC6,0.110604837791543
CCDC80,0.0492329214349292
CCL5,0.237523600765408
CCL8,0.957766446424304
CCND1,0.00114890037046345
CCPG1,0.584339424431594
CD14,0.258513204486226
CD163,0.394542623855859
CD247,0.827540062506397
CD3D,0.897725042128884
CD3E,0.25889450448153
CD3G,0.69380199873483
CD4,0.264794289163153
CD68,0.101058010971123
CD69,0.736743745875256
CD83,0.571735625099608
CD86,0.694318902176962
CD8A,0.0594735848757733
CD8B,0.684597373984638
CD9,0.0169959328392402
CD93,0.112699434440282
CDC42EP1,0.950285284180731
CDH1,0.0205072938585579
CEACAM6,0.720609320428889
CENPF,0.0216006563465901
CLDN4,0.547277118988353
CLEC14A,0.0828565412133975
CRISPLD2,0.415358925529671
CTLA4,0.847906148520981
CTTN,0.0141142605236322
CXCL12,0.0224997818683143
CXCL16,0.574414109393001
CXCR4,0.0923415822079852
CYTIP,0.674712611179116
DAPK3,0.900878939940979
DMKN,0.815027400343153
DNTTIP1,0.818327492518093
DPT,0.687991158559475
DSC2,0.699111115175428
DSP,0.0826998334169667
DST,0.107699159244399
DUSP2,0.935892070609642
DUSP5,0.663769852220296
EDNRB,0.674794857417859
EGFL7,0.864861337013591
EGFR,0.555979346010652
EIF4EBP1,0.69949540106755
ELF3,0.137598338163144
ENAH,0.0864866875941523
EPCAM,9.71680056898183e-05
ERBB2,1.96635777782728e-05
ERN1,0.452073790057244
ESM1,0.613645336747572
ESR1,0.968640706787148
FAM107B,0.455986561129031
FAM49A,0.949130662125574
FASN,0.00226610514357495
FBLIM1,0.658136598337867
FBLN1,0.237621928571798
FCER1G,0.0639147524635634
FCGR3A,0.644063556372383
FGL2,0.303397914126485
FLNB,0.156012465305081
FOXA1,0.000393954183464107
FSTL3,0.969902753661037
GATA3,0.000684336711411215
GJB2,0.42362819216914
GLIPR1,0.549320906296281
GPR183,0.343323153803976
GZMA,0.662014786783107
HAVCR2,0.598707341723865
HDC,0.531210025675731
HMGA1,0.216514736834672
HOOK2,0.757533640472731
HOXD8,0.454674506497961
HOXD9,0.578454203669216
HPX,0.972653861527995
IGF1,0.278230099772026
IGSF6,0.483541059859852
IL2RG,0.657249485592244
IL3RA,0.891067880377406
IL7R,0.253710735167585
ITGAM,0.944601963577078
ITGAX,0.452097292818529
ITM2C,0.202016927820761
JUP,0.54396146238534
KARS,0.580479872464299
KDR,0.266210956657233
KLF5,0.277013870875836
KLRB1,0.683688412830599
KRT15,0.949449534982675
KRT7,8.14875170057627e-05
KRT8,0.00505025133171433
LAG3,0.919595570070046
LARS,0.194156039858389
LDHB,0.311251597220006
LGALSL,0.879059411653424
LPL,0.715231799558849
LPXN,0.821820885598492
LRRC15,0.833089732980659
LUM,0.000116084851775833
LYPD3,0.198488989308217
LYZ,0.091622978445293
MAP3K8,0.807622312878038
MDM2,0.0245477401494988
MEDAG,0.826976983886948
MKI67,0.158618526763372
MLPH,0.00394676107411407
MMP1,0.669581266162971
MMP2,0.0357500787141782
MMRN2,0.531776588824666
MNDA,0.868723091415997
MRC1,0.704455957844356
MYLK,0.493238983391532
MYO5B,0.102313382755642
MZB1,0.360358642655034
NARS,0.0350000895239433
NOSTRIN,0.334232286114797
NPM3,0.953673329478877
OCIAD2,0.624922950013841
OXTR,0.958430691114308
PCLAF,0.111434024683356
PCOLCE,0.854138219285709
PDE4A,0.909726098487468
PDGFRA,0.0802150833819236
PDGFRB,0.0417236807784263
PDK4,0.109042436983947
PECAM1,0.0241334429413023
PELI1,0.727977530856635
PIM1,0.823473192783363
POLR2J3,0.0146795746702939
POSTN,4.38781383690356e-05
PPARG,0.423694390186413
PRDM1,0.581312719337682
PTGDS,0.575447974315705
PTN,0.78216250347609
PTPRC,0.191376799658698
PTRHD1,0.628582441816204
QARS,0.348816119804825
