,combined_pvalue,adjusted_pvalue
ABCC11,3.64594506334637e-05,0.00087110585165704
ACTA2,3.00066131275756e-07,9.17005675424591e-06
ACTG2,0.56007125486953,1
ADAM9,0.807506175863326,1
ADGRE5,0.000109883942052136,0.00248960093142285
AIF1,0.000560827702970279,0.0103799344178746
AKR1C1,0.480437117741413,1
ANGPT2,0.00021524123543748,0.00428553494475375
ANKRD28,0.883628960513204,1
ANKRD29,0.145991885455407,1
ANKRD30A,3.48610029732299e-14,2.5450180857464e-12
APOBEC3B,0.239594531884987,1
APOC1,0.313287725307086,1
AQP1,3.16401979805203e-06,8.48528849047545e-05
AR,0.797239220188862,1
AVPR1A,0.0124467210835845,0.175871516821812
BACE2,0.296712256314719,1
BASP1,0.0367306094177631,0.459687119684068
BTNL9,0.0552186031421681,0.62018756547753
C1QA,0.321341018274337,1
C1QC,0.230810884537165,1
C2orf42,0.695581100017487,1
C6orf132,0.280125982374296,1
CAV1,5.90538729028367e-12,2.98468523515539e-10
CAVIN2,0.00896732386500532,0.129492603584308
CCDC6,0.502854806396952,1
CCDC80,5.22638365918482e-09,1.96226086803724e-07
CCL5,5.55e-17,2.65259557286827e-14
CCL8,0.0925441026136777,0.965165308729655
CCND1,0.000175354956652329,0.00368448639438398
CCPG1,0.0014660204780409,0.0246984065010347
CD14,0.418437299785726,1
CD163,0.0390350428116562,0.483918577523504
CD247,1.77635683940025e-14,1.37310829654358e-12
CD3D,2.63462783389734e-06,7.21276094483198e-05
CD3E,1.11022302462516e-16,2.65259557286827e-14
CD3G,2.22044604925031e-16,2.65259557286827e-14
CD4,0.00971373459616642,0.138746458338457
CD68,0.00089132793721558,0.0162677886970624
CD69,0.000265108987544505,0.00512317320218909
CD83,0.258339856548547,1
CD86,0.224932825566195,1
CD8A,4.82680562186033e-12,2.53713339277246e-10
CD8B,0.000326532787439548,0.00621872289387052
CD9,6.852868073004e-08,2.19640293091407e-06
CD93,2.57182677998458e-06,7.19063685653065e-05
CDC42EP1,0.970184595680699,1
CDH1,0.00556083250234574,0.0830387191920546
CEACAM6,0.251229918321428,1
CENPF,0.290789841780094,1
CLDN4,0.411518978899577,1
CLEC14A,3.34410032998278e-09,1.37326015910295e-07
CRISPLD2,0.151818955257116,1
CTLA4,0.0823497823161561,0.879793692764777
CTTN,0.00130591281603087,0.0222867611636925
CXCL12,1.64313007644523e-14,1.34950799769673e-12
CXCL16,0.0452504602092678,0.530919256982776
CXCR4,1.11022302462516e-16,2.65259557286827e-14
CYTIP,2.22044604925031e-16,2.65259557286827e-14
DAPK3,0.972646169429033,1
DMKN,0.774128041697723,1
DNTTIP1,0.235665305563997,1
DPT,1.62786556275885e-05,0.000411375754980403
DSC2,0.874871220946007,1
DSP,0.00487733070284846,0.0736692843612981
DST,0.15720063360198,1
DUSP2,0.0451232699277682,0.530919256982776
DUSP5,0.74150660929127,1
EDNRB,0.124119936735426,1
EGFL7,0.00768184886781365,0.113422509554457
EGFR,0.101048028079194,1
EIF4EBP1,0.484649083632132,1
ELF3,0.0234974538605358,0.309704771913108
ENAH,0.01916112395703,0.26504576864983
EPCAM,2.22044604925031e-16,2.65259557286827e-14
ERBB2,1.02823194403356e-10,4.82565823381789e-09
ERN1,0.00115507301393825,0.019971898276459
ESM1,0.00254834238970358,0.041859235432104
ESR1,0.709987496501526,1
FAM107B,0.258947204573311,1
FAM49A,0.0322611526584644,0.415626479515537
FASN,2.33146835171283e-15,2.35672914358681e-13
FBLIM1,0.00306659679665899,0.0479734433703283
FBLN1,0.00114163922377108,0.019971898276459
FCER1G,0.0788214097196076,0.85601687814875
FCGR3A,0.0522795179272385,0.597389017312366
FGL2,0.26441554330553,1
FLNB,0.777406301347228,1
FOXA1,2.22044604925031e-16,2.65259557286827e-14
FSTL3,0.908935317901998,1
GATA3,1.07815346650497e-08,3.93551509916741e-07
GJB2,0.0215590298573904,0.292065984566956
GLIPR1,0.000144321364316968,0.00316084264094466
GPR183,0.0428357704691732,0.511725899151181
GZMA,1.11022302462516e-16,2.65259557286827e-14
HAVCR2,0.448805283188024,1
HDC,0.00375786695603475,0.0580959656324506
HMGA1,0.355658305393843,1
HOOK2,0.81072833853978,1
HOXD8,0.0413279679024856,0.502856184983841
HOXD9,0.00280209521169072,0.045459156099391
HPX,0.214997179116959,1
IGF1,0.000176844340180282,0.00368448639438398
IGSF6,0.0812550178343421,0.875213200706508
IL2RG,2.22044604925031e-16,2.65259557286827e-14
IL3RA,4.11841727094853e-05,0.000966419800958927
IL7R,1.01344821423766e-10,4.82565823381789e-09
ITGAM,0.807827560902459,1
ITGAX,0.194490967819501,1
ITM2C,2.65121258280487e-13,1.65900905971676e-11
JUP,0.923074986357428,1
KARS,0.0698206827125195,0.764586006313314
KDR,1.42734305708103e-07,4.46583400814284e-06
KLF5,0.0549534054208469,0.62018756547753
KLRB1,2.47451495564155e-05,0.000602170981750365
KRT15,0.980891551661117,1
KRT7,2.22044604925031e-16,2.65259557286827e-14
KRT8,1.94437216398669e-05,0.000482088781771116
LAG3,0.777046857242685,1
LARS,0.52189096096336,1
LDHB,6.09512440519211e-14,4.21553280646092e-12
LGALSL,0.435744263249925,1
LPL,0.357285275502407,1
LPXN,1.14934119999077e-08,4.08197885823737e-07
LRRC15,0.0342616578453894,0.437113932277545
LUM,8.88178419700125e-16,9.72618376718367e-14
LYPD3,0.0994562929533971,1
LYZ,0.187598287166372,1
MAP3K8,0.228451295617957,1
MDM2,0.101691351241718,1
MEDAG,0.140937553538696,1
MKI67,0.578896834097386,1
MLPH,2.41917597065822e-13,1.58950158215199e-11
MMP1,0.000148931308993294,0.00320833472451323
MMP2,1.80289149165347e-08,6.07475101543187e-07
MMRN2,0.000214022533926661,0.00428553494475375
MNDA,0.505622057109382,1
MRC1,0.193353008094811,1
MYLK,1.28761281348311e-06,3.76007299648808e-05
MYO5B,7.85331562447311e-07,2.34543756026497e-05
MZB1,0.00459882286500068,0.070270287578749
NARS,0.0411576957890697,0.502856184983841
NOSTRIN,0.00011915102256066,0.0026538065541673
NPM3,0.0209149579654144,0.286292033422778
OCIAD2,0.737267688389663,1
OXTR,0.578724007174157,1
PCLAF,0.184509508350033,1
PCOLCE,0.537306028717137,1
PDE4A,0.00229330290154328,0.0381467751418166
PDGFRA,3.80451173898066e-08,1.24986307357795e-06
PDGFRB,2.68363109512393e-12,1.46938321262727e-10
PDK4,0.00304294766110402,0.0479734433703283
PECAM1,8.29114554790067e-13,4.95239593454507e-11
PELI1,0.733859210452803,1
PIM1,0.000253976917543142,0.00498130283760712
POLR2J3,0.0462134796968092,0.537419879365695
POSTN,1.43218770176645e-14,1.25467770596669e-12
PPARG,0.0830713579018069,0.880345451255441
PRDM1,3.26929039395907e-10,1.43204196159911e-08
PTGDS,0.000179445854969318,0.00368448639438398
PTN,0.0852383162209609,0.896083229241571
PTPRC,1.11022302462516e-16,2.65259557286827e-14
PTRHD1,0.755393503171814,1
QARS,0.881319436322475,1
RAB30,0.0304678704875356,0.396409658217999
RAMP2,1.08670916326714e-05,0.000280005558739696
RAPGEF3,0.450765204496588,1
RHOH,0.721951051552657,1
RORC,0.782631078112767,1
RTKN2,0.771103905834491,1
RUNX1,0.00831760141830373,0.121444848020399
S100A14,0.166143763208405,1
S100A4,3.93775185580925e-06,0.000103490823004955
SCD,4.25394830472214e-10,1.80324200038458e-08
SDC4,0.745286467129474,1
SEC11C,0.394226778704052,1
SEC24A,0.398980670888993,1
SELL,4.55671914161293e-05,0.00105051172895583
SERHL2,0.0689165968546672,0.761027520820506
SERPINA3,0.257806424091381,1
