state,row,col,state_rank,fitted_celltype
3,0.3528104691935328,6.803779676760342,7,T_Cell_&_Tumor_Hybrid
1,0.08003144167344467,18.033036613600395,1,Invasive_Tumor
1,0.19574759682114784,34.99667082889749,1,Invasive_Tumor
5,0.4481786398402916,44.0281865341428,4,Endothelial
1,0.3735115980299935,44.85496557398844,1,Invasive_Tumor
1,-0.1954555759752822,46.15914816301838,1,Invasive_Tumor
1,0.19001768350511788,49.96471229174781,1,Invasive_Tumor
1,-0.03027144165953958,52.673313094039486,1,Invasive_Tumor
4,-0.02064377035871157,55.03106995596303,2,Stromal
4,0.08211970038767447,68.1094851996657,2,Stromal
1,0.028808714232175597,76.02875206224337,1,Invasive_Tumor
1,0.290854701392595,78.02604419584314,1,Invasive_Tumor
1,0.1522075450293987,81.04543439029601,1,Invasive_Tumor
1,0.024335003298565683,82.7892541743767,1,Invasive_Tumor
5,0.08877264654908514,84.30635060488518,4,Endothelial
1,0.06673486547485337,91.93470128325113,1,Invasive_Tumor
1,0.29881581463152124,93.29336903409518,1,Invasive_Tumor
1,-0.041031652753160175,98.889174226497,1,Invasive_Tumor
1,0.06261354033018028,108.19333507456804,1,Invasive_Tumor
1,-0.17081914786034497,110.0480359297455,1,Invasive_Tumor
1,-0.5105979631668157,112.0200628867269,1,Invasive_Tumor
1,0.13072371908807212,113.81224170862312,1,Invasive_Tumor
1,0.17288723977190112,116.24116371128343,1,Invasive_Tumor
1,-0.14843300408128834,125.0837944021517,1,Invasive_Tumor
1,0.4539509247975215,130.98194998600488,1,Invasive_Tumor
1,-0.290873134919753,133.2414749973536,1,Invasive_Tumor
1,0.009151703460289214,134.0177160394787,1,Invasive_Tumor
2,-0.03743677000516672,149.4419611178581,5,Macrophages_1
3,1.3065558428716915,3.203335423990277,7,T_Cell_&_Tumor_Hybrid
1,1.293871753980057,3.933858184838586,1,Invasive_Tumor
1,1.0309894851393833,12.2716763775742,1,Invasive_Tumor
1,1.0756325039204346,18.012171276905573,1,Invasive_Tumor
1,0.8224428504739775,25.401178288075034,1,Invasive_Tumor
5,0.6038407063552146,28.016331672635427,4,Endothelial
1,0.9304175701347694,33.984158126865644,1,Invasive_Tumor
1,1.031269793820796,50.018793659951086,1,Invasive_Tumor
