"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",0.497476986230758,0.618852727924207
"ANKRD28","B_Cells",0.0500626140023451,0.96007249206505
"BASP1","B_Cells",1.60745673806577,0.107954212283844
"C2orf42","B_Cells",0.0543865927988567,0.956627160442099
"CCPG1","B_Cells",0.368788867852902,0.712285102893838
"CLDN4","B_Cells",0.0507162512853365,0.959551626661128
"CXCR4","B_Cells",1.25965251213942,0.207794743265395
"CYTIP","B_Cells",0.547405307451685,0.584100309777057
"DAPK3","B_Cells",0.00139714912304124,0.998885236648261
"DUSP5","B_Cells",0.39012684340021,0.696442754215009
"ERN1","B_Cells",0.0612964826268125,0.951123091993956
"ESR1","B_Cells",0.935764724703257,0.349394337423096
"FAM107B","B_Cells",0.0775720944155717,0.938168440904049
"FAM49A","B_Cells",0.0535113096551112,0.957324519759397
"GLIPR1","B_Cells",1.83451028266639,0.0665782828425166
"HDC","B_Cells",0.049323207816188,0.960661724860993
"HMGA1","B_Cells",0.726972137095058,0.467243024516024
"ITM2C","B_Cells",1.41590722564154,0.156802669115826
"KARS","B_Cells",0.0512274394029683,0.959144287063103
"LDHB","B_Cells",0.0743851577238393,0.940703918503639
"LGALSL","B_Cells",0.0432100172659925,0.9655341199246
"LPXN","B_Cells",1.46350168705304,0.143330152335745
"MAP3K8","B_Cells",0.164143956552675,0.869617818745359
"MDM2","B_Cells",1.78250244237535,0.0746673332955922
"MRC1","B_Cells",0.0508806245573732,0.959420644872407
"MZB1","B_Cells",1.68224441512795,0.0925214547486869
"NPM3","B_Cells",0.00433129830001776,0.99654413476361
"OCIAD2","B_Cells",0.0616619909508013,0.950832009169525
"PDE4A","B_Cells",0.215901857868596,0.829064248884732
"PELI1","B_Cells",1.04584396577137,0.295633078595014
"PIM1","B_Cells",0.0550014595193715,0.956137301026444
"PRDM1","B_Cells",1.0790073986316,0.280584429445367
"RAB30","B_Cells",0.906200218638302,0.364829887328691
"RAPGEF3","B_Cells",0.047933090772276,0.961769567068766
"RUNX1","B_Cells",0.0655819592283922,0.947710652637759
"SEC11C","B_Cells",0.443261649420046,0.65757649174505
"SEC24A","B_Cells",0.531490499502643,0.595078923113387
"SELL","B_Cells",0.0564726444604812,0.954965287296051
"SLAMF7","B_Cells",0.636251339135495,0.524612615854031
"SLC25A37","B_Cells",0.045275376618873,0.963887813918532
"SMAP2","B_Cells",1.40522107046375,0.159955550448343
"TENT5C","B_Cells",1.77627428337461,0.0756877197772966
"THAP2","B_Cells",0.0389275667483338,0.968948138134571
"TIFA","B_Cells",0.635068598250347,0.525383676186485
"TMEM147","B_Cells",0.376183375267924,0.706780573864835
"TOMM7","B_Cells",0.331646443226344,0.740156245853563
"TPD52","B_Cells",1.29245999035059,0.196197893047913
"TRAPPC3","B_Cells",0.057615477185655,0.954054921141173
"TRIB1","B_Cells",0.238328203670108,0.811626548108631
"TUBA4A","B_Cells",0.863706940581528,0.38774889993237
"TUBB2B","B_Cells",0.0392658965616892,0.968678396237707
"VOPP1","B_Cells",0.392265656555284,0.694861936415634
"WARS","B_Cells",0.698322710535938,0.484975399585177
"ACTG2","CD4+_T_Cells",0.169479152722913,0.865419768872519
"ADGRE5","CD4+_T_Cells",0.498353711821158,0.61823475612535
"ANKRD28","CD4+_T_Cells",0.00730782356437346,0.99416925230278
"ANKRD29","CD4+_T_Cells",0.00456574514351928,0.996357075098183
"APOBEC3B","CD4+_T_Cells",0.52475180715942,0.599755737532299
"BACE2","CD4+_T_Cells",0.0125307347279602,0.990002181867484
"CD247","CD4+_T_Cells",0.0505126698573507,0.959713853208062
"CD3D","CD4+_T_Cells",0.901610681667624,0.367263714768943
"CD3G","CD4+_T_Cells",0.746163200498965,0.455568834952195
"CD4","CD4+_T_Cells",0.06316110745494,0.949638214668237
"CD69","CD4+_T_Cells",0.0530165038901044,0.957718758003468
"CTLA4","CD4+_T_Cells",0.294220221686805,0.768589629477687
"CTTN","CD4+_T_Cells",0.00400974315186923,0.996800696419429
"CXCR4","CD4+_T_Cells",1.57374547156016,0.115546304835428
"CYTIP","CD4+_T_Cells",1.37370046002345,0.169534694030116
"DSC2","CD4+_T_Cells",0.00456767707791145,0.996355533653632
"EGFL7","CD4+_T_Cells",0.0471100176994291,0.962425543234304
"FAM107B","CD4+_T_Cells",0.0215963176553973,0.982769970933256
"FBLIM1","CD4+_T_Cells",0.0476719760720309,0.961977668555719
"GLIPR1","CD4+_T_Cells",0.924991160732381,0.354970505367535
"HDC","CD4+_T_Cells",0.0755376253831845,0.939786962309399
"HMGA1","CD4+_T_Cells",0.0495860301265223,0.960452279281356
"HPX","CD4+_T_Cells",0.0411257557032562,0.967195641887281
"IGF1","CD4+_T_Cells",0.0777520102134768,0.938025321124217
"IL2RG","CD4+_T_Cells",0.693529342784208,0.487977418039223
"IL3RA","CD4+_T_Cells",0.00176590701031042,0.998591010792965
"IL7R","CD4+_T_Cells",1.808098118673,0.0705912309548019
"KLRB1","CD4+_T_Cells",1.22524529550921,0.220482812876595
"LDHB","CD4+_T_Cells",0.640119294247446,0.522095046230137
"LPXN","CD4+_T_Cells",0.0857888964744362,0.931634233266191
"MDM2","CD4+_T_Cells",0.147252624131693,0.882932625215662
"MMP2","CD4+_T_Cells",0.62063404577929,0.534840433601981
"MYLK","CD4+_T_Cells",0.0746229918535413,0.940514680270689
"NARS","CD4+_T_Cells",0.320100526168132,0.748892126806372
"PCLAF","CD4+_T_Cells",0.0748355256993569,0.940345575635827
"POLR2J3","CD4+_T_Cells",0.478752557425311,0.63211467124021
"PTPRC","CD4+_T_Cells",0.203981577502462,0.838367895266459
"RHOH","CD4+_T_Cells",0.51650891799396,0.605499011961914
"S100A4","CD4+_T_Cells",0.866523860752875,0.386202947183453
"SELL","CD4+_T_Cells",2.55791005294379,0.0105303325766011
"SLC25A37","CD4+_T_Cells",0.452098980768619,0.651197677911263
"SMAP2","CD4+_T_Cells",0.89743622784735,0.369486188378677
"SRPK1","CD4+_T_Cells",0.58124637204572,0.561074418426868
"STC1","CD4+_T_Cells",0.224669276041342,0.822236567748351
"TMEM147","CD4+_T_Cells",0.443894731874586,0.657118693533025
"TOMM7","CD4+_T_Cells",0.104056493681851,0.917124516376481
"TRAC","CD4+_T_Cells",0.0625858421837262,0.950096303615088
