genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
PTPRC,1.82834957564851e-08,1.23981947545255,4.02236906642673e-06,22.0901946944504,6.18785761855273,794
VWF,3.28473776332974e-07,1.24570840832924,3.61321153966271e-05,18.5969426867712,6.26360226016255,640
ANGPT2,0.000101033299724073,1.69117803501766,0.005556831484824,15.5589400612384,5.28494375121057,147
TYROBP,5.71242002901668e-05,1.54017928116129,0.0041891080212789,15.047986998173,5.15242986549034,188
RAB30,0.000582392301986611,1.25719558969964,0.0160157883046318,9.36405323631558,4.99581819725515,349
PDGFRB,0.000403192109531165,1.15530875635244,0.0160157883046318,9.03000577944784,5.96415387050199,708
GPR183,0.000559652339552393,1.18876734726822,0.0160157883046318,8.90172145544783,5.87090747112571,522
MMRN2,0.00134715593945589,1.26221456633221,0.0262325408567303,8.34293487267727,5.5462810477578,323
CD3E,0.00103995055350114,1.20867383131993,0.025421013530028,8.30187545664718,6.48454272400502,431
KLRB1,0.00244601315900801,1.27417887410319,0.0262325408567303,7.66201455099646,5.78240618882067,288
C6orf132,0.00181528416851455,1.18088066061138,0.0262325408567303,7.45314394420171,4.73970999746615,474
CYTIP,0.00228709747227294,1.20062196749672,0.0262325408567303,7.30034794943488,5.86173409858667,418
IGSF6,0.00226954477903776,1.17176332955524,0.0262325408567303,7.13390138708557,5.63535184314787,496
SEC11C,0.00190708719030152,1.10481686599325,0.0262325408567303,6.91856012881593,5.40327154318192,1369
ESM1,0.00874920607177426,1.45716339557706,0.0583280404784951,6.90519470413321,5.75780312693221,138
PDGFRA,0.00250928737993768,1.15220670125844,0.0262325408567303,6.89913314005968,5.64039494089019,571
AQP1,0.00262325408567303,1.15492759005766,0.0262325408567303,6.86412701329479,5.84492360327934,560
TOP2A,0.00214016602898193,1.10389449531102,0.0262325408567303,6.78549801992605,5.94334331733132,1230
DSP,0.0022256233689505,1.10439779961895,0.0262325408567303,6.74535058139526,5.67032484086536,1484
RAMP2,0.00340785768562802,1.18336991886846,0.0312386954515902,6.72351905891846,6.20399652516506,429
CAVIN2,0.00674803940204745,1.32305957866324,0.0502175656004832,6.61331763729247,5.55051952251859,210
FAM107B,0.00250161461634657,1.10172208914555,0.0262325408567303,6.60021752415856,5.32510443869526,1300
TENT5C,0.00256400587626764,1.10530356124469,0.0262325408567303,6.5944449175169,5.7268372723643,1582
S100A14,0.00258484731909933,1.1053284477136,0.0262325408567303,6.58564508547941,5.59767381887769,1581
FOXA1,0.00416886346866345,1.18139250670659,0.0366859985242384,6.47416305164103,7.20090744066761,2245
IL2RG,0.00478950267429194,1.18932432604483,0.0390255773460825,6.35257215485556,5.76247023405052,397
MDM2,0.000565857477890938,0.794002541309646,0.0160157883046318,5.9368906457488,6.34796885372943,2278
