genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
KRT7,2.4769743684821e-167,13.508982733867,6.05482623406735e-166,5182.37908015926,8.03123145717444,1886
FASN,3.30791544871047e-200,8.51414901191772,1.45548279743261e-198,3910.72488730748,7.11595011584393,1796
FOXA1,4.91165681223735e-178,9.27278339694042,1.35070562336527e-176,3785.78569499017,7.55337571096256,1834
KRT8,6.33696421773002e-207,7.62345645615004,3.48533031975151e-205,3619.53109029811,6.91952430990081,1768
EPCAM,1.83510836373123e-191,8.23334620320391,5.76748342886958e-190,3615.97573092163,7.7886678252845,1799
ERBB2,1.67052155815933e-45,25.7089038433892,5.03444853143908e-45,2650.67008241347,8.58320977477627,1996
TACSTD2,5.30193547108855e-225,4.91809547955265,1.16642580363948e-222,2539.77126380284,6.50641660298121,1580
MLPH,3.46127051047658e-218,5.0583694356619,2.53826504101616e-216,2532.83642833329,6.73795868583766,1608
CLEC14A,2.99627156543227e-144,7.39078096828274,5.49316453662583e-143,2442.46748823958,6.36061168105952,190
CDH1,7.15058780077959e-223,4.50807344959416,7.86564658085755e-221,2305.92140968352,6.25945108296023,1532
RAMP2,1.65313175614429e-135,6.61448079047216,2.42459324234496e-134,2052.77974578249,5.98722176671768,201
SCD,2.8332416824103e-105,7.61796727417165,2.0106876455815e-104,1833.87336275384,7.54278771750948,1872
ZEB2,3.24843719548908e-194,3.5300094011548,1.191093638346e-192,1572.70155753531,5.76750951713103,615
GATA3,1.05641019891003e-112,5.92121425456832,8.60778680593358e-112,1526.69422775478,7.38568085030707,1821
PECAM1,1.77919332661737e-166,3.91983024658552,3.91422531855822e-165,1496.01483732785,5.91644663803805,433
CAV1,2.75068236726475e-148,3.99334574458952,5.50136473452949e-147,1356.82205767811,5.93254268505536,378
CD93,1.62195291732804e-124,4.53090200221054,1.87805074637983e-123,1291.47435426647,6.0655734169537,280
ANKRD30A,5.29339609111024e-113,4.55538715420862,4.47902746170866e-112,1177.68445003084,7.27141352043129,1760
LDHB,4.41205838104006e-143,3.14294647947689,7.46656033714472e-142,1030.2117394073,5.44720664127089,537
PTPRC,2.41922406013753e-112,3.88658694604675,1.90081890439377e-111,998.876489430114,5.89169734837304,326
HOXD9,1.56528293388846e-61,7.12554006903317,6.62235087414349e-61,997.644186407784,5.73360585711048,108
MYO5B,5.96478497560716e-139,3.04103645435661,9.37323353309696e-138,967.88117886255,5.7467761129062,1457
ABCC11,2.02565814855673e-134,3.01252884671538,2.78527995426551e-133,927.378409940479,6.16318071161214,1467
CD9,3.64509538530942e-110,3.4997023967346,2.76524477506232e-109,881.893428596148,6.34734403825795,1660
DSP,4.605460637512e-133,2.81265844402058,5.96000788383906e-132,857.063646788847,5.67814366787395,1386
SERHL2,8.50985027568384e-133,2.79114718402099,1.04009281147247e-131,848.79509616043,5.95347642115127,1378
PDGFRB,7.55708402740871e-116,3.13793734832712,7.22851515665181e-115,831.796227787655,5.86773474782803,436
CCDC80,9.2110052209461e-123,2.93160586954228,1.01321057430407e-121,823.774118061896,5.70771849797022,523
NOSTRIN,2.68000636151022e-72,4.98619278965502,1.34000318075511e-71,821.72610512582,5.63896559812854,166
FBLN1,4.27244032685785e-91,3.81271544732287,2.76452021149626e-90,793.361490681223,5.36024480994336,271
MMP2,1.13374336090161e-121,2.79895507392875,1.18773113999216e-120,779.473361269645,5.6276876041736,571
CD68,1.56370883673132e-109,2.82527783826777,1.14671981360297e-108,707.830177094604,5.61981110365767,498
KDR,3.12579976423563e-72,4.24474230436122,1.52816877362631e-71,698.88169436119,5.78115188077262,196
CXCL12,4.36464555701033e-114,2.61662708642053,3.84088809016909e-113,682.99504684786,5.83806269515583,617
GPR183,5.95729021075129e-73,3.83283449735231,3.04791592177973e-72,637.416076481519,5.51654900666053,233
POSTN,3.41052181137098e-116,2.3673909943905,3.41052181137098e-115,629.425358834022,6.36672789542906,1109
ELF3,6.30641237095421e-115,2.36876237029891,5.78087800670803e-114,622.879611610723,5.46107138796251,1133
TPD52,1.02960097520264e-93,2.8486873866572,7.07850670451814e-93,609.935995349826,5.9676273671379,1587
AIF1,5.63251132920173e-89,2.73428570898846,3.54043569264109e-88,555.611006361488,5.41236854411002,437
CD4,7.92614732586357e-85,2.80201076301885,4.84375669913885e-84,542.608167687815,5.5534352842747,403
LYZ,1.75869640612979e-84,2.8056267300198,1.04571137661771e-83,541.07233924752,5.68489171527857,398
CAVIN2,2.91383599721565e-40,5.84389864535558,8.2185117870185e-40,531.993079461444,5.39934015418407,94
PTGDS,8.40767979419718e-52,4.48871375482567,2.84567623803597e-51,527.896434772571,5.30857158794414,152
MMRN2,4.88406778419754e-53,4.25502453791266,1.73305631052171e-52,512.522094622601,5.39043952737802,156
APOC1,3.20429359579972e-79,2.76402364128307,1.80755023352805e-78,499.568888539045,5.46750152791447,381
