genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
LUM,8.01264715117133e-245,4.25916136868536,8.81391186628846e-243,2393.87155661853,8.37404565223578,1009
POSTN,8.01264715117133e-245,3.02677800577683,8.81391186628846e-243,1701.20762023726,8.17564267025395,1009
PDGFRB,1.05614943766748e-130,2.29087084267322,7.74509587622819e-129,685.615107240952,6.14761929106583,952
CXCL12,1.51121441813837e-115,2.13810885970662,8.31167929976104e-114,565.282568389836,6.57455738442221,1009
CCDC80,3.88299602704159e-115,2.13066043060407,1.7085182518983e-113,561.30262984669,6.15846935064751,1009
PDGFRA,3.88365187374181e-104,2.25533838155523,1.220576303176e-102,537.023299053228,5.84496070222495,793
MMP2,4.10961272239891e-108,2.07910461180323,1.50685799821293e-106,514.091592461,6.21456058879533,1009
TOP2A,1.79101540995672e-89,1.94453379220245,4.92529237738097e-88,397.360211818168,6.65852535246867,1011
CLEC14A,1.16280798748862e-62,2.38543371004871,2.84241952497217e-61,340.185360792443,6.26798771776586,473
HOXD9,1.44504977091171e-41,3.02256466738681,1.58955474800288e-40,284.235467840027,5.64045243009126,249
FBLN1,6.46881631737773e-52,1.9884370718878,1.09472276140239e-50,234.371970747192,5.64906933847553,599
ACTA2,3.54637665547439e-58,1.70676481327355,7.80202864204366e-57,225.777691871875,7.1205430631745,1010
EPCAM,5.99712115789821e-56,1.69169140693207,1.19942423157964e-54,215.104459053497,8.5246230447004,1009
ANKRD30A,5.19326192670828e-55,1.682486576388,9.52098019896519e-54,210.302103592617,8.062404258993,1010
CAVIN2,4.67496252751399e-29,3.00079697559493,3.02497575309729e-28,195.750228555862,5.60061461617277,200
RAMP2,6.87445818019224e-42,2.05898128794973,7.95989894548575e-41,195.151813511999,6.02014296494343,470
MMRN2,2.07077394206552e-35,2.33775007462155,1.51856755751471e-34,186.698695856511,5.62013218705131,333
LDHB,1.74027331249503e-49,1.63606308979871,2.73471520534933e-48,183.685101650602,5.88695316591182,1008
ZEB1,1.23643196886252e-47,1.69958251414092,1.8134335543317e-46,183.57066594903,5.52413856033935,845
CCL5,5.05692432183614e-37,1.91089972941692,4.4500934032158e-36,159.70323465614,6.30393080287255,510
MKI67,6.53492924029727e-44,1.58923221065054,8.98552770540874e-43,158.027819941269,5.45514778654649,1008
KRT7,2.04883429569213e-43,1.58592229797125,2.65143261795452e-42,155.88646873916,8.70733316052313,1009
RUNX1,1.3473559220986e-42,1.58152862172591,1.64676834923162e-41,152.475854177477,6.53797324628971,1008
IL3RA,1.03924645307747e-25,2.572798827446,5.86241588915496e-25,148.003163512915,5.2757613436386,233
ZEB2,2.22131347250787e-39,1.55027557127677,2.32709030453205e-38,137.97874251809,6.6095985367241,1010
FOXA1,2.57719512816257e-39,1.5514788339087,2.57719512816257e-38,137.85528179833,8.24321064757442,1009
TACSTD2,1.07487809397384e-38,1.54689873805183,1.02814426380106e-37,135.239209724767,7.08542036874005,1008
CENPF,5.47388840241259e-38,1.53780446336657,5.01773103554488e-37,131.940923049252,5.97702935646553,1009
FASN,8.57729062560521e-37,1.52877479113525,7.25770745243518e-36,126.959442098048,7.80548903158694,1010
RTKN2,1.23585342490815e-34,1.6254934035794,8.77057269289657e-34,126.912236564539,5.08251636362475,750
CD3G,1.29069738244016e-25,2.13374527253468,7.0988356034209e-25,122.283756585011,5.98546319088077,316
ABCC11,1.00977778767795e-35,1.5153771605295,8.22781901070926e-35,122.11022503749,6.83249815068967,1010
SERHL2,1.33357885785118e-35,1.51650884907568,1.04781195974022e-34,121.779621786669,6.63963055233313,1010
MLPH,1.77576637858147e-35,1.51641389275035,1.34713311478594e-34,121.337747326495,7.43989610191757,1010
CAV1,2.15564886360506e-32,1.56347929792889,1.48200859372848e-31,114.00051639853,6.18328759722635,811
CD3E,8.78922893003704e-29,1.72225933106483,5.52465818459471e-28,111.260434063456,6.40038233495661,547
PTPRC,2.53639651199694e-32,1.52308508182828,1.69093100799796e-31,110.807453276325,6.17687472362647,903
CRISPLD2,3.53789625290328e-27,1.58279534777109,2.10361398821276e-26,96.4021532706989,5.25064767023305,677
EGFR,6.70034711637007e-25,1.71175317717764,3.59530820878394e-24,95.2804064337981,5.18336393718987,504
KDR,9.1791571959409e-24,1.72479984218188,4.80812995977857e-23,91.4921919064294,5.78374584275669,473
DPT,2.70082238482639e-21,1.92780435647796,1.26421473332299e-20,91.3022228523621,5.37760547826429,339
NOSTRIN,1.24104902640499e-21,1.88409373122241,5.93545186541515e-21,90.6971256749911,5.72191665094117,356
GATA3,1.25723169124931e-27,1.44040140488996,7.68308255763469e-27,89.2197381737139,8.08332747462922,1009
TCF4,7.95639644580294e-26,1.53379690598581,4.60633478441223e-25,88.6430869138826,5.62934597354098,725
CD93,1.9683143751108e-23,1.56136654682164,1.00704456401018e-22,81.6318023739109,6.20545393849157,628
TRAC,5.05302639867938e-22,1.5403495695183,2.52651319933969e-21,75.5339442307933,5.99032333455059,635
CD9,1.22968366041184e-21,1.37977441541644,5.93545186541515e-21,66.4327300639466,6.99012830000009,1008
IL7R,4.96849707974549e-19,1.56211134408865,2.23075379090614e-18,65.8367437253165,6.12846124763642,541
ITGAX,1.28143098887962e-17,1.67604991495644,5.63829635107035e-17,65.191585815097,5.68342190933409,412
CDH1,5.25199448204605e-20,1.36145765324156,2.40716413760444e-19,60.4393175148531,6.92377062834035,1009
SOX17,4.85566778880235e-12,2.21933384262626,1.46335193635139e-11,57.8155873568851,5.36672896580701,177
PTN,3.10892480052572e-14,1.76316496531,1.05225147094717e-13,54.8378057515175,5.20509000842036,313
GJB2,1.59827599505702e-14,1.6566850240712,5.7642740805335e-14,52.6283534347883,5.41890947113376,375
ADGRE5,1.0693306230637e-15,1.48399099143711,4.20094173346455e-15,51.1557568548594,5.37953342675462,552
LYPD3,2.39094397529757e-17,1.32823061256213,1.03138759718719e-16,50.8343851180766,5.86827935507611,1011
IGF1,4.32756506533003e-16,1.42309376075696,1.76308206365298e-15,50.3438721346721,5.56687624624762,676
SCD,3.52193057379479e-17,1.32741482901859,1.49004755045164e-16,50.2890275461226,8.43347262111684,1011
CXCR4,7.22811077556067e-17,1.323405026562,3.00034786910065e-16,49.1856300360048,7.00797682851893,1009
CD247,4.04401403912013e-13,1.69077907938211,1.30835748324475e-12,48.2486947534297,5.63655812310132,332
GZMA,8.56843575809901e-13,1.72694745779933,2.6929369525454e-12,47.9841348861521,6.18264943394599,310
STC1,1.70804025771088e-14,1.44063617659997,6.06078801123217e-14,45.6693836124622,4.84942684302421,586
ERBB2,9.85290743247821e-16,1.31026181814958,3.94116297299129e-15,45.2742560844388,9.24876902718885,1009
PCLAF,1.48121917121792e-15,1.30827002383598,5.71698627487616e-15,44.6720716433723,6.14319678770389,1008
ELF3,7.5015630408296e-15,1.29809568090753,2.84542046376295e-14,42.2188290516303,5.89200533648688,1011
GLIPR1,2.36072624788208e-14,1.34407146832171,8.11499647709464e-14,42.1732288427963,5.48645730012478,797
BTNL9,2.07129177366816e-11,1.69960528700497,6.07578920275993e-11,41.8107380168613,5.64479379146647,298
PECAM1,1.00992659982556e-14,1.29633373902,3.76582799934956e-14,41.7760576650338,6.05659545899754,1009
