Gene,C,Z,Pval,FDR
EPCAM,0.026689507026889863,9.479603,1.2762639235900672e-21,2.7950179926622475e-19
GZMA,0.009406324055257324,8.708506,1.5395352263996761e-18,1.132648658772775e-16
LUM,0.020642910591914657,8.707623,1.551573505168185e-18,1.132648658772775e-16
ZEB2,0.01591219139124034,8.278834,6.219341491043432e-17,3.405089466346279e-15
PTPRC,0.010346671882364171,8.012353,5.626717987836034e-16,2.464502478672183e-14
KRT7,0.02179820271672928,7.9206476,1.181383359763102e-15,4.312049263135322e-14
FOXA1,0.02193029923700803,7.860252,1.9168085671338214e-15,5.996872517175813e-14
CXCL12,0.013718173314664088,7.304874,1.3876340094405658e-13,3.726442806219334e-12
MMP2,0.015833153227927988,7.2916055,1.5314148518709592e-13,3.726442806219334e-12
FCER1G,0.014230145650152667,7.0172677,1.1312443526676333e-12,2.3826591838388535e-11
GPR183,0.011853183767219083,7.009393,1.1967694530697436e-12,2.3826591838388535e-11
PRDM1,0.011054959050866422,6.4707375,4.87628796511274e-11,8.89922553633075e-10
CD4,0.012764249162670847,6.4170465,6.947172560838372e-11,1.170331377556618e-09
LYZ,0.011259469839593859,6.1842527,3.1198665317503723e-10,4.8803626460952256e-09
S100A4,0.008607288704106358,5.862166,2.2843406959540067e-09,3.33513741609285e-08
MYLK,0.00941680010646837,5.7373056,4.809728498359191e-09,6.583315882129144e-08
ACTA2,0.012197963584792923,5.707529,5.731402465724168e-09,7.383394941138781e-08
ANKRD30A,0.0174412664596812,5.604195,1.0461245689880993e-08,1.272784892268854e-07
GATA3,0.017250964205385647,5.5409613,1.504078788336615e-08,1.7336487086616776e-07
CD68,0.011475246249840202,5.161082,1.227634355375796e-07,1.3442596191364968e-06
HAVCR2,0.010749353988022025,5.1234255,1.5001712576314136e-07,1.5644643115299028e-06
ERN1,0.010059528486188482,5.0734277,1.9535650642530774e-07,1.944685223051927e-06
FASN,0.014218604676499234,5.031064,2.438825957559998e-07,2.2278835808771425e-06
CD83,0.009452213892740608,5.0246043,2.522357637593531e-07,2.2278835808771425e-06
CCDC80,0.010373520679355975,5.023021,2.543246096891715e-07,2.2278835808771425e-06
TACSTD2,0.01620674148428827,4.950483,3.7014791397361457e-07,3.117784352316215e-06
CD3G,0.006263960811576873,4.9068375,4.627833625292152e-07,3.753687273848079e-06
LDHB,0.010537044723912693,4.893068,4.9638084052448e-07,3.8824072883878975e-06
CD163,0.009656090245791652,4.8434253,6.38098653928221e-07,4.818745007251048e-06
FBLN1,0.010572129389293094,4.7187095,1.1867274913100332e-06,8.663110686563242e-06
SCD,0.012048259002725574,4.3840947,5.823454743742911e-06,4.113988996386121e-05
PIM1,0.00909327739345483,4.2643213,1.0025535889253482e-05,6.861226124207852e-05
CD247,0.006312198495136988,4.222905,1.2058666136423261e-05,8.002569345080892e-05
LPXN,0.008889054240727062,4.195404,1.3619278764974144e-05,8.772417792733346e-05
ITGAX,0.00838175658681659,4.120894,1.887025609915355e-05,0.00011650067132250503
ZEB1,0.008411673917317784,4.117493,1.9150795285891237e-05,0.00011650067132250503
CCND1,0.011877833707957945,4.0810266,2.2418615854717867e-05,0.0001326939695184652
ERBB2,0.010435217550522983,4.070389,2.346737089196271e-05,0.00013524616382473245
IL7R,0.007332748185321824,3.8252242,6.532657509931012e-05,0.0003668338447884338
AIF1,0.008194406510754027,3.8024008,7.165031798243428e-05,0.0003922854909538277
IL2RG,0.005142703406052459,3.750547,8.822463689889616e-05,0.0004712486702648356
CD3E,0.0043829752864281615,3.7139013,0.00010204421672858609,0.000531001559357438
CD9,0.011485249865979097,3.708463,0.00010426058014780745,0.000531001559357438
DPT,0.007703668170800499,3.694875,0.00010999749362946503,0.0005474875251102919
SLAMF7,0.005441310519732826,3.5010247,0.00023173642284262075,0.0011277839245007544
CDH1,0.010987110815585864,3.3928478,0.00034585032668902287,0.0016465482944542612
FGL2,0.0060387492592040215,3.3487468,0.0004058897598540926,0.0018912735618733252
CXCR4,0.0059919153209319264,3.326427,0.00043983531777837124,0.002006748637363819
IGF1,0.006533153723011372,3.3118587,0.00046339179241638805,0.0020710776028405914
SERPINA3,0.006801996889187743,3.1471362,0.0008243906695045162,0.0036108311324297812
PDGFRA,0.007176756680200135,3.0266807,0.0012362749008257787,0.005308709868251873
POSTN,0.01043193746824941,3.0130584,0.0012931456084185036,0.005446132466224083
TPD52,0.009019008984088533,3.0068014,0.0013200610694985503,0.005454591966418539
PCOLCE,0.006319692522331721,2.995044,0.001372026307350457,0.00556432891314352
LYPD3,0.008951298935684665,2.9701986,0.0014880362567920716,0.00592508982249934
AVPR1A,0.005448963023804291,2.8312907,0.002318028058641032,0.009065145443614036
