Gene,C,Z,Pval,FDR
LUM,0.25760527289382856,72.180336,0.0,0.0
PTPRC,0.10414944818950368,61.096478,0.0,0.0
CYTIP,0.1004879408929339,60.10204,0.0,0.0
CXCR4,0.11352817842270915,59.67716,0.0,0.0
CLEC14A,0.15407419620494628,57.409508,0.0,0.0
EPCAM,0.241320667737158,54.59025,0.0,0.0
PRDM1,0.11700828679086721,52.664818,0.0,0.0
CCL5,0.06794294756095687,52.502117,0.0,0.0
CD93,0.1510639528656167,52.34764,0.0,0.0
CCDC80,0.17141847349674966,50.942505,0.0,0.0
MMP2,0.17051620343288368,50.423347,0.0,0.0
TRAC,0.07433329766601683,48.069744,0.0,0.0
KRT7,0.20105386084210677,47.80748,0.0,0.0
KDR,0.13965467403485055,46.561993,0.0,0.0
CD3E,0.07485991581653534,46.22556,0.0,0.0
RAMP2,0.13110655628081452,45.701023,0.0,0.0
FOXA1,0.2001340885531738,44.754005,0.0,0.0
POSTN,0.20355339405581543,44.22593,0.0,0.0
ITM2C,0.09443559166727697,43.874054,0.0,0.0
ZEB2,0.14097340414881368,42.5831,0.0,0.0
ANKRD30A,0.19560036906428177,42.305843,0.0,0.0
VWF,0.14994845969184797,41.976776,0.0,0.0
CXCL12,0.13272097423209656,41.88583,0.0,0.0
LDHB,0.12912726425794288,40.599262,0.0,0.0
CAV1,0.14326177069529744,39.845257,0.0,0.0
ERBB2,0.15130940997435213,38.982967,0.0,0.0
MLPH,0.17579210921550642,36.670082,1.095175882061438e-294,8.923655335315421e-294
FASN,0.1530875990151736,35.438232,2.20167297497064e-275,1.729885908905503e-274
MMRN2,0.1091907931175551,35.318607,1.5213072041368994e-273,1.154095120379717e-272
S100A4,0.07225243359650915,34.688496,5.873342221296266e-264,4.307117628950596e-263
PDGFRA,0.12593332086186612,34.625668,5.191828439276962e-263,3.6845234085191345e-262
GATA3,0.1594814926835513,34.47946,8.149275131065197e-261,5.6026266526073234e-260
IL2RG,0.05637166178485705,34.11519,2.195947330998071e-255,1.4639648873320474e-254
AQP1,0.10768794100474602,32.198505,9.260011973611866e-228,5.99177245351356e-227
PECAM1,0.12119861151634168,32.07863,4.3794735203782604e-226,2.752811927094907e-225
GLIPR1,0.07891491171555004,31.921124,6.799250805509237e-224,4.1550977144778674e-223
ZEB1,0.09456459471727173,31.58331,3.1294549888243754e-219,1.860757020382061e-218
HOXD9,0.08373211535398435,31.024857,1.2458632160494517e-211,7.212892303444194e-211
