genes,gene,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,ABCC11,0.9999546021281341,4,ABCC11,0.10916186875490687,4.5399929762484854e-05,-5806.7776263522865,-10.32354043527619,108.83012569839657,SE,3171,16.385316698215313,5757602287.824433,0.006686210632324219,11645.802461802727,-5807.067243210437,0.2896168581501115,0.5904661612197408,0.9929148290102869
ACTA2,ACTA2,0.999954602128134,4,ADGRE5,0.10916186875490687,4.5399929762484854e-05,-3866.2419036177657,-1.0591182491419486,1.7921716679916522,SE,3171,6679.44304572955,2347075571971.961,0.001775979995727539,7764.731016333685,-3866.2421262744874,0.0002226567216894182,0.9880946586916924,0.9929148290102869
ACTG2,ACTG2,0.9999546021281341,4,AKR1C1,0.10916186875490687,4.5399929762484854e-05,-2961.3493213804118,-2.3532560916709264,5.915485785038532,SE,3171,385.01972493692267,135291278770.084,0.0020799636840820312,5954.945851858977,-2961.3872313464126,0.03790996600082508,0.8456240401869419,0.9929148290102869
ADAM9,ADAM9,0.999954602128134,4,ANKRD29,0.10916186875490687,4.5399929762484854e-05,-3077.9140341019774,-2.3773300146580962,6.058257501387597,SE,3171,393.9718880606809,138436960713.96378,0.0021240711212158203,6188.075277302109,-3077.95138460645,0.037350504472669854,0.8467531692897889,0.9929148290102869
ADGRE5,ADGRE5,0.9999546021281341,4,C1QA,0.10916186875490687,4.5399929762484854e-05,-4156.7154025106165,-2.2167893151075013,5.71852037684034,SE,3171,1053.3553905679883,370136355514.38727,0.002086162567138672,8345.678014119387,-4156.73566048283,0.020257972213585163,0.8868189535158015,0.9929148290102869
AIF1,AIF1,0.9999546021281341,4,CCND1,0.10916186875490687,4.5399929762484854e-05,-4038.941006707515,-6.6889550561359,45.479046095541904,SE,3171,732.0388662215684,257229611642.72214,0.002293109893798828,8110.129222513184,-4038.9743084278102,0.03330172029518508,0.855200093035811,0.9929148290102869
AKR1C1,AKR1C1,0.9999546021281341,4,CCPG1,0.10916186875490687,4.5399929762484854e-05,-5559.65520457071,-3.6557997703407614,15.313199166583907,SE,3171,23.055662543082775,8101481213.3487835,0.0022339820861816406,11151.557618239574,-5559.901357315339,0.24615274462848902,0.619797171653648,0.9929148290102869
ANGPT2,ANGPT2,0.999954602128134,4,CD163,0.10916186875490687,4.5399929762484854e-05,-4488.738430993895,-1.7425223553336382,4.028870410398464,SE,3171,314.811805065612,110621064118.78699,0.0021851062774658203,9009.724071085944,-4488.784439193962,0.04600820006635331,0.8301608929097802,0.9929148290102869
ANKRD28,ANKRD28,2.061153474555437e-09,4,CD68,0.10916186875490687,485165195.4097903,-5624.316897268098,-1.5428424245281938,9.096435404732356e-09,SE,3171,13.992160283510282,2.384732474621712e+18,0.0022017955780029297,11280.88100363435,-5624.316976123593,7.885549530328717e-05,0.9929148290102869,0.9929148290102869
ANKRD29,ANKRD29,0.999954602128134,4,CXCL16,0.10916186875490687,4.5399929762484854e-05,-5089.751792371281,-3.8957671311803956,16.624313545397495,SE,3171,260.6351733372691,91584050398.88574,0.0021321773529052734,10211.750793840716,-5089.817457679752,0.06566530847067042,0.7977559255697527,0.9929148290102869
ANKRD30A,ANKRD30A,0.9999546021281341,4,DAPK3,0.10916186875490687,4.5399929762484854e-05,-4112.050378814614,-3.1398958300473354,10.639721574505906,SE,3171,1076.9440359742812,378425120466.09845,0.0021407604217529297,8256.347966727382,-4112.074017938978,0.023639124363398878,0.8778067005241813,0.9929148290102869
APOBEC3B,APOBEC3B,0.999954602128134,4,DUSP5,0.10916186875490687,4.5399929762484854e-05,-5103.881750761804,-3.5449501055519335,14.027612853742102,SE,3171,111.98480945826438,39350108820.826996,0.002251863479614258,10240.010710621762,-5103.9781583600925,0.09640759828835144,0.7561840061879388,0.9929148290102869
APOC1,APOC1,0.999954602128134,4,ERN1,0.10916186875490687,4.5399929762484854e-05,-5194.927655558982,-2.5971697023677542,8.294190740179587,SE,3171,494.2979834427332,173690338292.50247,0.002331256866455078,10422.102520216118,-5195.0443774778,0.11672191881734761,0.7326173925946391,0.9929148290102869
AQP1,AQP1,0.999954602128134,4,FAM107B,0.10916186875490687,4.5399929762484854e-05,-5720.175965537508,-3.9059911286095566,17.412564614425836,SE,3171,17.19159265953132,6040917917.616472,0.0023260116577148438,11472.59914017317,-5720.460343896069,0.28437835856129823,0.5938457403017492,0.9929148290102869
AR,AR,0.9999546021281341,4,ITGAM,0.10916186875490687,4.5399929762484854e-05,-3121.2586034984606,-2.104803275381093,4.84836221615553,SE,3171,394.124715868155,138490662558.74118,0.0022096633911132812,6274.764416095075,-3121.2958219917946,0.03721849333396676,0.8470208767267287,0.9929148290102869
AVPR1A,AVPR1A,0.9999546021281341,4,KARS,0.10916186875490687,4.5399929762484854e-05,-5403.558523287393,-6.015992953541366,37.95191464548161,SE,3171,50.98742037689587,17916363389.232986,0.002363920211791992,10839.36425567294,-5403.721445193703,0.1629219063106575,0.6864805127838232,0.9929148290102869
BACE2,BACE2,0.999954602128134,4,LRRC15,0.10916186875490687,4.5399929762484854e-05,-3500.264023945838,-2.418776688047091,6.3815105582828044,SE,3171,4338.553759261833,1524515363984.1462,0.002229928970336914,7032.775256989829,-3500.2694545914114,0.005430645573596848,0.9412547372691752,0.9929148290102869
