,x,y,group,foldchange
Loc1,0.908207789994776,0.48398658935912,B,1
Loc2,0.201681931037456,0.461059393826872,I,1
Loc3,0.898389684967697,0.782721356954426,H,1
Loc4,0.944675268605351,0.000605266075581312,A,1
Loc5,0.660797792486846,0.750623380066827,D,1
Loc6,0.62911404389888,0.830732437549159,H,1
Loc7,0.0617862704675645,0.314671236323193,C,1
Loc8,0.205974574899301,0.712033160030842,B,1
Loc9,0.176556752528995,0.25171154923737,B,1
Loc10,0.687022846657783,0.309347498230636,F,1
Loc11,0.384103718213737,0.695954847149551,I,1
Loc12,0.769841419998556,0.423095647012815,E,1
Loc13,0.497699242085218,0.852890213020146,A,1
Loc14,0.717618508264422,0.534399916650727,B,1
Loc15,0.991906094830483,0.54817751632072,A,1
Loc16,0.380035179434344,0.845543978502974,B,1
Loc17,0.777445221319795,0.377029079943895,E,1
Loc18,0.934705231105909,0.166043678531423,E,1
Loc19,0.212142521282658,0.189248028676957,A,1
Loc20,0.651673766085878,0.856867816066369,D,1
Loc21,0.125555095961317,0.337503234623,C,1
Loc22,0.267220668727532,0.775028235046193,B,1
Loc23,0.386114092543721,0.0690702020656317,A,1
Loc24,0.0133903331588954,0.240949265658855,A,1
Loc25,0.382387957070023,0.24280183785595,E,1
Loc26,0.86969084572047,0.387112989090383,E,1
Loc27,0.34034899668768,0.871805021073669,G,1
Loc28,0.482080115471035,0.967197048477829,A,1
Loc29,0.599565825425088,0.866916270926595,D,1
Loc30,0.493541307048872,0.437715301522985,C,1
Loc31,0.186217601411045,0.191937792114913,A,1
Loc32,0.827373318606988,0.0822944045066833,E,1
Loc33,0.668466738192365,0.583451637532562,B,1
Loc34,0.79423986072652,0.0703614954836667,E,1
Loc35,0.107943625887856,0.527662655804306,C,1
Loc36,0.723710946040228,0.472288285382092,B,1
Loc37,0.411274429643527,0.0481913706753403,A,1
Loc38,0.820946294115856,0.594540807651356,B,1
Loc39,0.647060193819925,0.791271215071902,H,1
Loc40,0.78293276228942,0.598868683679029,B,1
Loc41,0.553036311641335,0.0279159292113036,A,1
Loc42,0.529719580197707,0.39572663186118,E,1
Loc43,0.789356231689453,0.106243964517489,E,1
Loc44,0.023331202333793,0.0241113880183548,A,1
Loc45,0.477230065036565,0.840897767804563,B,1
Loc46,0.7323137386702,0.32639992586337,F,1
Loc47,0.692731556482613,0.2942976471968,F,1
Loc48,0.477619622135535,0.822897979756817,B,1
Loc49,0.8612094768323,0.414347424637526,B,1
Loc50,0.438097107224166,0.0101712229661644,A,1
Loc51,0.244797277031466,0.0524083885829896,A,1
Loc52,0.0706790471449494,0.730370381381363,A,1
Loc53,0.0994661601725966,0.0733949469868094,A,1
Loc54,0.31627170718275,0.0703566265292466,A,1
Loc55,0.518634263193235,0.637171967187896,B,1
Loc56,0.6620050764177,0.41330587095581,E,1
Loc57,0.406830187188461,0.430717830779031,C,1
Loc58,0.912875924259424,0.0802463705185801,E,1
Loc59,0.293603372760117,0.277116678655148,E,1
Loc60,0.459065726259723,0.794071018928662,B,1
Loc61,0.332394674187526,0.0910974657163024,A,1
Loc62,0.65087046707049,0.276682177558541,F,1
Loc63,0.258016780717298,0.136255458230153,E,1
Loc64,0.478545248275623,0.6634760950692,B,1
Loc65,0.766310670645908,0.979130022460595,A,1
Loc66,0.0842469143681228,0.211811334360391,A,1
Loc67,0.875321330036968,0.37202698434703,E,1
Loc68,0.339072937844321,0.118364716647193,A,1
Loc69,0.839440350187942,0.780536147300154,H,1
Loc70,0.34668348915875,0.0655782136600465,A,1
Loc71,0.333774930797517,0.783775092335418,B,1
Loc72,0.476351245073602,0.123852211982012,E,1
Loc73,0.892198335845023,0.777341672452167,H,1
Loc74,0.864339470630512,0.36134907277301,E,1
Loc75,0.389989543473348,0.615930010797456,B,1
Loc76,0.777320698834956,0.917042729211971,D,1
Loc77,0.960617997217923,0.105220099911094,E,1
Loc78,0.434659484773874,0.715545793995261,I,1
Loc79,0.712514678714797,0.156366555485874,F,1
Loc80,0.399994368897751,0.261575721204281,F,1
Loc81,0.325352151878178,0.773791367653757,I,1
Loc82,0.757087148027495,0.594759070547298,B,1
Loc83,0.202692255144939,0.0953767166938633,A,1
Loc84,0.711121222469956,0.158467933768407,F,1
Loc85,0.121691921027377,0.701090714894235,A,1
Loc86,0.245488513959572,0.269182726275176,A,1
Loc87,0.14330437942408,0.296830063685775,C,1
Loc88,0.239629415096715,0.562665292294696,C,1
Loc89,0.0589343772735447,0.345176512375474,C,1
Loc90,0.642288258532062,0.996363310841843,A,1
Loc91,0.876269212691113,0.214889628114179,F,1
Loc92,0.778914677444845,0.590747197624296,B,1
Loc93,0.79730882588774,0.40899104741402,E,1
