cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
1674,587.3474060058594,3398.7579956054688,196,0,0,196,106.93,25.3778125,Invasive_Tumor
1675,589.4066223144531,3387.56875,431,0,0,431,275.27250000000004,78.1203125,Invasive_Tumor
1676,585.7348754882812,3370.2439819335937,214,0,0,214,141.83578125,76.81078125,Invasive_Tumor
1677,594.7187072753906,3373.68984375,232,0,0,232,124.31515625,74.91421875,Invasive_Tumor
1760,246.13681488037108,3399.543664550781,229,1,0,230,383.1959375,29.21609375,Endothelial
1761,247.24636993408205,3379.951538085937,345,0,0,345,356.4634375,72.29515625,Invasive_Tumor
1762,258.4059661865234,3394.64267578125,314,1,0,315,177.59953125,76.53984375,Invasive_Tumor
1763,256.75610809326173,3368.306164550781,449,1,0,450,294.8703125,109.82,Invasive_Tumor
1764,268.62472076416014,3404.610876464844,414,0,0,414,436.25453125,81.05546875,Invasive_Tumor
1765,271.3291412353515,3372.162915039062,263,0,0,263,174.03218750000002,70.30828125000001,Invasive_Tumor
1766,269.1600433349609,3382.788537597656,297,0,0,297,140.6165625,75.63671875,Invasive_Tumor
1767,279.69176330566404,3395.070166015625,131,0,0,131,186.45015625,27.77109375,Stromal
1768,287.40653533935546,3382.4658447265624,158,0,0,158,335.73671875,18.3334375,Macrophages_1
1769,314.4920883178711,3382.060559082031,610,0,0,610,648.85015625,67.734375,Stromal
1770,321.1778228759766,3400.970776367187,534,3,0,537,377.37078125,104.89796875,Stromal
1771,337.9961135864258,3391.227526855469,251,0,0,251,293.154375,30.4353125,Invasive_Tumor
1772,346.32698516845704,3375.869213867187,271,0,0,271,401.2584375,19.326875,Stromal
1773,353.65473327636715,3395.803125,136,0,0,136,130.72734375000002,13.0953125,Invasive_Tumor
1774,364.9505401611328,3395.4949584960937,260,0,0,260,173.8515625,49.62671875,Invasive_Tumor
1775,368.4504089355469,3376.6548828125,120,0,0,120,146.89328125,11.92125,Invasive_Tumor
1776,364.4172927856445,3384.866223144531,277,1,0,278,214.80828125,29.6225,Macrophages_1
1777,380.5683303833008,3376.479528808594,137,0,0,137,122.32828125,9.4828125,Invasive_Tumor
1778,378.29067382812497,3394.150646972656,146,0,0,146,146.17078125,20.1396875,Stromal
1779,392.79112701416017,3385.531945800781,37,0,0,37,25.3778125,9.61828125,Stromal
1780,391.12477111816406,3379.816650390625,124,0,0,124,107.7428125,44.47890625,Invasive_Tumor
1781,389.0370468139648,3388.872387695312,212,0,0,212,154.93109375,37.8409375,Stromal
1782,395.1740997314453,3373.561389160156,29,0,0,29,21.17828125,8.35390625,Invasive_Tumor
1783,391.4350646972656,3399.198352050781,307,2,0,309,204.286875,88.82234375,Invasive_Tumor
1784,404.5043853759765,3386.2005737304685,120,0,0,120,97.5375,14.67578125,Invasive_Tumor
1785,408.4796295166016,3370.244189453125,519,0,0,519,378.95125,75.27546875,Invasive_Tumor
1787,418.3135650634766,3394.363146972656,82,1,0,83,80.15234375,26.2809375,Stromal
1788,429.46231842041016,3401.949230957031,245,0,0,246,194.39765625,50.349218750000006,Macrophages_1
1789,424.2377548217773,3368.905065917969,200,0,0,200,281.72984375,42.40171875,Invasive_Tumor
1790,424.9842544555664,3389.0197265625,424,2,0,426,274.50484375,101.15,Stromal
1791,430.1492599487305,3380.353503417969,237,0,0,237,178.638125,113.65828125,Invasive_Tumor
1792,436.2402435302734,3367.26005859375,65,0,0,65,113.07125,13.14046875,Stromal
1793,444.2078521728516,3380.084765625,194,0,0,194,156.69218750000002,50.43953125,Invasive_Tumor
1794,444.8732116699219,3391.5796875,221,1,0,222,178.54781250000002,48.4978125,Stromal
1795,450.7323699951172,3399.0846313476563,118,2,0,120,173.49031250000002,27.77109375,Stromal
1796,465.6452423095703,3378.6908569335938,140,2,0,142,216.8403125,7.81203125,Stromal
1797,467.3801574707031,3395.720947265625,251,0,0,251,248.40453125,39.195625,Stromal
1798,482.2990997314453,3371.584973144531,211,0,0,211,319.66109375,19.10109375,Stromal
1799,484.4065124511719,3393.923620605469,505,0,0,505,357.6375,98.21484375,Invasive_Tumor
1800,500.2311218261719,3399.2925659179687,231,0,0,231,151.49921875,35.537968750000005,Invasive_Tumor
1801,500.4155548095703,3378.993627929688,686,1,0,687,614.9378125000001,109.278125,Stromal
1802,521.424935913086,3381.974438476562,281,0,0,281,244.97265625,48.45265625,Invasive_Tumor
1803,526.6338836669921,3372.586462402344,87,0,0,87,55.31640625,19.01078125,T_Cell_&_Tumor_Hybrid
1804,531.4290374755859,3388.8491455078124,237,0,0,237,128.10828125,48.76875,Invasive_Tumor
1805,533.2801635742187,3397.6739135742187,257,0,0,257,179.76703125,42.58234375,Stromal
1806,539.1885040283203,3374.615588378906,352,0,0,353,222.93640625,77.80421875,Invasive_Tumor
1807,544.3016296386719,3385.615576171875,397,0,0,397,180.67015625,90.854375,Invasive_Tumor
1808,551.042123413086,3394.4870361328126,191,0,0,191,138.40390625,25.51328125,Macrophages_1
1809,559.7948303222656,3387.685998535156,239,1,0,240,155.518125,55.858281250000005,Invasive_Tumor
1810,564.761083984375,3380.794274902344,69,0,0,69,26.7325,19.9590625,Invasive_Tumor
1811,561.4731964111328,3372.7217651367187,576,0,0,576,288.50328125,140.2553125,Invasive_Tumor
1812,573.058804321289,3389.8319580078123,319,0,0,319,180.8959375,74.55296875,Invasive_Tumor
1813,574.7333312988281,3377.358166503906,287,0,0,287,167.62,72.20484375000001,Invasive_Tumor
1885,3.875772166252136,3370.6322509765623,76,0,0,77,203.925625,46.10453125,Stromal
1886,3.5111599445343016,3399.0568237304688,32,1,0,33,62.54140625,4.6059375000000005,Invasive_Tumor
1887,8.555692243576049,3390.1957397460938,202,0,0,202,217.69828125,103.54328125,Invasive_Tumor
1888,13.143875312805177,3377.674633789062,140,0,0,140,112.529375,84.8034375,Invasive_Tumor
1889,14.8288836479187,3366.324560546875,159,1,0,160,176.96734375,97.356875,Invasive_Tumor
1890,22.06897745132446,3396.5481201171874,164,0,0,164,144.13875000000002,84.66796875,Invasive_Tumor
1891,21.54952039718628,3360.2589721679688,150,0,0,150,108.78140625,55.27125,Invasive_Tumor
1892,22.971107006073,3386.540283203125,169,1,0,170,146.848125,88.37078125000001,Invasive_Tumor
1893,26.329030799865723,3378.1205932617186,186,0,0,186,129.508125,75.18515625,Invasive_Tumor
1894,29.759286499023435,3363.5280273437497,82,0,0,82,68.18593750000001,26.01,Invasive_Tumor
1895,31.59266967773437,3370.140014648437,78,0,0,78,78.25578125,24.92625,Invasive_Tumor
1896,39.70406017303467,3391.403918457031,185,0,0,185,226.4134375,48.63328125,Macrophages_1
1897,45.57078647613525,3377.5385009765623,276,0,0,276,399.8134375,115.8709375,Stromal
1898,53.44801063537597,3399.5007080078126,177,0,0,177,252.2428125,31.56421875,Stromal
1899,63.84899978637695,3375.871081542969,195,0,0,195,367.8428125,36.305625,Stromal
1900,68.39489021301269,3396.88720703125,166,3,0,169,240.95375,43.169375,Endothelial
1901,79.96339721679688,3377.3191528320312,282,0,0,282,250.57203125,96.95046875,Invasive_Tumor
1902,82.05594635009766,3393.637036132812,300,0,0,301,245.5596875,116.45796875,Invasive_Tumor
1903,85.76404151916503,3384.957946777344,101,0,0,101,65.25078125,15.94015625,Invasive_Tumor
1904,98.21287879943849,3398.463732910156,135,0,0,135,268.90546875,14.5403125,Stromal
1905,95.9658378601074,3377.295703125,66,1,0,67,202.43546875,7.90234375,Stromal
1906,107.2216453552246,3379.241198730469,137,0,0,137,372.7196875,52.561875,Stromal
1907,116.1610939025879,3381.0802368164063,35,0,0,35,40.50515625,12.77921875,Stromal
1908,114.49951095581056,3393.126953125,114,0,0,114,169.51656250000002,15.57890625,Endothelial
1909,123.9103012084961,3376.3888427734373,86,0,0,86,96.58921875,31.609375,Endothelial
1910,123.3770149230957,3393.882531738281,113,0,0,113,179.27031250000002,21.629843750000003,Endothelial
