,pop,depth,cell.type,cell.type.idx,x,y
cell1,5_2,2,5_2_2,4,15,15
cell2,5_2,2,5_2_2,4,14,19
cell3,4_1,1.97979797979798,4_1_4,10,20,14
cell4,4_1,1.97979797979798,4_1_4,10,16,21
cell5,4_1,1.97979797979798,4_1_4,10,18,16
cell6,5_3,1.97297297297297,5_3_2,6,13,19
cell7,5_3,1.96621621621622,5_3_2,6,12,19
cell8,4_1,1.96632996632997,4_1_4,10,19,14
cell9,5_2,1.9527027027027,5_2_2,4,14,15
cell10,5_3,1.94594594594595,5_3_2,6,12,18
cell11,5_2,1.93918918918919,5_2_2,4,13,15
cell12,5_3,1.93243243243243,5_3_2,6,13,18
cell13,4_1,1.93265993265993,4_1_4,10,11,18
cell14,5_2,1.91891891891892,5_2_2,4,15,19
cell15,5_2,1.91216216216216,5_2_2,4,15,18
cell16,4_1,1.91245791245791,4_1_4,10,17,21
cell17,5_3,1.89864864864865,5_3_2,6,12,17
cell18,4_1,1.8989898989899,4_1_4,10,20,13
cell19,4_1,1.89225589225589,4_1_4,10,14,20
cell20,5_2,1.87837837837838,5_2_2,4,14,16
cell21,5_3,1.87162162162162,5_3_2,6,12,16
cell22,5_2,1.86486486486486,5_2_2,4,16,19
cell23,4_1,1.86531986531987,4_1_4,10,18,17
cell24,5_2,1.85135135135135,5_2_2,4,14,17
cell25,5_3,1.84459459459459,5_3_2,6,12,20
cell26,4_1,1.84511784511784,4_1_4,10,11,17
cell27,5_2,1.83108108108108,5_2_2,4,16,15
cell28,5_2,1.82432432432432,5_2_2,4,15,17
cell29,5_2,1.81756756756757,5_2_2,4,19,17
cell30,5_2,1.81081081081081,5_2_2,4,17,19
cell31,5_2,1.80405405405405,5_2_2,4,16,17
cell32,5_3,1.7972972972973,5_3_2,6,12,15
cell33,5_3,1.79054054054054,5_3_2,6,11,20
cell34,5_3,1.78378378378378,5_3_2,6,18,15
cell35,5_3,1.77702702702703,5_3_2,6,11,21
cell36,5_3,1.77027027027027,5_3_2,6,21,13
cell37,5_2,1.76351351351351,5_2_2,4,20,15
cell38,5_2,1.75675675675676,5_2_2,4,12,14
cell39,5_3,1.75,5_3_2,6,12,13
