,Cell,Cell_type,point_x,point_y
C_1,C_1,Invasive_Tumor,23.186960293455662,7.825682014071711
C_2,C_2,Macrophages_1,41.29242969645003,20.486430208561718
C_3,C_3,Invasive_Tumor,20.81390214870972,23.67711812275113
C_4,C_4,Invasive_Tumor,14.450036908122083,19.363951226392693
C_5,C_5,Prolif_Invasive_Tumor,27.317917427040346,4.10670626745071
C_6,C_6,Invasive_Tumor,3.563299204748388,43.61534458201923
C_7,C_7,Invasive_Tumor,3.6229359963556584,9.006592540054099
C_8,C_8,Invasive_Tumor,3.9005898405378323,8.819973934511044
C_9,C_9,Invasive_Tumor,2.1243243731930708,30.40373452439989
C_10,C_10,Stromal,49.325072070169796,35.62104264615579
C_11,C_11,Invasive_Tumor,3.0160172571926824,46.5079126059139
C_12,C_12,Invasive_Tumor,3.557855323400716,47.59961762793522
C_13,C_13,Invasive_Tumor,3.742614605859335,48.22358992061742
C_14,C_14,Endothelial,13.208801290109323,23.125347927783878
C_15,C_15,Invasive_Tumor,3.00480849331749,23.336666407151462
C_16,C_16,Invasive_Tumor,4.3677888814173285,45.965217459093225
C_17,C_17,Prolif_Invasive_Tumor,35.639045219150596,20.114591947391958
C_18,C_18,Invasive_Tumor,36.0401815137793,35.18998121643476
C_19,C_19,Invasive_Tumor,11.350713627414327,19.93215250310841
C_20,C_20,Invasive_Tumor,11.877905448049086,45.54519975789324
C_21,C_21,Invasive_Tumor,11.709329915502508,46.043801908096114
C_22,C_22,Invasive_Tumor,12.233811029712443,2.6957790368016434
C_23,C_23,Invasive_Tumor,2.6724402991550544,23.97598032822107
C_24,C_24,Invasive_Tumor,12.529039004399866,4.4222114223346045
C_25,C_25,Invasive_Tumor,2.9281751264851827,25.109094863179433
C_26,C_26,Invasive_Tumor,10.33595776697132,44.21324018980577
C_27,C_27,Invasive_Tumor,36.96253674463302,38.33247222195904
C_28,C_28,Invasive_Tumor,3.947226864342684,10.603404351215595
C_29,C_29,Macrophages_1,27.21161763730929,34.56779450165492
C_30,C_30,Endothelial,11.464086929098254,38.439924592699356
C_31,C_31,Invasive_Tumor,0.26438250087021387,37.79394224374163
C_32,C_32,T_Cell_&_Tumor_Hybrid,11.490458828280648,37.75487140615984
C_33,C_33,Stromal,13.844620794490798,2.9858623930678565
C_34,C_34,Invasive_Tumor,3.5584008457922867,11.47955744729201
C_35,C_35,Invasive_Tumor,0.06522737611548979,44.31732992545171
C_36,C_36,Stromal,49.55312038633784,46.55528497683502
C_37,C_37,Invasive_Tumor,0.7048942058009877,46.304400470889014
C_38,C_38,Prolif_Invasive_Tumor,46.704657225347674,0.8805728716142491
C_39,C_39,Invasive_Tumor,1.604974798667913,0.39483848503512053
C_40,C_40,Invasive_Tumor,1.4298953401050696,4.9478223382576845
C_41,C_41,Invasive_Tumor,1.8308292890269973,4.519657672693533
C_42,C_42,Invasive_Tumor,4.732133935086896,44.78380670063626
C_43,C_43,Stromal,47.9705178678727,35.94799922779099
C_44,C_44,Invasive_Tumor,2.235960125783487,32.823233775165775
C_45,C_45,Stromal,47.240128653066996,34.85673896356475
C_46,C_46,Macrophages_1,36.54470167695918,13.796160015635062
C_47,C_47,Stromal,48.11060686308616,25.78138655130015
C_48,C_48,Invasive_Tumor,2.878171966570725,29.453456783117083
C_49,C_49,Invasive_Tumor,5.381924896972406,22.430921413089493
C_50,C_50,Invasive_Tumor,0.6365766998275235,42.69147095102473
C_51,C_51,Stromal,47.767578876952065,26.466976455488343
C_52,C_52,Invasive_Tumor,0.10524243507304964,34.73854000167124
C_53,C_53,Endothelial,16.07821389176652,23.65566304285797
C_54,C_54,Invasive_Tumor,0.5038166074588124,37.41898078001399
C_55,C_55,Invasive_Tumor,0.6424036990201776,38.77988110733866
C_56,C_56,Invasive_Tumor,0.20108912038580562,39.50323362216764
C_57,C_57,Invasive_Tumor,4.152722151922244,13.368050997682335
C_58,C_58,Invasive_Tumor,1.146654621954074,12.378984426834815
C_59,C_59,Invasive_Tumor,38.80180321685768,36.799483202803614
C_60,C_60,Invasive_Tumor,3.908295423527952,19.317920012586757
C_61,C_61,Macrophages_1,40.46411032170425,33.319749553335306
C_62,C_62,B_Cells,2.6981051072573425,39.98808951285179
C_63,C_63,Stromal,10.843529769193877,41.82420872982667
C_64,C_64,Invasive_Tumor,3.6152372590226634,16.256124638202017
C_65,C_65,Invasive_Tumor,3.3838353850842773,12.889858867358416
C_66,C_66,Invasive_Tumor,0.6254339257725339,20.111732630915707
C_67,C_67,Stromal,16.737747214487754,38.114041168962046
C_68,C_68,Invasive_Tumor,3.601825805225073,8.07993163865713
