Cell_ID,Animal_ID,Animal_sex,Behavior,Bregma,Centroid_X,Centroid_Y,Cell_class,Neuron_cluster_ID,Ace2
42407497-7a5c-4231-881a-c8cb319ad859,1,Female,Naive,0.11,1402.453216,-664.9700486,Astrocyte,,0.0
aa61f6f4-a628-40e8-b29d-2de1c85b12c6,1,Female,Naive,0.11,1404.573801,-703.3176616,Inhibitory,I-5,0.768438658
ee5e87e7-bcf5-4a9b-b6d3-9479e71425ac,1,Female,Naive,0.11,1406.30442,-628.4601236,Inhibitory,I-20,0.0
75d7375c-fa53-4a09-a10f-db35290d89ff,1,Female,Naive,0.11,1409.11209,-620.314946,Endothelial 1,,0.0
a402dd8d-6111-4114-abc2-48297380db7b,1,Female,Naive,0.11,1408.444553,-681.6888103,Inhibitory,I-5,0.0
b78b0014-9d00-4b20-be20-a483490ecc5d,1,Female,Naive,0.11,1417.48851,-585.2180108,Endothelial 1,,0.0
9efedf1d-9cf5-45e6-aca1-787cde26ee33,1,Female,Naive,0.11,1421.740672,-705.2471167,Inhibitory,I-5,0.501377835
0781c2ff-0e04-493e-ad57-3a6e81ebfaa0,1,Female,Naive,0.11,1422.220494,-633.8200104,Ambiguous,,0.0
2fa0cc0e-9a92-407a-b833-4405656ddd1e,1,Female,Naive,0.11,1422.624479,-524.5361233,Inhibitory,I-8,0.0
334b1f83-79fc-4fa9-aeee-3c31cd7bb6e8,1,Female,Naive,0.11,1431.173103,-544.0864233,Inhibitory,I-5,0.0
96ebc773-e764-4460-849b-987026978e36,1,Female,Naive,0.11,1431.912497,-609.2733789,Inhibitory,I-5,0.0
4b3caca5-a9a9-4f13-bc97-20451dd1cb42,1,Female,Naive,0.11,1434.279134,-664.8270276,Ambiguous,,0.0
4d667282-f397-4e6d-a8ae-b00ab467cb59,1,Female,Naive,0.11,1440.141981,-619.0403563,Inhibitory,I-5,0.0
53a27d02-aa63-454d-adb3-3e67b3de357c,1,Female,Naive,0.11,1444.709358,-547.8139657,Ambiguous,,0.0
48393224-e210-42a1-954d-a517bf01320f,1,Female,Naive,0.11,1445.182858,-569.32464,Astrocyte,,0.0
9f2697bd-bdb3-4e93-ac85-4a7b2e89f268,1,Female,Naive,0.11,1447.216227,-682.7986304,Excitatory,E-20,0.0
0c09cf63-f1a9-4aed-a324-dcb728a64286,1,Female,Naive,0.11,1447.762572,-701.7229493,Endothelial 1,,0.0
91fa6bfd-de69-4992-b3a2-acd4d8c70dd4,1,Female,Naive,0.11,1449.946086,-522.329934,Endothelial 1,,0.0
876acf84-64cd-4274-b67e-32066cd607e2,1,Female,Naive,0.11,1451.668373,-628.9230348,Inhibitory,I-29,0.0
8eb0eee1-8479-4977-a081-8e170c1d296c,1,Female,Naive,0.11,1454.400793,-532.112715,Inhibitory,I-20,0.0
c8aa1d4c-b9dd-418c-9875-647fa0b810e2,1,Female,Naive,0.11,1462.243007,-665.7608791,Astrocyte,,0.0
d9fb2bcf-ef1b-4305-b459-235d46348b81,1,Female,Naive,0.11,1466.251158,-614.1111097,Endothelial 1,,1.98909694
650bffd5-c7bc-4474-87f1-02be9b836b7f,1,Female,Naive,0.11,1476.927818,-636.6151337,Inhibitory,I-5,0.0
d3c209f0-caa2-4bdf-80df-a7a6c422b147,1,Female,Naive,0.11,1475.494491,-563.662477,Endothelial 1,,0.0
c4240aee-0a67-4c9b-9e36-5ffd23309767,1,Female,Naive,0.11,1476.667942,-671.1531767,Excitatory,E-20,0.637495066
901e810e-317c-4237-934d-e756718f0cd6,1,Female,Naive,0.11,1480.752743,-533.8322631,Astrocyte,,0.0
7d2d580e-bc82-4338-bcb7-7e07e2f53878,1,Female,Naive,0.11,1482.459685,-523.614266,Endothelial 1,,0.0
63db5e8f-6a57-4f7f-ac89-753ec6c19ff0,1,Female,Naive,0.11,1483.802925,-527.7112286,Astrocyte,,0.0
861da080-4ecf-4172-b4ff-c1e2258684ea,1,Female,Naive,0.11,1483.831054,-601.1244927,Ambiguous,,0.0
0a01b1e2-bc86-4de2-810d-fd2eb739acd3,1,Female,Naive,0.11,1496.998652,-683.40388,Inhibitory,I-5,0.0
997d62a5-58e8-4fed-b785-e25d13ed6ee8,1,Female,Naive,0.11,1500.572358,-643.3165792,Excitatory,E-20,0.0
8d4bd305-8507-4fa9-9d71-287903a252e8,1,Female,Naive,0.11,1498.213115,-579.7286519,Endothelial 1,,0.0
2327b5a5-55ac-4a75-b743-a7d46590c11f,1,Female,Naive,0.11,1500.246711,-565.2293399,Ambiguous,,0.0
93bb506e-a9aa-4ab7-977c-7b30a849ecf4,1,Female,Naive,0.11,1501.761718,-701.6097778,Inhibitory,I-5,0.0
7ecec5c0-336f-4523-ba0d-3abcf1b52146,1,Female,Naive,0.11,1502.547671,-624.7757903,Inhibitory,I-5,0.0
e360dfb4-9901-484d-952f-cecdfd484097,1,Female,Naive,0.11,1504.796505,-669.6824075,Astrocyte,,0.0
ea5ef8b1-b4a0-4e4d-bd1a-04bfa9cf53b5,1,Female,Naive,0.11,1511.831009,-534.7450885,Ambiguous,,0.0
2b42605d-6ab5-4355-91df-d886f47d093e,1,Female,Naive,0.11,1512.023166,-560.9260512,Inhibitory,I-5,0.0
aa9acc89-043f-4bf2-b909-131f7ae298aa,1,Female,Naive,0.11,1520.097049,-686.4119979,Ambiguous,,0.0
0dc7aa57-2ea8-4159-95bd-910f30586bba,1,Female,Naive,0.11,1518.60578,-706.0187409,Inhibitory,I-37,0.0
8c196dce-a758-4598-8369-1c5741114f68,1,Female,Naive,0.11,1521.983221,-611.7257256,Astrocyte,,0.0
c181dbba-d45f-4a82-972a-eb3a42ebca52,1,Female,Naive,0.11,1526.753541,-524.4887943,Excitatory,E-20,0.0
bb99df9a-3dd6-43b6-8ba3-ea212d989121,1,Female,Naive,0.11,1526.526959,-638.5756002,Inhibitory,I-5,0.0
b9d2cc42-0b08-4fbd-839b-b54114851e78,1,Female,Naive,0.11,1524.974851,-577.5935699,Inhibitory,I-5,0.94773559
52eaa693-fb6e-4437-9a3c-ed392a866b40,1,Female,Naive,0.11,1536.276348,-584.6304843,OD Immature 1,,0.0
aad4a58a-d203-4a96-9181-61294f447830,1,Female,Naive,0.11,1545.914762,-572.9422662,Inhibitory,I-5,0.0
1c33751c-c134-489e-a037-e3c1dbedf1d4,1,Female,Naive,0.11,1544.370958,-594.4942874,Excitatory,E-20,0.0
c626e336-14be-45d7-b6da-d46c20fcc796,1,Female,Naive,0.11,1543.006966,-682.7710995,Ambiguous,,0.0
55962f70-8aff-4b8e-bec4-9ef71a31ac9e,1,Female,Naive,0.11,1547.980349,-555.6079738,OD Mature 2,,0.0
4dac4039-1109-48cc-8d5e-1d26b1418894,1,Female,Naive,0.11,1553.344533,-610.274116,Ambiguous,,0.0
e78f294d-4887-4ef6-92b9-0ec87c356ac4,1,Female,Naive,0.11,1552.338157,-543.3777201,Ambiguous,,0.0
0dfaeb8d-43fe-4ed7-b1d6-f92945c477d0,1,Female,Naive,0.11,1554.906293,-683.5750257,Ambiguous,,0.0
ab6428b9-2789-4d36-85a9-f313599c98fc,1,Female,Naive,0.11,1561.286555,-577.6633789,Endothelial 1,,0.0
9965ffc8-bbdb-41ed-af45-1238e840564b,1,Female,Naive,0.11,1564.533237,-658.3226375,Ambiguous,,0.0
64899f08-715b-465d-b33e-9e4a26d5ba0f,1,Female,Naive,0.11,1568.444129,-540.6678202,Inhibitory,I-20,0.0
36cea16e-396e-4a6f-9095-cc13d033b440,1,Female,Naive,0.11,1579.767803,-605.5338226,Inhibitory,I-3,0.0
769b916f-459b-42a0-a150-43fa5f0a648a,1,Female,Naive,0.11,1579.61518,-583.1576381,Inhibitory,I-26,0.0
3e72ddad-71ba-48b4-b3f5-dc4b1ea74b00,1,Female,Naive,0.11,1583.28108,-563.633102,OD Mature 2,,0.0
5f5421a1-64a6-467d-aa2a-a312da736ddc,1,Female,Naive,0.11,1585.668565,-680.097219,Microglia,,0.0
9c9c5ad7-5834-45ca-92bc-d333b7d67a14,1,Female,Naive,0.11,1585.762399,-660.0961802,Endothelial 1,,0.0
