seed	component	level	configured_value	realized_value
0	capture	efficiency_1	1.0	1.0
0	capture	efficiency_0.85	0.85	0.849917314132325
0	capture	efficiency_0.7	0.7	0.6999147648081258
0	capture	efficiency_0.55	0.55	0.54993384294742
0	capture	efficiency_0.4	0.4	0.4000592822356821
0	ambient	rate_0	0.0	0.0
0	ambient	rate_5	5.0	5.149002493765586
0	ambient	rate_20	20.0	20.143391521197007
0	ambient	rate_50	50.0	49.8927680798005
0	ambient	rate_100	100.0	99.93765586034912
0	dropout	Off	0.0	0.0
0	dropout	Very low	0.05091800186750102	0.050961346633416456
0	dropout	Low	0.125938053223664	0.12598254364089775
0	dropout	Moderate	0.27683646037729515	0.27627306733167084
0	dropout	High	0.5019832258492719	0.5023304239401496
1	capture	efficiency_1	1.0	1.0
1	capture	efficiency_0.85	0.85	0.8500639635318823
1	capture	efficiency_0.7	0.7	0.7000026456309155
1	capture	efficiency_0.55	0.55	0.5500240937710421
1	capture	efficiency_0.4	0.4	0.399981305580768
1	ambient	rate_0	0.0	0.0
1	ambient	rate_5	5.0	4.998746081504702
1	ambient	rate_20	20.0	20.137931034482758
1	ambient	rate_50	50.0	50.11097178683386
1	ambient	rate_100	100.0	100.0576802507837
1	dropout	Off	0.0	0.0
1	dropout	Very low	0.05016683019160331	0.050219435736677115
1	dropout	Low	0.12424009907316058	0.12436990595611286
1	dropout	Moderate	0.27373034851818473	0.2736777429467085
1	dropout	High	0.49792919256218254	0.4982257053291536
2	capture	efficiency_1	1.0	1.0
2	capture	efficiency_0.85	0.85	0.8498725498086878
2	capture	efficiency_0.7	0.7	0.6998543086905522
2	capture	efficiency_0.55	0.55	0.5498688199623853
2	capture	efficiency_0.4	0.4	0.40019484055836935
2	ambient	rate_0	0.0	0.0
2	ambient	rate_5	5.0	4.977415307402761
2	ambient	rate_20	20.0	19.912170639899625
2	ambient	rate_50	50.0	50.26850690087829
2	ambient	rate_100	100.0	100.63864491844417
2	dropout	Off	0.0	0.0
2	dropout	Very low	0.05062989176447396	0.05036511919698871
2	dropout	Low	0.12520238922242788	0.12471016311166876
2	dropout	Moderate	0.2752059455353056	0.275702634880803
2	dropout	High	0.4993943625565107	0.49954328732747805
3	capture	efficiency_1	1.0	1.0
3	capture	efficiency_0.85	0.85	0.8497635478486898
3	capture	efficiency_0.7	0.7	0.69971501845863
3	capture	efficiency_0.55	0.55	0.5497239676564971
3	capture	efficiency_0.4	0.4	0.4002750657054057
3	ambient	rate_0	0.0	0.0
3	ambient	rate_5	5.0	5.064597846738442
3	ambient	rate_20	20.0	20.069031032298923
3	ambient	rate_50	50.0	49.878404053198224
3	ambient	rate_100	100.0	100.00949968334389
3	dropout	Off	0.0	0.0
3	dropout	Very low	0.05048462953684351	0.05053704876504116
3	dropout	Low	0.124834499365244	0.12452184927169094
3	dropout	Moderate	0.27447647552915333	0.27471817606079796
3	dropout	High	0.498487781144101	0.49882330588980367
4	capture	efficiency_1	1.0	1.0
4	capture	efficiency_0.85	0.85	0.8499877586338636
4	capture	efficiency_0.7	0.7	0.6999422135510323
4	capture	efficiency_0.55	0.55	0.5499418735130841
4	capture	efficiency_0.4	0.4	0.40003454385509424
4	ambient	rate_0	0.0	0.0
4	ambient	rate_5	5.0	5.063291139240507
4	ambient	rate_20	20.0	20.236889692585894
4	ambient	rate_50	50.0	50.229053646775164
4	ambient	rate_100	100.0	100.38939119951779
4	dropout	Off	0.0	0.0
4	dropout	Very low	0.05056969648379041	0.05032670283303195
4	dropout	Low	0.12511048120984283	0.12514285714285714
4	dropout	Moderate	0.27524127550147537	0.2753887884267631
4	dropout	High	0.499873507566958	0.500207353827607
5	capture	efficiency_1	1.0	1.0
5	capture	efficiency_0.85	0.85	0.8497782191714761
5	capture	efficiency_0.7	0.7	0.6997243150197769
5	capture	efficiency_0.55	0.55	0.5496831226837509
5	capture	efficiency_0.4	0.4	0.4003509671774866
5	ambient	rate_0	0.0	0.0
5	ambient	rate_5	5.0	4.957926829268293
5	ambient	rate_20	20.0	19.92621951219512
5	ambient	rate_50	50.0	50.229268292682924
5	ambient	rate_100	100.0	100.32682926829268
5	dropout	Off	0.0	0.0
5	dropout	Very low	0.05051170101551356	0.050689024390243906
5	dropout	Low	0.12500453545705817	0.1252
5	dropout	Moderate	0.27505049065329845	0.27517317073170733
5	dropout	High	0.49949787854684663	0.49946341463414634
6	capture	efficiency_1	1.0	1.0
6	capture	efficiency_0.85	0.85	0.8499470260741975
6	capture	efficiency_0.7	0.7	0.699891729837724
6	capture	efficiency_0.55	0.55	0.5499197338753136
6	capture	efficiency_0.4	0.4	0.4001680545165459
6	ambient	rate_0	0.0	0.0
6	ambient	rate_5	5.0	5.008438818565401
6	ambient	rate_20	20.0	20.025919228450874
6	ambient	rate_50	50.0	50.107293550331526
6	ambient	rate_100	100.0	100.00301386377336
6	dropout	Off	0.0	0.0
6	dropout	Very low	0.051263595270231305	0.05131645569620253
6	dropout	Low	0.12662395045863253	0.12681253767329717
6	dropout	Moderate	0.2777748995073551	0.27844122965641954
6	dropout	High	0.5026842549819188	0.5027474382157926
7	capture	efficiency_1	1.0	1.0
7	capture	efficiency_0.85	0.85	0.8500709309957865
7	capture	efficiency_0.7	0.7	0.7000812937618185
7	capture	efficiency_0.55	0.55	0.5500634592175276
7	capture	efficiency_0.4	0.4	0.3998922190896402
7	ambient	rate_0	0.0	0.0
7	ambient	rate_5	5.0	5.007334963325183
7	ambient	rate_20	20.0	19.90709046454768
7	ambient	rate_50	50.0	49.93581907090464
7	ambient	rate_100	100.0	99.6742053789731
7	dropout	Off	0.0	0.0
7	dropout	Very low	0.0504061939195907	0.05066136919315403
7	dropout	Low	0.12483120144165329	0.12525427872860637
7	dropout	Moderate	0.2750009128961017	0.27596454767726164
7	dropout	High	0.49994699753902094	0.5004278728606357
8	capture	efficiency_1	1.0	1.0
8	capture	efficiency_0.85	0.85	0.8499036864362495
8	capture	efficiency_0.7	0.7	0.6999331609066488
8	capture	efficiency_0.55	0.55	0.5498920990656159
8	capture	efficiency_0.4	0.4	0.4001162454936282
