seed	condition	median_library_size	zero_fraction	mean_variance_spearman	latent_recovery_pearson	latent_spatial_slope	observed_spatial_slope	median_library_ratio
0	Clean	5975.0	0.0012094763092269326	0.549043384881707	0.7928960367668554	0.9999999999999969	1.036089874325568	1.0
0	Capture 0.4	2388.0	0.029001246882793017	0.703609729058309	0.6324508242025548	0.9999999999999969	1.0938699954538778	0.3996652719665272
0	Ambient 100	6074.0	0.0010399002493765585	0.5509085946306479	0.7914507757218019	0.9999999999999969	1.048913270442784	1.0165690376569039
0	Dropout high	3182.5	0.5026571072319203	0.9320391965841136	0.31230733051077364	0.9999999999999969	1.8148894388195607	0.5326359832635983
0	Combined	3179.5	0.2793927680798005	0.8555851954196126	0.39901571820769693	0.9999999999999969	1.4125552036003	0.5321338912133892
1	Clean	6091.0	0.001156112852664577	0.6296322865297348	0.7979955971774146	0.9999999999999989	1.073359819947057	1.0
1	Capture 0.4	2436.0	0.02745078369905956	0.766731505350976	0.6416966433021588	0.9999999999999989	1.1271576543492443	0.3999343293383681
1	Ambient 100	6190.0	0.0009567398119122257	0.6320195765945497	0.7966768218693456	0.9999999999999989	1.0634006790458828	1.0162534887538992
1	Dropout high	3285.0	0.49854670846394983	0.9528241771067529	0.31971145968063974	0.9999999999999989	1.5325959471081734	0.5393203086521097
1	Combined	3255.0	0.27647648902821315	0.8952715353839523	0.4030608732561898	0.9999999999999989	1.3767208045914114	0.5343950090297159
2	Clean	6103.0	0.001342534504391468	0.6195971093510938	0.8024116478656614	1.0000000000000018	1.1478472267909563	1.0
2	Capture 0.4	2436.0	0.029203262233375157	0.7528023186217385	0.6468144079472727	1.0000000000000018	1.212152232955357	0.39914796001966246
2	Ambient 100	6203.0	0.0011455457967377667	0.6207599473274692	0.8011083201499242	1.0000000000000018	1.1103404125252383	1.0163853842372603
2	Dropout high	3270.5	0.4999146800501882	0.9433037463293219	0.3250216225507653	1.0000000000000018	1.8870164586861402	0.5358839914796002
2	Combined	3244.0	0.2782007528230866	0.880550249465573	0.41021602649717714	1.0000000000000018	1.1352389702335774	0.5315418646567261
3	Clean	6096.0	0.001500949968334389	0.5254175388205033	0.8030622351568333	0.9999999999999992	0.9674810298756213	1.0
3	Capture 0.4	2436.0	0.02891070297656745	0.6822455867037256	0.6465954383199659	0.9999999999999992	0.8730000670329555	0.39960629921259844
3	Ambient 100	6194.0	0.001271690943635212	0.5280809237370773	0.8016418869938755	0.9999999999999992	0.9653865569099854	1.0160761154855642
3	Dropout high	3283.0	0.4992324255858138	0.9272024113382509	0.3219814769502573	0.9999999999999992	1.4598792548500001	0.5385498687664042
3	Combined	3255.0	0.27776567447751743	0.8443184012282842	0.40884673673129734	0.9999999999999992	1.1617743265764222	0.5339566929133859
4	Clean	5967.0	0.001349005424954792	0.5447869629716292	0.7966269590981402	0.9999999999999996	0.8840302482421023	1.0
4	Capture 0.4	2394.0	0.02875346594333936	0.68951195630342	0.6380756841333093	0.9999999999999996	1.0759328825756382	0.40120663650075417
4	Ambient 100	6068.0	0.0011139240506329114	0.5465549980412395	0.7952226236166979	0.9999999999999996	0.8648831044931758	1.0169264286911346
4	Dropout high	3208.0	0.5005654008438819	0.9328077054920887	0.31591079031463176	0.9999999999999996	1.125129615294587	0.5376235964471259
4	Combined	3197.0	0.278122965641953	0.8553285382882679	0.3992109764205101	0.9999999999999996	1.0574048170280173	0.5357801240154181
5	Clean	6045.0	0.0012048780487804878	0.5464057698742218	0.7974240919365532	0.9999999999999996	0.9942990673985407	1.0
5	Capture 0.4	2420.0	0.02882682926829268	0.6924820419825988	0.6411571932592269	0.9999999999999996	1.0553266732771676	0.4003308519437552
5	Ambient 100	6145.0	0.0010353658536585366	0.5484396167337774	0.7961677817510594	0.9999999999999996	0.9854901611160443	1.0165425971877584
5	Dropout high	3249.0	0.4998292682926829	0.923679968066443	0.32020910812170417	0.9999999999999996	1.6243471949108366	0.537468982630273
5	Combined	3225.0	0.2779048780487805	0.8457928587598134	0.40433929123139206	0.9999999999999996	1.0955717606126871	0.533498759305211
6	Clean	5985.0	0.0015250150693188668	0.6152054417061565	0.7997581678582002	1.0000000000000009	1.0821470434365141	1.0
6	Capture 0.4	2392.0	0.030415913200723326	0.7376858831970977	0.6424580621896132	1.0000000000000009	1.085384556750185	0.3996658312447786
6	Ambient 100	6086.0	0.0012887281494876432	0.6162328196167643	0.7983930256526286	1.0000000000000009	1.0686225809236252	1.01687552213868
6	Dropout high	3194.0	0.5031946955997589	0.9385656856208657	0.3210638645220475	1.0000000000000009	1.291209945363049	0.5336675020885547
