seed	basis	basis_label	basis_dimension	GeneID	Gene	is_direct	is_null	effect_role	effect_role_label	effect_scope	effect_scope_label	reference_state	target_state	direction	configured_strength	configured_coefficient_0	configured_coefficient_1	latent_coefficient_0	latent_coefficient_1	estimated_coefficient_0	estimated_coefficient_1	latent_strength	observed_strength	maximum_latent_spatial_vector_error	orthogonal_estimate_magnitude	full_log_likelihood	reduced_log_likelihood	likelihood_ratio	full_minus_reduced_log_likelihood	lrt_df	p_value	detection_alpha	detected	full_fit_converged	reduced_fit_converged	full_fit_iterations	reduced_fit_iterations	fixed_design_rank	fixed_design_columns	fixed_design_condition_number	n_cells	n_target_cells
0	linear	Linear	2	0	Gene_0	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-0.7071067811865477	-0.7071067811865487	-0.736973452724998	-0.7266606098157418	-1.0000000000000009	-1.0349455707981725	1.2212453270876722e-15	0.007292281154446711	24536.004053499026	24328.333865397923	415.34037620220624	207.67018810110312	2	6.456293305243491e-91	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	1	Gene_1	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-0.7071067811865478	-0.7071067811865492	-0.7431845425862237	-0.6944434828675712	-1.0000000000000013	-1.0165565256222049	1.7763568394002505e-15	0.03446513384927766	22464.674314244065	22292.189754603587	344.96911928095506	172.48455964047753	2	1.2328423215819024e-75	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	2	Gene_2	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-1.0	-0.7071067811865475	-0.7071067811865475	-0.7071067811865478	-0.7071067811865482	-0.7298616669407874	-0.750150505407663	-1.0000000000000004	-1.0465266433062226	9.935214828684704e-16	0.01434637526232627	31423.582313734325	31273.858702901514	299.4472216656213	149.72361083281066	2	9.459365460872308e-66	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	3	Gene_3	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.5303300858899108	-0.5303300858899119	-0.5132462860955813	-0.5696835238029779	-0.750000000000001	-0.76574701212833	1.3322676295501878e-15	0.039907153494337266	29840.146200723197	29736.968096498043	206.35620845030644	103.17810422515322	2	1.5499535451000565e-45	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	4	Gene_4	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.5303300858899114	-0.5303300858899129	-0.5646569778637414	-0.5384517031315581	-0.7500000000000021	-0.7800156287175242	2.4781457861312027e-15	0.01852992746598327	36437.029879978436	36147.851440594146	578.3568787685799	289.17843938428996	2	2.5786921014112372e-126	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	5	Gene_5	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.75	-0.5303300858899106	-0.5303300858899106	-0.5303300858899113	-0.5303300858899117	-0.5310703779598391	-0.5470465102375469	-0.7500000000000011	-0.7623437625561105	1.1102230246251565e-15	0.011296831470700451	64889.97223655854	64702.20054861163	375.5433758938161	187.77168794690806	2	2.830036696702322e-82	0.05	True	True	True	5	5	12	12	17.113974058741924	1604	400
0	linear	Linear	2	6	Gene_6	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.3535533905932738	-0.3535533905932748	-0.3901042055962239	-0.3809689401456261	-0.5000000000000007	-0.5452310501449051	1.0803659440557007e-15	0.006459608148056875	40452.124545177605	40368.320247596865	167.60859516148048	83.80429758074024	2	4.020277218340296e-37	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	7	Gene_7	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.3535533905932743	-0.3535533905932739	-0.35924562559830636	-0.429179490330881	-0.5000000000000004	-0.5575007459313182	1.1772266401194383e-15	0.04945070998698626	37732.48967190746	37702.02734087537	60.92466206417885	30.462331032089423	2	5.893560238612526e-14	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	8	Gene_8	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.5	-0.35355339059327373	-0.35355339059327373	-0.3535533905932741	-0.35355339059327495	-0.43850686646223896	-0.21712591262416187	-0.5000000000000011	-0.4636023840601756	1.2212453270876722e-15	0.15653997368445036	15533.45334869591	15489.095568781688	88.71555982844438	44.35777991422219	2	5.440777348796676e-20	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	9	Gene_9	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.1767766952966375	-0.17677669529663753	-0.2281777009823278	-0.13964661345775206	-0.2500000000000009	-0.26009106702587337	8.8513028272779295e-16	0.06260093233444729	29922.207981054416	29905.85334303284	32.709276043155114	16.354638021577557	2	7.893524362418891e-08	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	10	Gene_10	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.1767766952966371	-0.17677669529663806	-0.2662943762992765	-0.14736172912995996	-0.250000000000001	-0.2924990372282305	1.1934897514720433e-15	0.08409808131789077	21842.34692807365	21818.448648055357	47.796560036586015	23.898280018293008	2	4.179351139244678e-11	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	11	Gene_11	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	-0.25	-0.17677669529663687	-0.17677669529663687	-0.17677669529663706	-0.1767766952966378	-0.24230436199070982	-0.23854091607562572	-0.2500000000000008	-0.34000895682223686	9.43689570931383e-16	0.002661158127184776	39246.50477273614	39212.247957798674	68.51362987492757	34.25681493746379	2	1.325727622074802e-15	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
0	linear	Linear	2	12	Gene_12	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Diagonal	0.25	0.17677669529663687	0.17677669529663687	0.17677669529663753	0.17677669529663692	0.19910852885092264	0.11774172918189438	0.25000000000000044	0.22404696607571223	1.1578956971693865e-15	0.05753501580941722	25306.34011910187	25298.374804112325	15.930629979091464	7.965314989545732	2	0.0003473022951981589	0.05	True	True	True	4	4	12	12	17.113974058741924	1604	400
